date,해외ETF
2021-09-30,27.44565
2021-10-01,30.16304
2021-10-02,15.76086
2021-10-03,17.11956
2021-10-04,17.93478
2021-10-05,32.33695
2021-10-06,29.61956
2021-10-07,30.70652
2021-10-08,27.71739
2021-10-09,16.30434
2021-10-10,19.83695
2021-10-11,20.10869
2021-10-12,32.33695
2021-10-13,32.60869
2021-10-14,30.16304
2021-10-15,32.33695
2021-10-16,16.30434
2021-10-17,16.30434
2021-10-18,30.70652
2021-10-19,43.47826
2021-10-20,32.88043
2021-10-21,35.59782
2021-10-22,27.44565
2021-10-23,19.83695
2021-10-24,17.66304
2021-10-25,36.41304
2021-10-26,54.61956
2021-10-27,44.02173
2021-10-28,33.96739
2021-10-29,41.84782
2021-10-30,26.63043
2021-10-31,24.72826
2021-11-01,44.83695
2021-11-02,47.01086
2021-11-03,52.44565
2021-11-04,49.72826
2021-11-05,58.69565
2021-11-06,32.60869
2021-11-07,28.5326
2021-11-08,58.69565
2021-11-09,66.30434
2021-11-10,42.3913
2021-11-11,34.7826
2021-11-12,42.66304
2021-11-13,26.63043
2021-11-14,29.07608
2021-11-15,46.73913
2021-11-16,52.17391
2021-11-17,56.25
2021-11-18,45.38043
2021-11-19,48.09782
2021-11-20,31.79347
2021-11-21,28.5326
2021-11-22,55.16304
2021-11-23,54.8913
2021-11-24,35.59782
2021-11-25,51.08695
2021-11-26,37.77173
2021-11-27,23.91304
2021-11-28,27.44565
2021-11-29,40.48913
2021-11-30,54.61956
2021-12-01,47.01086
2021-12-02,47.2826
2021-12-03,32.60869
2021-12-04,22.82608
2021-12-05,20.10869
2021-12-06,35.32608
2021-12-07,36.68478
2021-12-08,47.01086
2021-12-09,46.73913
2021-12-10,37.5
2021-12-11,21.19565
2021-12-12,23.36956
2021-12-13,38.31521
2021-12-14,35.05434
2021-12-15,32.60869
2021-12-16,39.40217
2021-12-17,31.25
2021-12-18,22.2826
2021-12-19,19.56521
2021-12-20,24.45652
2021-12-21,38.85869
2021-12-22,44.02173
2021-12-23,34.7826
2021-12-24,36.68478
2021-12-25,21.73913
2021-12-26,22.2826
2021-12-27,39.67391
2021-12-28,52.44565
2021-12-29,48.6413
2021-12-30,45.10869
2021-12-31,30.43478
2022-01-01,20.38043
2022-01-02,26.35869
2022-01-03,41.0326
2022-01-04,45.38043
2022-01-05,48.09782
2022-01-06,44.29347
2022-01-07,36.95652
2022-01-08,25.27173
2022-01-09,18.75
2022-01-10,32.88043
2022-01-11,43.20652
2022-01-12,43.75
2022-01-13,44.29347
2022-01-14,35.32608
2022-01-15,25.54347
2022-01-16,20.38043
2022-01-17,30.16304
2022-01-18,42.3913
2022-01-19,39.67391
2022-01-20,39.13043
2022-01-21,37.77173
2022-01-22,26.35869
2022-01-23,17.93478
2022-01-24,28.5326
2022-01-25,33.42391
2022-01-26,37.5
2022-01-27,33.15217
2022-01-28,34.23913
2022-01-29,17.93478
2022-01-30,18.47826
2022-01-31,19.83695
2022-02-01,32.88043
2022-02-02,30.70652
2022-02-03,50.0
2022-02-04,44.29347
2022-02-05,31.52173
2022-02-06,23.91304
2022-02-07,39.94565
2022-02-08,40.76086
2022-02-09,41.0326
2022-02-10,43.47826
2022-02-11,34.51086
2022-02-12,25.81521
2022-02-13,19.83695
2022-02-14,28.80434
2022-02-15,34.51086
2022-02-16,22.01086
2022-02-17,27.71739
2022-02-18,28.5326
2022-02-19,20.38043
2022-02-20,15.76086
2022-02-21,22.2826
2022-02-22,26.08695
2022-02-23,29.61956
2022-02-24,39.67391
2022-02-25,29.34782
2022-02-26,19.02173
2022-02-27,17.11956
2022-02-28,24.45652
2022-03-01,22.55434
2022-03-02,25.0
2022-03-03,26.08695
2022-03-04,24.18478
2022-03-05,18.20652
2022-03-06,11.95652
2022-03-07,22.55434
2022-03-08,23.36956
2022-03-09,17.3913
2022-03-10,20.65217
2022-03-11,20.38043
2022-03-12,14.67391
2022-03-13,15.21739
2022-03-14,21.46739
2022-03-15,26.63043
2022-03-16,22.55434
2022-03-17,23.09782
2022-03-18,22.55434
2022-03-19,11.41304
2022-03-20,15.76086
2022-03-21,19.56521
2022-03-22,23.09782
2022-03-23,26.08695
2022-03-24,20.92391
2022-03-25,26.35869
2022-03-26,13.31521
2022-03-27,13.58695
2022-03-28,23.09782
2022-03-29,20.65217
2022-03-30,26.90217
2022-03-31,26.08695
2022-04-01,21.46739
2022-04-02,15.21739
2022-04-03,8.96739
2022-04-04,22.01086
2022-04-05,27.44565
2022-04-06,23.91304
2022-04-07,25.81521
2022-04-08,20.65217
2022-04-09,13.85869
2022-04-10,8.15217
2022-04-11,15.48913
2022-04-12,21.46739
2022-04-13,20.65217
2022-04-14,19.02173
2022-04-15,16.0326
2022-04-16,10.05434
2022-04-17,7.88043
2022-04-18,11.41304
2022-04-19,16.0326
2022-04-20,19.83695
2022-04-21,16.57608
2022-04-22,20.10869
2022-04-23,13.04347
2022-04-24,7.06521
2022-04-25,16.0326
2022-04-26,14.13043
2022-04-27,18.75
2022-04-28,13.85869
2022-04-29,12.77173
2022-04-30,7.88043
2022-05-01,6.79347
2022-05-02,15.76086
2022-05-03,15.48913
2022-05-04,15.48913
2022-05-05,13.85869
2022-05-06,18.47826
2022-05-07,7.88043
2022-05-08,4.34782
2022-05-09,12.5
2022-05-10,16.57608
2022-05-11,12.22826
2022-05-12,20.65217
2022-05-13,11.68478
2022-05-14,7.06521
2022-05-15,5.70652
2022-05-16,11.41304
2022-05-17,15.76086
2022-05-18,13.04347
2022-05-19,11.1413
2022-05-20,11.1413
2022-05-21,7.33695
2022-05-22,5.70652
2022-05-23,9.23913
2022-05-24,13.85869
2022-05-25,18.20652
2022-05-26,14.13043
2022-05-27,11.68478
2022-05-28,7.60869
2022-05-29,5.43478
2022-05-30,12.22826
2022-05-31,18.75
2022-06-01,10.32608
2022-06-02,11.95652
2022-06-03,11.41304
2022-06-04,6.79347
2022-06-05,4.61956
2022-06-06,11.1413
2022-06-07,16.84782
2022-06-08,12.77173
2022-06-09,11.1413
2022-06-10,14.40217
2022-06-11,8.42391
2022-06-12,8.15217
2022-06-13,16.57608
2022-06-14,14.67391
2022-06-15,15.76086
2022-06-16,11.68478
2022-06-17,14.94565
2022-06-18,9.7826
2022-06-19,6.52173
2022-06-20,14.13043
2022-06-21,8.15217
2022-06-22,11.1413
2022-06-23,10.05434
2022-06-24,11.41304
2022-06-25,4.61956
2022-06-26,7.88043
2022-06-27,12.5
2022-06-28,16.30434
2022-06-29,13.58695
2022-06-30,9.51086
2022-07-01,7.60869
2022-07-02,3.5326
2022-07-03,2.98913
2022-07-04,11.1413
2022-07-05,8.69565
2022-07-06,7.06521
2022-07-07,11.95652
2022-07-08,11.1413
2022-07-09,4.8913
2022-07-10,4.34782
2022-07-11,7.60869
2022-07-12,8.15217
2022-07-13,8.96739
2022-07-14,9.7826
2022-07-15,13.31521
2022-07-16,3.5326
2022-07-17,5.70652
2022-07-18,7.33695
2022-07-19,11.95652
2022-07-20,16.84782
2022-07-21,11.1413
2022-07-22,13.04347
2022-07-23,2.98913
2022-07-24,2.98913
2022-07-25,8.69565
2022-07-26,8.69565
2022-07-27,7.06521
2022-07-28,11.41304
2022-07-29,8.69565
2022-07-30,5.97826
2022-07-31,4.34782
2022-08-01,5.70652
2022-08-02,11.41304
2022-08-03,12.77173
2022-08-04,13.85869
2022-08-05,13.58695
2022-08-06,6.79347
2022-08-07,5.70652
2022-08-08,13.85869
2022-08-09,9.51086
2022-08-10,12.5
2022-08-11,13.58695
2022-08-12,14.67391
2022-08-13,10.05434
2022-08-14,5.97826
2022-08-15,13.58695
2022-08-16,21.73913
2022-08-17,19.83695
2022-08-18,15.21739
2022-08-19,13.04347
2022-08-20,4.8913
2022-08-21,6.52173
2022-08-22,18.20652
2022-08-23,14.67391
2022-08-24,10.05434
2022-08-25,17.11956
2022-08-26,13.58695
2022-08-27,7.88043
2022-08-28,5.43478
2022-08-29,13.58695
2022-08-30,19.02173
2022-08-31,13.85869
2022-09-01,15.21739
2022-09-02,13.04347
2022-09-03,6.25
2022-09-04,3.26086
2022-09-05,8.96739
2022-09-06,10.59782
2022-09-07,10.59782
2022-09-08,7.33695
2022-09-09,3.5326
2022-09-10,5.70652
2022-09-11,3.26086
2022-09-12,8.42391
2022-09-13,12.5
2022-09-14,11.68478
2022-09-15,10.05434
2022-09-16,17.11956
2022-09-17,10.05434
2022-09-18,2.44565
2022-09-19,10.32608
2022-09-20,8.15217
2022-09-21,10.86956
2022-09-22,13.31521
2022-09-23,11.95652
2022-09-24,6.79347
2022-09-25,4.8913
2022-09-26,11.95652
2022-09-27,17.66304
2022-09-28,15.21739
2022-09-29,13.31521
2022-09-30,15.76086
2022-10-01,6.52173
2022-10-02,4.61956
2022-10-03,14.67391
2022-10-04,11.68478
2022-10-05,13.31521
2022-10-06,15.76086
2022-10-07,15.76086
2022-10-08,4.34782
2022-10-09,2.71739
2022-10-10,6.79347
2022-10-11,11.68478
2022-10-12,7.06521
2022-10-13,11.41304
2022-10-14,10.86956
2022-10-15,4.07608
2022-10-16,2.71739
2022-10-17,14.40217
2022-10-18,10.32608
2022-10-19,8.96739
2022-10-20,10.05434
2022-10-21,14.94565
2022-10-22,6.25
2022-10-23,2.71739
2022-10-24,8.96739
2022-10-25,12.22826
2022-10-26,13.85869
2022-10-27,10.32608
2022-10-28,10.05434
2022-10-29,6.52173
2022-10-30,3.5326
2022-10-31,10.05434
2022-11-01,8.69565
2022-11-02,10.59782
2022-11-03,13.04347
2022-11-04,11.41304
2022-11-05,5.70652
2022-11-06,3.5326
2022-11-07,13.31521
2022-11-08,10.32608
2022-11-09,9.51086
2022-11-10,11.1413
2022-11-11,14.67391
2022-11-12,7.33695
2022-11-13,1.63043
2022-11-14,8.15217
2022-11-15,9.7826
2022-11-16,11.68478
2022-11-17,5.97826
2022-11-18,8.15217
2022-11-19,3.80434
2022-11-20,2.44565
2022-11-21,6.25
2022-11-22,10.59782
2022-11-23,21.19565
2022-11-24,11.95652
2022-11-25,7.06521
2022-11-26,6.52173
2022-11-27,3.80434
2022-11-28,11.1413
2022-11-29,11.41304
2022-11-30,16.84782
2022-12-01,13.85869
2022-12-02,17.93478
2022-12-03,8.96739
2022-12-04,1.35869
2022-12-05,5.97826
2022-12-06,14.94565
2022-12-07,7.88043
2022-12-08,7.06521
2022-12-09,11.41304
2022-12-10,3.5326
2022-12-11,3.80434
2022-12-12,8.96739
2022-12-13,10.05434
2022-12-14,13.31521
2022-12-15,10.86956
2022-12-16,10.32608
2022-12-17,3.26086
2022-12-18,4.61956
2022-12-19,10.59782
2022-12-20,16.0326
2022-12-21,10.32608
2022-12-22,10.86956
2022-12-23,14.13043
2022-12-24,7.33695
2022-12-25,5.43478
2022-12-26,9.51086
2022-12-27,7.60869
2022-12-28,13.04347
2022-12-29,12.77173
2022-12-30,14.67391
2022-12-31,5.97826
2023-01-01,1.90217
2023-01-02,6.25
2023-01-03,8.15217
2023-01-04,16.57608
2023-01-05,13.85869
2023-01-06,10.86956
2023-01-07,9.23913
2023-01-08,3.80434
2023-01-09,11.68478
2023-01-10,14.94565
2023-01-11,16.57608
