date,메타마스크지갑
2022-11-17,21.64009
2022-11-18,18.10933
2022-11-19,11.04783
2022-11-20,10.13667
2022-11-21,17.19817
2022-11-22,15.60364
2022-11-23,13.66742
2022-11-24,15.60364
2022-11-25,19.47608
2022-11-26,12.64236
2022-11-27,11.27562
2022-11-28,16.28701
2022-11-29,17.99544
2022-11-30,21.4123
2022-12-01,27.67653
2022-12-02,19.47608
2022-12-03,10.36446
2022-12-04,10.59225
2022-12-05,16.85649
2022-12-06,16.85649
2022-12-07,29.27107
2022-12-08,33.1435
2022-12-09,26.87927
2022-12-10,16.85649
2022-12-11,16.6287
2022-12-12,19.36218
2022-12-13,23.5763
2022-12-14,25.85421
2022-12-15,17.53986
2022-12-16,12.30068
2022-12-17,10.02277
2022-12-18,12.64236
2022-12-19,16.17312
2022-12-20,18.10933
2022-12-21,14.92027
2022-12-22,12.18678
2022-12-23,13.32574
2022-12-24,7.85876
2022-12-25,19.47608
2022-12-26,19.81776
2022-12-27,11.38952
2022-12-28,11.16173
2022-12-29,10.47835
2022-12-30,9.79498
2022-12-31,8.31435
2023-01-01,7.97266
2023-01-02,11.95899
2023-01-03,13.21184
2023-01-04,9.79498
2023-01-05,15.37585
2023-01-06,10.59225
2023-01-07,8.76993
2023-01-08,10.13667
2023-01-09,12.98405
2023-01-10,12.64236
2023-01-11,10.82004
2023-01-12,15.14806
2023-01-13,15.83143
2023-01-14,13.32574
2023-01-15,10.70615
2023-01-16,12.64236
2023-01-17,15.26195
2023-01-18,16.85649
2023-01-19,18.45102
2023-01-20,15.26195
2023-01-21,9.4533
2023-01-22,11.04783
2023-01-23,11.61731
2023-01-24,12.18678
2023-01-25,15.94533
2023-01-26,16.28701
2023-01-27,17.76765
2023-01-28,12.07289
2023-01-29,15.48974
2023-01-30,19.47608
2023-01-31,16.28701
2023-02-01,18.9066
2023-02-02,20.15945
2023-02-03,17.53986
2023-02-04,16.97038
2023-02-05,17.08428
2023-02-06,20.15945
2023-02-07,21.64009
2023-02-08,28.24601
2023-02-09,21.18451
2023-02-10,13.32574
2023-02-11,12.64236
2023-02-12,12.18678
2023-02-13,20.72892
2023-02-14,13.43963
2023-02-15,14.92027
2023-02-16,18.10933
2023-02-17,16.17312
2023-02-18,15.71753
2023-02-19,14.46469
2023-02-20,18.33712
2023-02-21,18.56492
2023-02-22,15.94533
2023-02-23,15.60364
2023-02-24,16.97038
2023-02-25,10.93394
2023-02-26,12.87015
2023-02-27,16.05922
2023-02-28,12.30068
2023-03-01,10.93394
2023-03-02,25.39863
2023-03-03,20.95671
2023-03-04,11.04783
2023-03-05,10.47835
2023-03-06,13.32574
2023-03-07,17.53986
2023-03-08,12.64236
2023-03-09,11.50341
2023-03-10,10.70615
2023-03-11,8.54214
2023-03-12,8.42824
2023-03-13,10.47835
2023-03-14,16.28701
2023-03-15,14.35079
2023-03-16,12.98405
2023-03-17,11.95899
