date,NH투자증권고객센터
2021-06-11,4.60251
2021-06-14,2.09205
2021-06-15,3.55648
2021-06-16,4.1841
2021-06-17,4.3933
2021-06-18,3.13807
2021-06-21,3.97489
2021-06-22,4.60251
2021-06-23,4.60251
2021-06-24,6.06694
2021-06-25,5.02092
2021-06-28,6.48535
2021-06-29,2.71966
2021-06-30,5.02092
2021-07-01,4.60251
2021-07-02,6.06694
2021-07-05,6.27615
2021-07-06,5.23012
2021-07-07,5.02092
2021-07-08,9.83263
2021-07-09,10.66945
2021-07-12,6.06694
2021-07-13,8.78661
2021-07-14,4.81171
2021-07-15,8.3682
2021-07-16,6.27615
2021-07-19,6.69456
2021-07-20,6.27615
2021-07-21,7.11297
2021-07-22,9.41422
2021-07-23,7.11297
2021-07-24,1.25523
2021-07-25,1.46443
2021-07-26,7.74058
2021-07-27,6.69456
2021-07-28,2.51046
2021-07-29,3.76569
2021-07-30,5.85774
2021-08-02,6.48535
2021-08-03,5.02092
2021-08-04,6.48535
2021-08-05,3.34728
2021-08-06,6.90376
2021-08-09,7.94979
2021-08-10,8.15899
2021-08-11,3.76569
2021-08-12,7.53138
2021-08-13,7.53138
2021-08-17,5.85774
2021-08-18,6.27615
2021-08-19,4.3933
2021-08-20,6.27615
2021-08-23,6.06694
2021-08-24,3.97489
2021-08-25,3.76569
2021-08-26,3.55648
2021-08-27,4.81171
2021-08-30,4.1841
2021-08-31,6.69456
2021-09-01,4.81171
2021-09-02,3.13807
2021-09-03,3.76569
2021-09-06,4.3933
2021-09-07,5.02092
2021-09-08,4.3933
2021-09-09,3.97489
2021-09-10,3.34728
2021-09-13,4.3933
2021-09-14,4.1841
2021-09-15,5.02092
2021-09-16,6.90376
2021-09-17,4.1841
2021-09-18,1.04602
2021-09-23,8.78661
2021-09-24,10.25104
2021-09-25,1.25523
2021-09-27,15.69037
2021-09-28,20.71129
2021-09-29,7.32217
2021-09-30,9.83263
2021-10-01,6.48535
2021-10-05,8.15899
2021-10-06,7.94979
2021-10-07,7.53138
2021-10-08,7.11297
2021-10-12,3.76569
2021-10-13,5.02092
2021-10-14,5.02092
2021-10-15,3.55648
2021-10-16,1.04602
2021-10-18,3.55648
2021-10-19,3.55648
2021-10-20,3.97489
2021-10-21,5.23012
2021-10-22,3.13807
2021-10-23,1.04602
2021-10-24,1.04602
2021-10-25,5.23012
2021-10-26,4.60251
2021-10-27,6.90376
2021-10-28,4.1841
2021-10-29,5.23012
2021-11-01,7.32217
2021-11-02,8.99581
2021-11-03,8.3682
2021-11-04,7.53138
2021-11-05,6.48535
2021-11-08,5.43933
2021-11-09,4.3933
2021-11-10,7.32217
2021-11-11,5.64853
2021-11-12,5.85774
2021-11-15,4.81171
2021-11-16,4.1841
2021-11-17,9.20502
2021-11-18,6.06694
2021-11-19,5.85774
2021-11-22,7.11297
2021-11-23,5.85774
2021-11-24,5.02092
2021-11-25,6.48535
2021-11-26,11.92468
2021-11-29,16.9456
2021-11-30,13.17991
2021-12-01,12.97071
2021-12-02,18.61924
2021-12-03,13.59832
2021-12-05,1.88284
2021-12-06,23.43096
2021-12-07,18.82845
2021-12-08,20.08368
2021-12-09,17.57322
2021-12-10,20.08368
2021-12-11,1.04602
2021-12-12,1.88284
2021-12-13,24.26778
2021-12-14,19.24686
2021-12-15,13.80753
2021-12-16,13.80753
2021-12-17,14.43514
2021-12-18,2.30125
2021-12-19,1.25523
2021-12-20,16.9456
2021-12-21,16.7364
2021-12-22,15.69037
2021-12-23,15.69037
2021-12-24,16.10878
2021-12-25,1.04602
2021-12-26,1.67364
2021-12-27,23.64016
2021-12-28,28.87029
2021-12-29,19.66527
2021-12-30,21.54811
2021-12-31,17.99163
2022-01-03,16.9456
2022-01-04,17.78242
2022-01-05,16.31799
2022-01-06,14.22594
2022-01-07,17.15481
2022-01-09,1.04602
2022-01-10,21.54811
2022-01-11,14.85355
2022-01-12,15.06276
2022-01-13,16.7364
2022-01-14,20.08368
2022-01-15,1.25523
2022-01-16,1.46443
2022-01-17,17.57322
2022-01-18,18.61924
2022-01-19,16.10878
2022-01-20,19.24686
2022-01-21,60.46025
2022-01-22,1.25523
2022-01-23,1.04602
2022-01-24,21.75732
2022-01-25,18.61924
2022-01-26,13.80753
2022-01-27,18.41004
2022-01-28,20.29288
2022-02-02,1.25523
2022-02-03,23.43096
2022-02-04,20.50209
2022-02-05,1.46443
2022-02-06,1.25523
2022-02-07,19.24686
2022-02-08,12.13389
2022-02-09,14.01673
2022-02-10,15.89958
2022-02-11,16.10878
2022-02-14,15.27196
2022-02-15,15.69037
2022-02-16,13.38912
2022-02-17,12.34309
2022-02-18,14.64435
2022-02-20,1.46443
2022-02-21,38.28451
2022-02-22,48.11715
2022-02-23,16.10878
2022-02-24,23.43096
2022-02-25,16.52719
2022-02-26,1.04602
2022-02-27,1.04602
2022-02-28,23.22175
2022-03-01,2.71966
2022-03-02,24.47698
2022-03-03,20.08368
2022-03-04,12.34309
2022-03-07,15.89958
2022-03-08,12.5523
2022-03-09,1.25523
2022-03-10,30.54393
2022-03-11,13.38912
2022-03-14,12.13389
2022-03-15,12.97071
2022-03-16,14.01673
2022-03-17,13.80753
2022-03-18,12.97071
2022-03-21,12.13389
2022-03-22,9.62343
2022-03-23,12.13389
2022-03-24,13.38912
2022-03-25,17.15481
2022-03-26,1.46443
2022-03-28,15.27196
2022-03-29,10.46025
2022-03-30,13.17991
2022-03-31,11.92468
2022-04-01,17.78242
2022-04-02,1.46443
2022-04-03,1.04602
2022-04-04,18.20083
2022-04-05,14.22594
2022-04-06,15.06276
2022-04-07,15.69037
2022-04-08,18.20083
2022-04-10,1.04602
2022-04-11,16.10878
2022-04-12,14.22594
2022-04-13,14.43514
2022-04-14,13.80753
2022-04-15,16.10878
2022-04-18,17.15481
2022-04-19,14.64435
2022-04-20,13.59832
2022-04-21,16.10878
2022-04-22,13.59832
2022-04-24,1.25523
2022-04-25,17.99163
2022-04-26,15.89958
2022-04-27,14.22594
2022-04-28,15.89958
2022-04-29,13.80753
2022-05-02,14.43514
2022-05-03,14.64435
2022-05-04,15.06276
2022-05-05,1.25523
2022-05-06,12.7615
2022-05-07,1.67364
2022-05-09,13.80753
2022-05-10,10.04184
2022-05-11,9.20502
2022-05-12,7.94979
2022-05-13,11.29707
2022-05-15,1.04602
2022-05-16,14.85355
2022-05-17,14.85355
2022-05-18,15.06276
2022-05-19,12.13389
2022-05-20,13.38912
2022-05-23,8.99581
2022-05-24,9.41422
2022-05-25,6.90376
2022-05-26,7.53138
2022-05-27,7.32217
2022-05-30,9.83263
2022-05-31,10.46025
2022-06-02,10.25104
2022-06-03,8.99581
2022-06-07,11.71548
2022-06-08,16.10878
2022-06-09,25.94142
2022-06-10,11.50627
2022-06-12,1.88284
2022-06-13,14.22594
2022-06-14,14.01673
2022-06-15,13.38912
2022-06-16,11.29707
2022-06-17,14.64435
2022-06-18,1.04602
2022-06-19,1.04602
2022-06-20,14.85355
2022-06-21,12.34309
2022-06-22,13.38912
2022-06-23,4.81171
2022-06-24,10.04184
2022-06-27,14.85355
2022-06-28,9.20502
2022-06-29,6.90376
2022-06-30,9.20502
2022-07-01,8.15899
2022-07-02,1.88284
2022-07-04,10.66945
2022-07-05,6.90376
2022-07-06,19.87447
2022-07-07,39.53974
2022-07-08,8.78661
2022-07-11,14.22594
2022-07-12,9.20502
2022-07-13,8.5774
2022-07-14,11.08786
2022-07-15,15.48117
2022-07-16,1.04602
2022-07-18,11.50627
2022-07-19,10.04184
2022-07-20,8.78661
2022-07-21,12.5523
2022-07-22,6.27615
2022-07-25,10.25104
2022-07-26,9.41422
2022-07-27,7.11297
2022-07-28,8.5774
2022-07-29,9.41422
2022-08-01,10.25104
2022-08-02,7.74058
2022-08-03,9.41422
2022-08-04,10.25104
2022-08-05,10.04184
2022-08-07,1.04602
2022-08-08,10.66945
2022-08-09,11.08786
2022-08-10,9.62343
2022-08-11,7.53138
2022-08-12,10.04184
2022-08-13,1.25523
2022-08-16,15.27196
2022-08-17,10.46025
2022-08-18,6.27615
2022-08-19,8.99581
