date,실시간해외선물
2021-02-17,10.39755
2021-02-18,13.45565
2021-02-19,11.00917
2021-02-20,6.72782
2021-02-21,5.50458
2021-02-22,14.67889
2021-02-23,23.24159
2021-02-24,18.04281
2021-02-25,9.17431
2021-02-26,21.71253
2021-02-27,8.25688
2021-02-28,4.89296
2021-03-01,11.62079
2021-03-02,12.84403
2021-03-03,14.67889
2021-03-04,17.12538
2021-03-05,14.9847
2021-03-06,8.56269
2021-03-07,2.44648
2021-03-08,19.57186
2021-03-09,21.40672
2021-03-10,18.04281
2021-03-11,14.06727
2021-03-12,13.14984
2021-03-13,8.8685
2021-03-14,4.28134
2021-03-15,14.67889
2021-03-16,14.37308
2021-03-17,14.9847
2021-03-18,14.06727
2021-03-19,9.17431
2021-03-20,7.64525
2021-03-21,4.89296
2021-03-22,21.40672
2021-03-23,25.07645
2021-03-24,22.32415
2021-03-25,15.59633
2021-03-26,8.8685
2021-03-27,2.75229
2021-03-28,4.28134
2021-03-29,11.62079
2021-03-30,12.53822
2021-03-31,11.9266
2021-04-01,14.67889
2021-04-02,14.67889
2021-04-03,4.28134
2021-04-04,3.36391
2021-04-05,5.81039
2021-04-06,8.56269
2021-04-07,14.06727
2021-04-08,7.03363
2021-04-09,7.64525
2021-04-10,4.58715
2021-04-11,3.0581
2021-04-12,11.00917
2021-04-13,6.72782
2021-04-14,7.33944
2021-04-15,10.70336
2021-04-16,7.64525
2021-04-17,3.0581
2021-04-18,1.52905
2021-04-19,9.17431
2021-04-20,8.8685
2021-04-21,14.06727
2021-04-22,6.72782
2021-04-23,11.00917
2021-04-24,4.89296
2021-04-25,2.14067
2021-04-26,7.03363
2021-04-27,10.09174
2021-04-28,13.14984
2021-04-29,6.72782
2021-04-30,5.81039
2021-05-01,2.44648
2021-05-02,3.97553
2021-05-03,8.8685
2021-05-04,6.72782
2021-05-05,22.32415
2021-05-06,9.48012
2021-05-07,10.70336
2021-05-08,2.75229
2021-05-09,4.28134
2021-05-10,11.9266
2021-05-11,11.9266
2021-05-12,15.90214
2021-05-13,22.01834
2021-05-14,11.62079
2021-05-15,5.50458
2021-05-16,3.66972
2021-05-17,12.23241
2021-05-18,8.25688
2021-05-19,6.42201
2021-05-20,10.39755
2021-05-21,7.64525
2021-05-22,2.44648
2021-05-23,3.0581
2021-05-24,10.39755
2021-05-25,8.25688
2021-05-26,6.72782
2021-05-27,3.66972
2021-05-28,7.64525
2021-05-29,3.36391
2021-05-30,3.0581
2021-05-31,9.17431
2021-06-01,6.1162
2021-06-02,7.95107
2021-06-03,12.84403
2021-06-04,7.95107
2021-06-05,2.14067
2021-06-06,1.83486
2021-06-07,9.17431
2021-06-08,9.17431
2021-06-09,22.32415
2021-06-10,9.78593
2021-06-11,5.50458
2021-06-12,2.75229
2021-06-14,5.81039
2021-06-15,8.56269
2021-06-16,10.39755
2021-06-17,13.45565
2021-06-18,8.25688
2021-06-19,3.97553
2021-06-20,5.50458
2021-06-21,11.62079
2021-06-22,8.8685
2021-06-23,14.06727
2021-06-24,12.53822
2021-06-25,9.78593
2021-06-26,2.14067
2021-06-27,2.14067
2021-06-28,12.23241
2021-06-29,9.17431
2021-06-30,10.70336
2021-07-01,7.64525
2021-07-02,4.28134
2021-07-03,2.75229
2021-07-05,7.95107
2021-07-06,9.48012
2021-07-07,14.9847
2021-07-08,24.77064
2021-07-09,11.9266
2021-07-10,3.36391
2021-07-11,2.44648
2021-07-12,12.53822
2021-07-13,11.9266
2021-07-14,14.37308
2021-07-15,11.00917
2021-07-16,12.23241
2021-07-17,2.14067
2021-07-18,1.83486
2021-07-19,14.67889
2021-07-20,13.14984
2021-07-21,13.45565
2021-07-22,10.39755
2021-07-23,12.84403
2021-07-24,3.66972
2021-07-25,2.44648
2021-07-26,16.51376
2021-07-27,11.00917
2021-07-28,12.23241
2021-07-29,7.64525
2021-07-30,7.03363
2021-07-31,1.83486
2021-08-01,1.83486
2021-08-02,9.48012
2021-08-03,9.48012
2021-08-04,10.39755
2021-08-05,7.95107
2021-08-06,6.42201
2021-08-07,2.75229
2021-08-09,11.31498
2021-08-10,15.29051
2021-08-11,18.34862
2021-08-12,12.23241
2021-08-13,10.09174
2021-08-14,4.58715
2021-08-15,3.97553
2021-08-16,7.33944
2021-08-17,8.8685
2021-08-18,8.56269
2021-08-19,19.26605
2021-08-20,16.81957
2021-08-21,3.66972
2021-08-22,5.81039
2021-08-23,8.8685
2021-08-24,8.25688
2021-08-25,9.48012
2021-08-26,12.23241
2021-08-27,10.39755
2021-08-28,4.58715
2021-08-30,5.50458
2021-08-31,7.95107
2021-09-01,16.20795
2021-09-02,18.34862
2021-09-03,15.29051
2021-09-04,2.44648
2021-09-05,1.52905
2021-09-06,8.25688
2021-09-07,14.37308
2021-09-08,11.00917
2021-09-09,20.18348
2021-09-10,11.9266
2021-09-11,4.89296
2021-09-12,3.0581
2021-09-13,11.31498
2021-09-14,8.56269
2021-09-15,10.39755
2021-09-16,9.17431
2021-09-17,6.72782
2021-09-18,3.66972
2021-09-19,1.52905
2021-09-20,2.44648
2021-09-21,5.81039
2021-09-22,2.75229
2021-09-23,7.33944
2021-09-24,14.06727
2021-09-25,2.75229
2021-09-26,2.14067
2021-09-27,12.23241
2021-09-28,15.90214
2021-09-29,13.76146
2021-09-30,10.39755
2021-10-01,15.59633
2021-10-02,4.28134
2021-10-03,3.36391
2021-10-04,13.45565
2021-10-05,16.20795
2021-10-06,27.82874
2021-10-07,18.96024
2021-10-08,12.84403
2021-10-09,3.0581
2021-10-10,3.36391
2021-10-11,7.03363
2021-10-12,14.37308
2021-10-13,11.62079
2021-10-14,8.56269
2021-10-15,8.56269
2021-10-16,4.89296
2021-10-17,1.83486
2021-10-18,13.76146
2021-10-19,19.26605
2021-10-20,17.43119
2021-10-21,16.81957
2021-10-22,9.17431
2021-10-23,2.14067
2021-10-24,2.14067
2021-10-25,15.90214
2021-10-26,15.59633
2021-10-27,17.737
2021-10-28,12.84403
2021-10-29,13.45565
2021-10-30,1.52905
2021-10-31,2.14067
2021-11-01,10.09174
2021-11-02,9.17431
2021-11-03,11.62079
2021-11-04,8.25688
2021-11-05,2.14067
2021-11-06,2.14067
2021-11-07,6.42201
2021-11-08,9.17431
2021-11-09,7.03363
2021-11-10,10.70336
2021-11-11,8.8685
2021-11-12,4.28134
2021-11-13,3.36391
2021-11-14,3.0581
2021-11-15,5.81039
2021-11-16,9.48012
2021-11-17,6.72782
2021-11-18,3.36391
2021-11-19,5.19877
2021-11-20,2.75229
2021-11-22,8.25688
2021-11-23,10.70336
2021-11-24,7.95107
2021-11-25,7.03363
2021-11-26,15.29051
2021-11-27,7.95107
2021-11-28,7.03363
2021-11-29,18.04281
2021-11-30,14.9847
2021-12-01,19.26605
2021-12-02,19.26605
2021-12-03,14.9847
2021-12-04,8.8685
2021-12-05,5.19877
2021-12-06,15.90214
2021-12-07,11.00917
2021-12-08,9.78593
2021-12-09,13.76146
2021-12-10,8.25688
2021-12-11,3.66972
2021-12-12,1.52905
2021-12-13,7.03363
2021-12-14,10.39755
2021-12-15,7.64525
2021-12-16,8.8685
2021-12-17,6.1162
2021-12-18,1.83486
2021-12-20,12.53822
2021-12-21,14.37308
2021-12-22,10.09174
2021-12-23,9.78593
2021-12-24,9.17431
2021-12-25,1.52905
2021-12-27,5.81039
2021-12-28,5.50458
2021-12-29,7.64525
2021-12-30,5.81039
2021-12-31,5.19877
2022-01-01,3.36391
2022-01-02,2.14067
2022-01-03,6.42201
2022-01-04,10.70336
2022-01-05,10.39755
2022-01-06,12.23241
2022-01-07,9.78593
2022-01-08,1.83486
2022-01-09,1.83486
2022-01-10,7.95107
2022-01-11,6.42201
2022-01-12,9.78593
2022-01-13,6.42201
2022-01-14,10.09174
2022-01-15,2.75229
2022-01-16,2.44648
2022-01-17,12.23241
2022-01-18,12.53822
2022-01-19,17.12538
2022-01-20,10.09174
2022-01-21,9.48012
2022-01-22,5.81039
2022-01-23,2.75229
2022-01-24,26.91131
2022-01-25,31.19266
2022-01-26,24.77064
2022-01-27,14.37308
2022-01-28,10.39755
2022-01-29,2.14067
2022-01-30,2.75229
2022-01-31,6.72782
2022-02-01,3.66972
2022-02-02,8.56269
2022-02-03,22.62996
2022-02-04,20.18348
2022-02-05,3.36391
2022-02-06,1.83486
2022-02-07,13.76146
2022-02-08,17.12538
2022-02-09,12.84403
2022-02-10,20.7951
2022-02-11,16.51376
2022-02-12,10.09174
2022-02-13,1.83486
2022-02-14,36.08562
2022-02-15,22.93577
2022-02-16,15.29051
2022-02-17,17.12538
2022-02-18,12.84403
2022-02-19,7.33944
2022-02-20,3.97553
2022-02-21,19.87767
2022-02-22,24.77064
2022-02-23,22.32415
2022-02-24,22.93577
2022-02-25,14.9847
2022-02-26,9.78593
2022-02-27,5.81039
2022-02-28,14.67889
2022-03-01,12.53822
2022-03-02,16.51376
2022-03-03,11.62079
2022-03-04,13.76146
2022-03-05,7.03363
2022-03-06,4.28134
2022-03-07,14.9847
2022-03-08,17.43119
2022-03-09,8.25688
2022-03-10,12.84403
2022-03-11,10.39755
2022-03-12,4.58715
2022-03-13,2.14067
2022-03-14,11.9266
2022-03-15,12.53822
2022-03-16,13.14984
2022-03-17,10.09174
2022-03-18,6.42201
2022-03-19,4.28134
2022-03-20,4.89296
2022-03-21,9.17431
2022-03-22,19.26605
2022-03-23,11.9266
2022-03-24,9.78593
2022-03-25,12.53822
2022-03-26,4.89296
2022-03-27,3.36391
2022-03-28,15.59633
2022-03-29,14.06727
2022-03-30,11.31498
2022-03-31,9.17431
2022-04-01,10.09174
2022-04-02,2.75229
2022-04-03,3.97553
2022-04-04,7.95107
2022-04-05,12.84403
2022-04-06,18.34862
2022-04-07,14.9847
2022-04-08,11.62079
2022-04-09,3.66972
2022-04-10,1.83486
2022-04-11,15.59633
2022-04-12,14.9847
2022-04-13,18.04281
2022-04-14,18.34862
2022-04-15,14.06727
2022-04-16,3.97553
2022-04-18,9.17431
2022-04-19,8.25688
2022-04-20,8.8685
2022-04-21,10.09174
2022-04-22,10.70336
2022-04-23,3.97553
2022-04-24,2.75229
2022-04-25,14.06727
2022-04-26,13.76146
2022-04-27,16.81957
2022-04-28,20.7951
2022-04-29,19.26605
2022-04-30,5.81039
2022-05-01,2.44648
2022-05-02,18.34862
2022-05-03,21.40672
2022-05-04,21.10091
2022-05-05,12.53822
2022-05-06,17.43119
2022-05-07,5.19877
2022-05-08,6.1162
2022-05-09,19.26605
2022-05-10,17.737
2022-05-11,19.87767
2022-05-12,19.57186
2022-05-13,14.67889
2022-05-14,3.0581
2022-05-15,6.42201
2022-05-16,14.37308
2022-05-17,16.51376
2022-05-18,16.20795
2022-05-19,21.71253
2022-05-20,15.90214
2022-05-21,3.97553
2022-05-22,4.89296
2022-05-23,10.39755
2022-05-24,16.51376
2022-05-25,15.90214
2022-05-26,12.23241
2022-05-27,14.37308
2022-05-28,4.89296
2022-05-29,4.58715
2022-05-30,14.37308
2022-05-31,14.06727
2022-06-01,8.8685
2022-06-02,17.12538
2022-06-03,7.33944
2022-06-04,4.28134
2022-06-05,2.44648
2022-06-06,12.84403
2022-06-07,15.29051
2022-06-08,17.43119
2022-06-09,14.9847
2022-06-10,19.26605
2022-06-11,4.28134
2022-06-12,3.36391
2022-06-13,19.57186
2022-06-14,21.40672
2022-06-15,20.7951
2022-06-16,20.48929
2022-06-17,20.7951
2022-06-18,2.75229
2022-06-19,3.0581
2022-06-20,15.90214
2022-06-21,11.62079
2022-06-22,21.10091
2022-06-23,17.12538
2022-06-24,9.17431
2022-06-25,3.36391
2022-06-26,2.44648
2022-06-27,11.31498
2022-06-28,9.78593
2022-06-29,13.14984
2022-06-30,8.56269
2022-07-01,6.1162
2022-07-02,3.0581
2022-07-03,4.89296
2022-07-04,11.62079
2022-07-05,14.9847
2022-07-06,20.18348
2022-07-07,16.51376
2022-07-08,9.78593
2022-07-09,5.81039
2022-07-11,6.1162
2022-07-12,17.12538
2022-07-13,8.56269
2022-07-14,12.23241
2022-07-15,12.84403
2022-07-16,6.1162
2022-07-17,6.42201
2022-07-18,11.00917
2022-07-19,11.62079
2022-07-20,11.00917
2022-07-21,12.23241
2022-07-22,10.70336
2022-07-23,7.95107
2022-07-24,6.42201
2022-07-25,10.09174
2022-07-26,17.43119
2022-07-27,12.84403
2022-07-28,16.51376
2022-07-29,13.14984
2022-07-30,6.72782
2022-07-31,3.66972
2022-08-01,9.78593
2022-08-02,12.23241
2022-08-03,10.09174
2022-08-04,8.8685
2022-08-05,15.29051
2022-08-06,6.42201
2022-08-07,6.1162
2022-08-08,14.37308
2022-08-09,13.14984
2022-08-10,12.53822
2022-08-11,10.70336
2022-08-12,14.67889
2022-08-13,8.25688
2022-08-14,5.50458
2022-08-15,8.8685
2022-08-16,14.06727
2022-08-17,13.76146
2022-08-18,17.12538
2022-08-19,18.34862
2022-08-20,6.72782
2022-08-21,7.95107
2022-08-22,14.06727
2022-08-23,21.10091
2022-08-24,14.37308
2022-08-25,12.53822
2022-08-26,10.70336
2022-08-27,6.72782
2022-08-28,3.0581
2022-08-29,12.53822
2022-08-30,9.48012
2022-08-31,12.84403
2022-09-01,13.14984
2022-09-02,17.737
2022-09-03,6.72782
2022-09-04,6.72782
2022-09-05,15.59633
2022-09-06,15.90214
2022-09-07,19.57186
2022-09-08,13.76146
2022-09-09,13.14984
2022-09-10,4.28134
2022-09-11,4.58715
2022-09-12,14.06727
2022-09-13,19.57186
2022-09-14,19.57186
2022-09-15,11.9266
2022-09-16,14.06727
2022-09-17,6.42201
2022-09-18,1.83486
2022-09-19,14.37308
2022-09-20,19.26605
2022-09-21,18.96024
2022-09-22,15.29051
2022-09-23,22.93577
2022-09-24,3.97553
2022-09-25,6.42201
2022-09-26,23.24159
2022-09-27,22.93577
2022-09-28,22.93577
2022-09-29,25.68807
2022-09-30,20.18348
2022-10-01,8.8685
2022-10-02,1.83486
2022-10-03,19.26605
2022-10-04,28.44036
2022-10-05,17.12538
2022-10-06,24.15902
2022-10-07,14.9847
2022-10-08,3.97553
2022-10-09,3.66972
