date,퇴직연금디폴트옵션
2022-10-09,0.23796
2022-10-10,0.47593
2022-10-11,1.32205
2022-10-12,1.71866
2022-10-13,1.98307
2022-10-14,1.87731
2022-10-15,0.44949
2022-10-16,0.76679
2022-10-17,3.91327
2022-10-18,6.82178
2022-10-19,2.82919
2022-10-20,1.71866
2022-10-21,2.03595
2022-10-22,0.31729
2022-10-23,0.50237
2022-10-24,2.37969
2022-10-25,1.77154
2022-10-26,2.59122
2022-10-27,4.68006
2022-10-28,3.54309
2022-10-29,0.74034
2022-10-30,0.31729
2022-10-31,6.45161
2022-11-01,9.7303
2022-11-02,7.90586
2022-11-03,5.92279
2022-11-04,4.7065
2022-11-05,1.95663
2022-11-06,1.40137
2022-11-07,16.02326
2022-11-08,6.45161
2022-11-09,7.24484
2022-11-10,7.00687
2022-11-11,5.71126
2022-11-12,0.95187
2022-11-13,1.11052
2022-11-14,4.46853
2022-11-15,3.72818
2022-11-16,3.75462
2022-11-17,8.22316
2022-11-18,5.86991
2022-11-19,1.26916
2022-11-20,1.32205
2022-11-21,3.12004
2022-11-22,8.75198
2022-11-23,6.34584
2022-11-24,4.23056
2022-11-25,3.33157
2022-11-26,1.08408
2022-11-27,0.97831
2022-11-28,3.12004
2022-11-29,3.54309
2022-11-30,5.26176
2022-12-01,6.1872
2022-12-02,14.3046
2022-12-03,3.72818
2022-12-04,2.59122
2022-12-05,7.64145
2022-12-06,7.03331
2022-12-07,6.87466
2022-12-08,8.11739
2022-12-09,7.32416
2022-12-10,1.05764
2022-12-11,1.37493
2022-12-12,5.20888
2022-12-13,4.60074
2022-12-14,5.156
2022-12-15,5.34108
2022-12-16,4.44209
2022-12-17,1.18984
2022-12-18,1.0312
2022-12-19,4.41565
2022-12-20,15.65309
2022-12-21,5.12956
2022-12-22,5.12956
2022-12-23,3.93971
2022-12-24,0.79323
2022-12-25,0.95187
2022-12-26,5.18244
2022-12-27,4.8387
2022-12-28,4.54785
2022-12-29,4.49497
2022-12-30,3.62242
2022-12-31,0.97831
2023-01-01,1.00475
2023-01-02,13.08831
2023-01-03,10.8937
2023-01-04,5.7377
2023-01-05,5.60549
2023-01-06,3.64886
2023-01-07,1.42781
2023-01-08,1.37493
2023-01-09,4.1248
2023-01-10,4.257
2023-01-11,3.0936
2023-01-12,5.07667
2023-01-13,4.1248
2023-01-14,1.63934
2023-01-15,1.24272
2023-01-16,5.156
2023-01-17,4.1248
2023-01-18,3.86039
2023-01-19,3.72818
2023-01-20,3.38445
2023-01-21,1.6129
2023-01-22,1.05764
2023-01-23,1.42781
2023-01-24,1.50713
2023-01-25,4.97091
2023-01-26,5.89635
2023-01-27,5.02379
2023-01-28,1.29561
2023-01-29,1.85087
2023-01-30,6.47805
2023-01-31,5.20888
2023-02-01,10.07403
2023-02-02,11.26388
2023-02-03,6.95399
2023-02-04,1.34849
2023-02-05,1.40137
2023-02-06,7.8001
2023-02-07,7.61501
2023-02-08,8.22316
2023-02-09,7.37704
2023-02-10,7.11263
2023-02-11,1.18984
2023-02-12,0.87255
2023-02-13,7.61501
2023-02-14,7.48281
2023-02-15,7.90586
2023-02-16,8.14383
2023-02-17,6.16076
2023-02-18,1.37493
2023-02-19,1.21628
2023-02-20,7.3506
2023-02-21,8.19672
2023-02-22,8.80486
2023-02-23,7.74722
2023-02-24,6.71602
2023-02-25,1.24272
2023-02-26,1.40137
2023-02-27,7.16552
2023-02-28,6.6367
2023-03-01,1.90375
2023-03-02,11.23744
2023-03-03,12.3744
2023-03-04,2.40613
2023-03-05,1.26916
2023-03-06,9.14859
2023-03-07,10.23268
2023-03-08,8.96351
2023-03-09,9.413
2023-03-10,9.04283
2023-03-11,1.69222
2023-03-12,1.1634
2023-03-13,14.11951
2023-03-14,17.71549
2023-03-15,17.63617
2023-03-16,18.29719
2023-03-17,16.86938
2023-03-18,2.93495
2023-03-19,1.66578
2023-03-20,11.63405
2023-03-21,14.22527
2023-03-22,13.59069
2023-03-23,14.22527
2023-03-24,16.89582
2023-03-25,2.67054
2023-03-26,1.95663
2023-03-27,14.93918
2023-03-28,21.9725
2023-03-29,15.3358
2023-03-30,15.44156
2023-03-31,11.81914
2023-04-01,2.90851
2023-04-02,1.56002
2023-04-03,13.72289
2023-04-04,15.25647
2023-04-05,14.54257
2023-04-06,20.33315
2023-04-07,16.367
2023-04-08,2.93495
2023-04-09,2.32681
2023-04-10,12.34796
2023-04-11,18.72025
2023-04-12,15.52088
2023-04-13,16.20835
2023-04-14,15.15071
2023-04-15,2.40613
2023-04-16,2.45901
2023-04-17,14.78053
2023-04-18,17.9799
2023-04-19,18.29719
2023-04-20,17.5304
2023-04-21,14.33104
2023-04-22,2.74986
2023-04-23,2.22104
2023-04-24,15.9175
2023-04-25,15.73241
2023-04-26,16.68429
2023-04-27,19.27551
2023-04-28,13.61713
2023-04-29,2.82919
2023-04-30,1.63934
2023-05-01,2.59122
2023-05-02,12.66525
2023-05-03,16.07615
2023-05-04,16.39344
2023-05-05,3.91327
2023-05-06,2.48545
2023-05-07,2.72342
2023-05-08,15.25647
2023-05-09,22.58064
2023-05-10,21.89317
2023-05-11,23.90269
2023-05-12,20.624
2023-05-13,4.46853
2023-05-14,2.80274
2023-05-15,27.7102
2023-05-16,31.06821
2023-05-17,29.00581
2023-05-18,28.18614
2023-05-19,23.37387
2023-05-20,4.60074
2023-05-21,3.59598
2023-05-22,25.93865
2023-05-23,34.61131
2023-05-24,37.09677
2023-05-25,31.78212
2023-05-26,24.82813
2023-05-27,4.1248
2023-05-28,3.04071
2023-05-29,4.99735
2023-05-30,35.56319
2023-05-31,40.48122
2023-06-01,45.21417
2023-06-02,46.93283
2023-06-03,8.2496
2023-06-04,6.29296
2023-06-05,31.38551
2023-06-06,7.6679
2023-06-07,48.46641
2023-06-08,53.91327
2023-06-09,43.83923
2023-06-10,7.00687
2023-06-11,5.47329
2023-06-12,48.46641
2023-06-13,60.70861
2023-06-14,59.36012
2023-06-15,62.61237
2023-06-16,53.88683
2023-06-17,9.51877
2023-06-18,7.00687
2023-06-19,56.13432
2023-06-20,76.78476
2023-06-21,80.01057
2023-06-22,90.37546
2023-06-23,61.3432
2023-06-24,12.05711
2023-06-25,10.33844
2023-06-26,65.67953
2023-06-27,79.56107
2023-06-28,72.63352
2023-06-29,65.62665
