date,호텔신라주가
2021-04-17,3.19992
2021-04-18,3.11226
2021-04-19,24.63069
2021-04-20,27.7035
2021-04-21,23.47126
2021-04-22,22.85758
2021-04-23,22.09047
2021-04-24,3.71937
2021-04-25,3.04212
2021-04-26,30.13851
2021-04-27,26.42791
2021-04-28,28.93963
2021-04-29,41.1432
2021-04-30,50.75176
2021-05-01,6.77245
2021-05-02,5.27769
2021-05-03,51.61749
2021-05-04,47.68553
2021-05-05,6.95217
2021-05-06,50.53259
2021-05-07,42.89221
2021-05-08,4.56976
2021-05-09,4.32209
2021-05-10,44.07574
2021-05-11,40.1898
2021-05-12,36.54495
2021-05-13,43.72506
2021-05-14,37.15425
2021-05-15,4.01525
2021-05-16,7.77407
2021-05-17,44.47025
2021-05-18,39.14215
2021-05-19,5.48809
2021-05-20,35.18169
2021-05-21,36.56467
2021-05-22,4.31552
2021-05-23,3.6054
2021-05-24,33.09516
2021-05-25,37.34712
2021-05-26,53.93635
2021-05-27,51.15285
2021-05-28,42.78043
2021-05-29,5.6722
2021-05-30,4.15333
2021-05-31,60.21566
2021-06-01,51.13093
2021-06-02,50.99723
2021-06-03,46.7124
2021-06-04,46.68829
2021-06-05,5.55604
2021-06-06,4.19059
2021-06-07,41.26813
2021-06-08,36.62823
2021-06-09,46.65541
2021-06-10,41.08403
2021-06-11,37.36466
2021-06-12,3.51553
2021-06-13,3.21088
2021-06-14,33.1916
2021-06-15,30.79384
2021-06-16,30.95165
2021-06-17,33.38447
2021-06-18,29.17196
2021-06-19,3.54403
2021-06-20,2.63884
2021-06-21,32.47271
2021-06-22,29.75277
2021-06-23,32.17682
2021-06-24,34.89019
2021-06-25,33.78556
2021-06-26,4.03717
2021-06-27,2.915
2021-06-28,29.14785
2021-06-29,25.84929
2021-06-30,25.24437
2021-07-01,25.53368
2021-07-02,24.62411
2021-07-03,3.50896
2021-07-04,2.52487
2021-07-05,25.55122
2021-07-06,28.63718
2021-07-07,32.28641
2021-07-08,30.82233
2021-07-09,32.08039
2021-07-10,4.26292
2021-07-11,3.37307
2021-07-12,26.86845
2021-07-13,27.89637
2021-07-14,26.62736
2021-07-15,26.06189
2021-07-16,23.56331
2021-07-17,2.21803
2021-07-18,1.83228
2021-07-19,22.32937
2021-07-20,22.3206
2021-07-21,22.70196
2021-07-22,33.24858
2021-07-23,24.88931
2021-07-24,3.29417
2021-07-25,2.61473
2021-07-26,21.98088
2021-07-27,21.8713
2021-07-28,20.19462
2021-07-29,19.85271
2021-07-30,18.30535
2021-07-31,1.9594
2021-08-01,1.44654
2021-08-02,21.91294
2021-08-03,21.30364
2021-08-04,24.47507
2021-08-05,21.87568
2021-08-06,21.0757
2021-08-07,2.27063
2021-08-08,2.15008
2021-08-09,21.96554
2021-08-10,21.09323
2021-08-11,20.97269
2021-08-12,20.18147
2021-08-13,21.96554
2021-08-14,2.29474
2021-08-15,1.84105
2021-08-16,3.04431
2021-08-17,23.78249
2021-08-18,22.72607
2021-08-19,24.03015
2021-08-20,22.23732
2021-08-21,2.43939
2021-08-22,2.27282
2021-08-23,22.77429
2021-08-24,27.17529
2021-08-25,25.07561
2021-08-26,24.90465
2021-08-27,21.45925
2021-08-28,2.58624
2021-08-29,2.11502
2021-08-30,22.29211
2021-08-31,21.98088
2021-09-01,21.77486
2021-09-02,22.33375
2021-09-03,21.3935
2021-09-04,4.97084
2021-09-05,2.41309
2021-09-06,21.15898
2021-09-07,18.69109
2021-09-08,19.40998
2021-09-09,19.31793
2021-09-10,18.96287
2021-09-11,2.09968
2021-09-12,1.81694
2021-09-13,19.46477
2021-09-14,27.82843
2021-09-15,24.60439
2021-09-16,20.21873
2021-09-17,19.49765
2021-09-18,1.93968
2021-09-19,1.4312
2021-09-20,1.17257
2021-09-21,1.33257
2021-09-22,1.81475
