date,CI보험
2021-02-23,25.49745
2021-02-24,22.25821
2021-02-25,28.22767
2021-02-26,21.05506
2021-02-27,21.00879
2021-02-28,14.76168
2021-03-01,13.60481
2021-03-02,20.54604
2021-03-03,22.95233
2021-03-04,19.38917
2021-03-05,16.28875
2021-03-06,17.4919
2021-03-07,11.33734
2021-03-08,21.56409
2021-03-09,24.2943
2021-03-10,26.74687
2021-03-11,22.67468
2021-03-12,18.13975
2021-03-13,18.27857
2021-03-14,15.31698
2021-03-15,25.91392
2021-03-16,25.86765
2021-03-17,27.20962
2021-03-18,23.78528
2021-03-19,26.93197
2021-03-20,16.14993
2021-03-21,11.05969
2021-03-22,18.74132
2021-03-23,22.53586
2021-03-24,23.60018
2021-03-25,21.47154
2021-03-26,19.11152
2021-03-27,15.17815
2021-03-28,13.04951
2021-03-29,21.93428
2021-03-30,19.89819
2021-03-31,20.31466
2021-04-01,16.3813
2021-04-02,21.56409
2021-04-03,11.15224
2021-04-04,9.06987
2021-04-05,15.22443
2021-04-06,18.60249
2021-04-07,28.69042
2021-04-08,20.54604
2021-04-09,18.09347
2021-04-10,11.33734
2021-04-11,12.81813
2021-04-12,17.76955
2021-04-13,21.65664
2021-04-14,19.89819
2021-04-15,18.69504
2021-04-16,19.06524
2021-04-17,16.5664
2021-04-18,12.44794
2021-04-19,20.49976
2021-04-20,36.51087
2021-04-21,22.76723
2021-04-22,22.44331
2021-04-23,18.78759
2021-04-24,25.0347
2021-04-25,10.87459
2021-04-26,17.39935
2021-04-27,18.37112
2021-04-28,26.79315
2021-04-29,20.26839
2021-04-30,20.40721
2021-05-01,9.81027
2021-05-02,6.52475
2021-05-03,19.48172
2021-05-04,20.03701
2021-05-05,18.23229
2021-05-06,18.46367
2021-05-07,15.03933
2021-05-08,9.76399
2021-05-09,8.4683
2021-05-10,16.52012
2021-05-11,16.0111
2021-05-12,17.3068
2021-05-13,17.26052
2021-05-14,14.99305
2021-05-15,7.63535
2021-05-16,14.80795
2021-05-17,19.20407
2021-05-18,18.60249
2021-05-19,15.36325
2021-05-20,22.67468
2021-05-21,16.84405
2021-05-22,9.85654
2021-05-23,6.8024
2021-05-24,21.42526
2021-05-25,23.97038
2021-05-26,19.85192
2021-05-27,23.36881
2021-05-28,20.12956
2021-05-29,15.73345
2021-05-30,8.8385
2021-05-31,18.13975
