date,부동산정보
2021-03-30,51.51515
2021-03-31,43.72294
2021-04-01,39.82683
2021-04-02,39.82683
2021-04-03,33.33333
2021-04-04,26.40692
2021-04-05,61.90476
2021-04-06,51.08225
2021-04-07,48.48484
2021-04-08,56.27705
2021-04-09,52.38095
2021-04-10,40.69264
2021-04-11,35.49783
2021-04-12,53.67965
2021-04-13,56.27705
2021-04-14,44.58874
2021-04-15,57.57575
2021-04-16,54.54545
2021-04-17,49.78354
2021-04-18,33.76623
2021-04-19,72.29437
2021-04-20,60.60606
2021-04-21,61.47186
2021-04-22,44.15584
2021-04-23,44.15584
2021-04-24,29.00432
2021-04-25,26.40692
2021-04-26,51.51515
2021-04-27,57.57575
2021-04-28,50.21645
2021-04-29,48.05194
2021-04-30,49.35064
2021-05-01,31.60173
2021-05-02,36.79653
2021-05-03,43.72294
2021-05-04,38.96103
2021-05-05,35.06493
2021-05-06,42.42424
2021-05-07,41.99134
2021-05-08,24.67532
2021-05-09,25.10822
2021-05-10,42.42424
2021-05-11,51.08225
2021-05-12,45.88744
2021-05-13,45.45454
2021-05-14,36.36363
2021-05-15,34.19913
2021-05-16,30.30303
2021-05-17,43.72294
2021-05-18,41.12554
2021-05-19,25.10822
2021-05-20,51.08225
2021-05-21,51.51515
2021-05-22,37.66233
2021-05-23,47.18614
2021-05-24,44.15584
2021-05-25,42.85714
2021-05-26,43.29004
2021-05-27,53.24675
2021-05-28,51.94805
2021-05-29,35.06493
2021-05-30,32.46753
2021-05-31,58.00865
2021-06-01,49.78354
2021-06-02,57.14285
2021-06-03,52.38095
2021-06-04,48.48484
2021-06-05,24.67532
2021-06-06,36.36363
2021-06-07,50.64935
2021-06-08,51.08225
2021-06-09,35.49783
2021-06-10,47.18614
2021-06-11,38.96103
2021-06-12,27.27272
2021-06-13,24.24242
2021-06-14,42.42424
2021-06-15,38.52813
2021-06-16,51.94805
2021-06-17,54.54545
2021-06-18,50.64935
2021-06-19,35.93073
2021-06-20,30.30303
2021-06-21,45.45454
2021-06-22,43.29004
2021-06-23,44.58874
2021-06-24,47.61904
2021-06-25,41.99134
2021-06-26,31.16883
2021-06-27,33.76623
2021-06-28,40.25974
2021-06-29,35.06493
2021-06-30,53.67965
2021-07-01,36.79653
2021-07-02,38.52813
2021-07-03,28.13852
2021-07-04,31.60173
2021-07-05,47.61904
2021-07-06,46.32034
2021-07-07,41.12554
2021-07-08,39.39393
2021-07-09,47.18614
2021-07-10,25.54112
2021-07-11,19.04761
2021-07-12,41.99134
2021-07-13,45.02164
2021-07-14,47.61904
2021-07-15,41.12554
2021-07-16,48.48484
