date,재결
2022-05-14,38.64864
2022-05-15,27.56756
2022-05-16,48.64864
2022-05-17,56.75675
2022-05-18,58.64864
2022-05-19,56.75675
2022-05-20,46.75675
2022-05-21,35.94594
2022-05-22,31.62162
2022-05-23,43.24324
2022-05-24,66.75675
2022-05-25,60.54054
2022-05-26,56.21621
2022-05-27,49.18918
2022-05-28,35.4054
2022-05-29,34.86486
2022-05-30,55.94594
2022-05-31,55.13513
2022-06-01,44.05405
2022-06-02,49.18918
2022-06-03,57.02702
2022-06-04,41.08108
2022-06-05,36.75675
2022-06-06,44.32432
2022-06-07,58.91891
2022-06-08,64.32432
2022-06-09,67.83783
2022-06-10,59.72972
2022-06-11,42.16216
2022-06-12,48.1081
2022-06-13,60.54054
2022-06-14,65.67567
2022-06-15,75.4054
2022-06-16,70.54054
2022-06-17,67.29729
2022-06-18,33.78378
2022-06-19,25.67567
2022-06-20,44.59459
2022-06-21,39.45945
2022-06-22,40.81081
2022-06-23,37.29729
2022-06-24,38.91891
2022-06-25,27.56756
2022-06-26,19.45945
2022-06-27,38.64864
2022-06-28,49.45945
2022-06-29,41.35135
2022-06-30,42.7027
2022-07-01,34.05405
2022-07-02,26.21621
2022-07-03,24.32432
2022-07-04,44.32432
2022-07-05,38.91891
2022-07-06,45.4054
2022-07-07,43.78378
2022-07-08,40.27027
2022-07-09,23.78378
2022-07-10,21.62162
2022-07-11,41.89189
2022-07-12,49.18918
2022-07-13,41.89189
2022-07-14,53.51351
2022-07-15,40.81081
2022-07-16,23.78378
2022-07-17,18.91891
2022-07-18,37.83783
2022-07-19,41.62162
2022-07-20,41.89189
2022-07-21,37.29729
2022-07-22,40.27027
2022-07-23,18.1081
2022-07-24,24.86486
2022-07-25,37.02702
2022-07-26,38.64864
2022-07-27,36.21621
2022-07-28,33.24324
2022-07-29,30.0
2022-07-30,19.45945
2022-07-31,22.43243
2022-08-01,36.48648
2022-08-02,32.7027
2022-08-03,38.1081
2022-08-04,35.4054
2022-08-05,37.56756
2022-08-06,20.27027
2022-08-07,24.59459
2022-08-08,45.13513
2022-08-09,46.75675
2022-08-10,40.0
2022-08-11,39.72972
2022-08-12,39.18918
2022-08-13,20.54054
2022-08-14,24.59459
2022-08-15,32.16216
2022-08-16,39.18918
2022-08-17,40.27027
2022-08-18,42.16216
2022-08-19,36.21621
2022-08-20,30.54054
2022-08-21,25.94594
2022-08-22,44.05405
2022-08-23,54.05405
2022-08-24,50.54054
2022-08-25,41.89189
2022-08-26,38.1081
2022-08-27,19.72972
2022-08-28,22.97297
2022-08-29,35.13513
2022-08-30,43.78378
2022-08-31,44.59459
2022-09-01,45.67567
2022-09-02,38.1081
2022-09-03,29.18918
2022-09-04,25.94594
2022-09-05,37.02702
2022-09-06,48.1081
2022-09-07,41.08108
2022-09-08,38.37837
2022-09-09,23.24324
2022-09-10,16.75675
2022-09-11,15.94594
2022-09-12,30.0
2022-09-13,49.72972
2022-09-14,49.18918
2022-09-15,45.13513
2022-09-16,38.37837
2022-09-17,31.89189
2022-09-18,30.54054
2022-09-19,48.1081
2022-09-20,44.32432
2022-09-21,44.05405
2022-09-22,49.18918
2022-09-23,41.08108
2022-09-24,23.51351
2022-09-25,21.08108
2022-09-26,46.48648
2022-09-27,62.7027
2022-09-28,51.89189
2022-09-29,51.35135
2022-09-30,44.05405
2022-10-01,30.54054
2022-10-02,25.67567
2022-10-03,31.08108
2022-10-04,51.08108
2022-10-05,53.24324
2022-10-06,52.16216
2022-10-07,42.16216
2022-10-08,37.56756
2022-10-09,28.37837
2022-10-10,37.29729
2022-10-11,56.21621
2022-10-12,60.81081
2022-10-13,52.16216
2022-10-14,49.18918
2022-10-15,40.81081
2022-10-16,29.45945
2022-10-17,57.02702
2022-10-18,57.83783
2022-10-19,55.13513
2022-10-20,52.97297
2022-10-21,50.81081
2022-10-22,35.67567
2022-10-23,35.13513
2022-10-24,53.78378
2022-10-25,59.72972
2022-10-26,61.89189
2022-10-27,57.83783
2022-10-28,52.7027
2022-10-29,22.16216
2022-10-30,21.35135
2022-10-31,36.21621
2022-11-01,37.83783
2022-11-02,39.45945
2022-11-03,47.02702
2022-11-04,36.75675
2022-11-05,18.1081
2022-11-06,21.08108
2022-11-07,38.1081
2022-11-08,36.48648
2022-11-09,34.86486
2022-11-10,40.0
2022-11-11,38.64864
2022-11-12,22.16216
2022-11-13,15.94594
2022-11-14,44.86486
2022-11-15,50.27027
2022-11-16,41.08108
2022-11-17,37.83783
2022-11-18,40.27027
2022-11-19,22.16216
2022-11-20,20.27027
2022-11-21,37.83783
2022-11-22,34.59459
2022-11-23,40.54054
2022-11-24,32.43243
2022-11-25,40.54054
2022-11-26,20.81081
2022-11-27,22.7027
2022-11-28,44.86486
2022-11-29,47.56756
2022-11-30,40.27027
2022-12-01,40.0
2022-12-02,39.18918
2022-12-03,21.62162
2022-12-04,23.51351
2022-12-05,44.05405
2022-12-06,43.51351
2022-12-07,44.05405
2022-12-08,44.05405
2022-12-09,51.62162
2022-12-10,26.48648
2022-12-11,26.21621
2022-12-12,48.64864
2022-12-13,58.37837
2022-12-14,46.75675
2022-12-15,44.05405
2022-12-16,44.05405
2022-12-17,29.18918
2022-12-18,25.94594
2022-12-19,35.4054
2022-12-20,45.67567
2022-12-21,47.29729
2022-12-22,41.08108
2022-12-23,39.18918
2022-12-24,19.45945
2022-12-25,15.67567
2022-12-26,40.81081
2022-12-27,38.64864
2022-12-28,38.91891
2022-12-29,39.45945
2022-12-30,32.16216
2022-12-31,21.62162
2023-01-01,20.54054
2023-01-02,45.13513
2023-01-03,46.21621
2023-01-04,56.48648
2023-01-05,47.02702
2023-01-06,50.0
2023-01-07,27.83783
2023-01-08,26.75675
2023-01-09,53.51351
2023-01-10,56.75675
2023-01-11,50.27027
2023-01-12,50.27027
2023-01-13,44.32432
2023-01-14,23.24324
2023-01-15,30.81081
2023-01-16,38.64864
2023-01-17,46.48648
2023-01-18,41.89189
2023-01-19,47.29729
2023-01-20,38.1081
2023-01-21,19.45945
2023-01-22,14.86486
2023-01-23,18.91891
2023-01-24,23.51351
2023-01-25,43.78378
2023-01-26,42.97297
2023-01-27,45.67567
2023-01-28,25.94594
2023-01-29,24.86486
2023-01-30,53.51351
2023-01-31,51.62162
2023-02-01,51.08108
2023-02-02,51.62162
2023-02-03,48.1081
2023-02-04,32.97297
2023-02-05,31.08108
2023-02-06,53.78378
2023-02-07,48.37837
2023-02-08,45.13513
2023-02-09,53.51351
2023-02-10,45.94594
2023-02-11,31.89189
2023-02-12,25.4054
2023-02-13,49.45945
2023-02-14,45.4054
2023-02-15,53.24324
2023-02-16,54.86486
2023-02-17,54.86486
2023-02-18,29.45945
2023-02-19,30.27027
2023-02-20,47.56756
2023-02-21,54.32432
2023-02-22,52.7027
2023-02-23,46.21621
2023-02-24,54.05405
2023-02-25,23.24324
2023-02-26,25.94594
2023-02-27,48.1081
