date,간병보험
2021-02-13,13.88101
2021-02-14,10.8593
2021-02-15,21.15203
2021-02-16,15.10859
2021-02-17,15.20302
2021-02-18,17.09159
2021-02-19,24.92917
2021-02-20,13.03116
2021-02-21,8.59301
2021-02-22,16.71388
2021-02-23,11.89801
2021-02-24,11.89801
2021-02-25,14.1643
2021-02-26,11.61473
2021-02-27,7.83758
2021-02-28,8.40415
2021-03-01,11.33144
2021-03-02,10.67044
2021-03-03,19.73559
2021-03-04,16.33616
2021-03-05,10.95372
2021-03-06,7.93201
2021-03-07,6.04343
2021-03-08,19.07459
2021-03-09,11.14258
2021-03-10,12.46458
2021-03-11,10.76487
2021-03-12,10.48158
2021-03-13,6.42115
2021-03-14,7.45986
2021-03-15,10.8593
2021-03-16,14.1643
2021-03-17,10.29272
2021-03-18,11.61473
2021-03-19,10.8593
2021-03-20,6.32672
2021-03-21,7.45986
2021-03-22,20.49102
2021-03-23,13.78659
2021-03-24,15.20302
2021-03-25,11.89801
2021-03-26,13.12559
2021-03-27,8.21529
2021-03-28,8.59301
2021-03-29,13.31444
2021-03-30,13.59773
2021-03-31,11.23701
2021-04-01,12.46458
2021-04-02,9.82058
2021-04-03,8.02644
2021-04-04,5.949
2021-04-05,10.57601
2021-04-06,11.42587
2021-04-07,19.73559
2021-04-08,13.03116
2021-04-09,11.33144
2021-04-10,7.64872
2021-04-11,6.79886
2021-04-12,16.05288
2021-04-13,14.54202
2021-04-14,13.59773
2021-04-15,14.35316
2021-04-16,12.37016
2021-04-17,6.89329
2021-04-18,7.08215
2021-04-19,12.46458
2021-04-20,12.37016
2021-04-21,22.28517
2021-04-22,15.4863
2021-04-23,15.10859
2021-04-24,7.64872
2021-04-25,6.42115
2021-04-26,12.93673
2021-04-27,14.8253
2021-04-28,17.37488
2021-04-29,16.05288
2021-04-30,14.06987
2021-05-01,8.40415
2021-05-02,6.51558
2021-05-03,12.08687
2021-05-04,15.01416
2021-05-05,7.08215
2021-05-06,12.46458
2021-05-07,11.89801
2021-05-08,7.08215
2021-05-09,11.23701
2021-05-10,11.04815
2021-05-11,13.78659
2021-05-12,11.70915
2021-05-13,14.1643
2021-05-14,11.04815
2021-05-15,7.27101
2021-05-16,4.81586
2021-05-17,12.08687
2021-05-18,10.76487
2021-05-19,6.89329
2021-05-20,15.29745
2021-05-21,10.48158
2021-05-22,6.42115
2021-05-23,6.13786
2021-05-24,8.78186
2021-05-25,13.69216
2021-05-26,11.14258
2021-05-27,12.27573
2021-05-28,11.14258
2021-05-29,7.36543
2021-05-30,6.32672
2021-05-31,12.08687
2021-06-01,9.63172
2021-06-02,11.80358
2021-06-03,12.08687
2021-06-04,10.57601
2021-06-05,8.59301
2021-06-06,4.72143
2021-06-07,10.29272
2021-06-08,10.38715
2021-06-09,11.23701
2021-06-10,9.25401
2021-06-11,8.30972
2021-06-12,7.93201
2021-06-13,5.09915
2021-06-14,10.57601
2021-06-15,13.5033
2021-06-16,12.27573
2021-06-17,11.70915
2021-06-18,9.91501
2021-06-19,5.57129
2021-06-20,5.57129
2021-06-21,10.00944
2021-06-22,11.04815
2021-06-23,9.72615
2021-06-24,10.57601
2021-06-25,9.34844
2021-06-26,6.70443
2021-06-27,3.966
2021-06-28,8.68744
2021-06-29,13.78659
2021-06-30,10.00944
2021-07-01,8.78186
2021-07-02,9.15958
2021-07-03,5.76015
2021-07-04,4.627
2021-07-05,11.42587
2021-07-06,8.49858
2021-07-07,9.25401
2021-07-08,8.59301
2021-07-09,8.21529
2021-07-10,5.85457
2021-07-11,5.66572
2021-07-12,8.02644
2021-07-13,10.95372
2021-07-14,10.1983
2021-07-15,10.00944
2021-07-16,8.12086
2021-07-17,6.42115
2021-07-18,5.09915
2021-07-19,11.33144
2021-07-20,7.17658
2021-07-21,10.1983
2021-07-22,11.14258
2021-07-23,9.63172
2021-07-24,7.27101
2021-07-25,5.19357
2021-07-26,9.53729
2021-07-27,10.1983
2021-07-28,9.15958
2021-07-29,8.97072
2021-07-30,6.32672
2021-07-31,5.47686
2021-08-01,6.23229
2021-08-02,10.10387
2021-08-03,8.21529
2021-08-04,8.21529
2021-08-05,10.1983
2021-08-06,11.23701
2021-08-07,9.25401
2021-08-08,5.57129
2021-08-09,12.27573
2021-08-10,10.67044
2021-08-11,14.91973
2021-08-12,11.33144
2021-08-13,11.33144
2021-08-14,7.74315
2021-08-15,5.57129
2021-08-16,8.02644
2021-08-17,8.12086
2021-08-18,11.42587
2021-08-19,11.61473
2021-08-20,12.55901
2021-08-21,6.79886
2021-08-22,7.45986
2021-08-23,10.1983
2021-08-24,10.67044
2021-08-25,15.86402
2021-08-26,13.88101
2021-08-27,12.74787
2021-08-28,7.93201
2021-08-29,7.27101
2021-08-30,9.34844
2021-08-31,11.23701
2021-09-01,11.14258
2021-09-02,12.65344
2021-09-03,10.29272
2021-09-04,5.57129
2021-09-05,6.89329
2021-09-06,8.30972
2021-09-07,9.91501
2021-09-08,10.57601
2021-09-09,12.65344
2021-09-10,7.45986
2021-09-11,5.57129
2021-09-12,8.68744
2021-09-13,11.99244
2021-09-14,11.04815
2021-09-15,14.54202
2021-09-16,10.76487
2021-09-17,9.91501
2021-09-18,6.23229
2021-09-19,6.79886
2021-09-20,5.38243
2021-09-21,6.70443
2021-09-22,9.53729
2021-09-23,13.40887
2021-09-24,14.91973
2021-09-25,11.23701
2021-09-26,8.59301
2021-09-27,13.5033
2021-09-28,15.39187
2021-09-29,16.43059
2021-09-30,16.24173
2021-10-01,11.14258
2021-10-02,5.85457
2021-10-03,7.93201
2021-10-04,10.00944
2021-10-05,19.54674
2021-10-06,18.31916
2021-10-07,14.44759
2021-10-08,24.55146
2021-10-09,16.24173
2021-10-10,9.25401
2021-10-11,11.42587
2021-10-12,14.35316
2021-10-13,17.37488
2021-10-14,14.8253
2021-10-15,12.93673
2021-10-16,9.72615
2021-10-17,7.08215
2021-10-18,11.23701
2021-10-19,13.69216
2021-10-20,13.78659
2021-10-21,13.03116
2021-10-22,14.44759
2021-10-23,8.87629
2021-10-24,8.59301
2021-10-25,20.01888
2021-10-26,18.50802
2021-10-27,15.76959
2021-10-28,16.61945
2021-10-29,15.4863
2021-10-30,7.74315
2021-10-31,7.74315
2021-11-01,14.8253
2021-11-02,12.74787
2021-11-03,14.63644
2021-11-04,13.59773
2021-11-05,12.8423
2021-11-06,8.30972
2021-11-07,9.25401
2021-11-08,11.42587
2021-11-09,15.29745
2021-11-10,18.79131
2021-11-11,16.99716
2021-11-12,15.29745
2021-11-13,9.53729
2021-11-14,9.82058
2021-11-15,16.71388
2021-11-16,14.1643
2021-11-17,17.94145
2021-11-18,13.88101
2021-11-19,12.46458
2021-11-20,9.44287
2021-11-21,10.1983
2021-11-22,11.99244
2021-11-23,14.06987
2021-11-24,13.03116
2021-11-25,31.2559
2021-11-26,15.39187
2021-11-27,8.87629
2021-11-28,10.29272
2021-11-29,13.88101
2021-11-30,10.95372
2021-12-01,11.14258
2021-12-02,10.8593
2021-12-03,8.68744
2021-12-04,7.55429
2021-12-05,6.32672
2021-12-06,11.33144
2021-12-07,13.22001
2021-12-08,12.65344
2021-12-09,14.44759
2021-12-10,12.65344
2021-12-11,8.68744
2021-12-12,9.91501
2021-12-13,13.97544
2021-12-14,11.99244
2021-12-15,14.54202
2021-12-16,11.89801
2021-12-17,11.5203
2021-12-18,7.83758
2021-12-19,7.17658
2021-12-20,12.08687
2021-12-21,11.5203
2021-12-22,12.65344
2021-12-23,12.1813
2021-12-24,8.68744
2021-12-25,7.17658
2021-12-26,9.72615
2021-12-27,10.38715
2021-12-28,12.74787
2021-12-29,12.37016
2021-12-30,12.8423
2021-12-31,9.15958
2022-01-01,5.57129
2022-01-02,4.43814
2022-01-03,10.95372
2022-01-04,9.53729
2022-01-05,12.27573
2022-01-06,11.70915
2022-01-07,12.08687
2022-01-08,7.64872
2022-01-09,8.59301
2022-01-10,13.40887
2022-01-11,12.93673
2022-01-12,14.73087
2022-01-13,12.46458
2022-01-14,8.97072
2022-01-15,8.87629
2022-01-16,6.79886
2022-01-17,10.48158
2022-01-18,13.97544
2022-01-19,12.74787
2022-01-20,12.08687
2022-01-21,10.57601
2022-01-22,8.97072
2022-01-23,8.21529
2022-01-24,13.97544
2022-01-25,13.40887
2022-01-26,11.42587
2022-01-27,10.1983
2022-01-28,10.29272
2022-01-29,7.08215
2022-01-30,5.85457
2022-01-31,6.61
2022-02-01,7.64872
2022-02-02,8.68744
2022-02-03,13.88101
2022-02-04,12.27573
2022-02-05,9.63172
2022-02-06,9.15958
2022-02-07,12.65344
2022-02-08,12.1813
2022-02-09,13.12559
2022-02-10,14.1643
2022-02-11,12.74787
2022-02-12,6.61
2022-02-13,7.74315
2022-02-14,13.88101
2022-02-15,14.44759
2022-02-16,18.03588
2022-02-17,20.30217
2022-02-18,16.05288
2022-02-19,9.15958
2022-02-20,7.83758
2022-02-21,12.55901
2022-02-22,13.12559
2022-02-23,14.1643
2022-02-24,12.93673
2022-02-25,10.95372
2022-02-26,7.45986
2022-02-27,7.45986
2022-02-28,11.23701
2022-03-01,7.55429
2022-03-02,9.53729
2022-03-03,11.14258
2022-03-04,9.15958
2022-03-05,7.08215
2022-03-06,6.32672
2022-03-07,9.06515
2022-03-08,6.89329
2022-03-09,5.949
2022-03-10,7.83758
2022-03-11,10.10387
2022-03-12,6.13786
2022-03-13,8.21529
2022-03-14,11.23701
2022-03-15,9.91501
2022-03-16,8.30972
2022-03-17,11.61473
2022-03-18,11.80358
2022-03-19,7.36543
2022-03-20,6.89329
2022-03-21,8.59301
2022-03-22,11.23701
2022-03-23,9.06515
2022-03-24,13.12559
2022-03-25,10.38715
2022-03-26,6.32672
2022-03-27,10.10387
2022-03-28,11.89801
2022-03-29,10.95372
2022-03-30,13.31444
2022-03-31,12.93673
2022-04-01,7.93201
2022-04-02,6.13786
2022-04-03,5.76015
2022-04-04,9.25401
2022-04-05,9.82058
2022-04-06,11.5203
2022-04-07,12.65344
2022-04-08,7.55429
2022-04-09,6.42115
2022-04-10,6.61
2022-04-11,10.57601
2022-04-12,13.5033
2022-04-13,11.42587
2022-04-14,11.80358
2022-04-15,10.76487
2022-04-16,6.23229
2022-04-17,5.85457
2022-04-18,12.74787
2022-04-19,14.91973
2022-04-20,10.1983
2022-04-21,11.04815
2022-04-22,12.46458
2022-04-23,8.12086
2022-04-24,7.64872
2022-04-25,14.63644
2022-04-26,12.55901
2022-04-27,9.63172
2022-04-28,9.15958
2022-04-29,9.44287
2022-04-30,7.64872
2022-05-01,8.02644
2022-05-02,9.53729
2022-05-03,20.01888
2022-05-04,12.1813
2022-05-05,6.32672
2022-05-06,9.82058
2022-05-07,6.98772
2022-05-08,7.74315
2022-05-09,12.8423
2022-05-10,11.80358
2022-05-11,9.91501
2022-05-12,16.33616
2022-05-13,8.68744
2022-05-14,9.34844
2022-05-15,4.43814
2022-05-16,8.21529
2022-05-17,22.19074
2022-05-18,10.38715
2022-05-19,13.03116
2022-05-20,11.70915
2022-05-21,8.02644
2022-05-22,6.51558
