date,상장주식
2021-04-21,9.46045
2021-04-22,6.20842
2021-04-23,5.76496
2021-04-24,3.0303
2021-04-25,3.54767
2021-04-26,7.68662
2021-04-27,7.24316
2021-04-28,10.12564
2021-04-29,6.72579
2021-04-30,4.65631
2021-05-01,3.69549
2021-05-02,2.43902
2021-05-03,3.69549
2021-05-04,3.99113
2021-05-05,2.2912
2021-05-06,4.06504
2021-05-07,4.5824
2021-05-08,1.62601
2021-05-09,2.14338
2021-05-10,7.83444
2021-05-11,14.3385
2021-05-12,4.5824
2021-05-13,4.13895
2021-05-14,4.5824
2021-05-15,3.10421
2021-05-16,3.54767
2021-05-17,6.13451
2021-05-18,3.10421
2021-05-19,2.43902
2021-05-20,5.61714
2021-05-21,5.39541
2021-05-22,2.73466
2021-05-23,2.36511
2021-05-24,3.32594
2021-05-25,3.25203
2021-05-26,5.54323
2021-05-27,5.83887
2021-05-28,4.06504
2021-05-29,1.69992
2021-05-30,2.51293
2021-05-31,4.13895
2021-06-01,3.69549
2021-06-02,4.28677
2021-06-03,4.80413
2021-06-04,4.50849
2021-06-05,1.5521
2021-06-06,2.51293
2021-06-07,5.09977
2021-06-08,4.06504
2021-06-09,3.32594
2021-06-10,3.62158
2021-06-11,4.21286
2021-06-12,2.36511
2021-06-13,1.62601
2021-06-14,5.91278
2021-06-15,4.50849
2021-06-16,4.5824
2021-06-17,5.98669
2021-06-18,4.5824
2021-06-19,1.47819
2021-06-20,1.69992
2021-06-21,3.32594
2021-06-22,3.32594
2021-06-23,5.39541
2021-06-24,3.69549
2021-06-25,5.54323
2021-06-26,2.43902
2021-06-27,1.92165
2021-06-28,5.61714
2021-06-29,3.84331
2021-06-30,2.73466
2021-07-01,4.06504
2021-07-02,3.10421
2021-07-03,1.69992
2021-07-04,3.0303
2021-07-05,3.32594
2021-07-06,2.80857
2021-07-07,4.06504
2021-07-08,5.54323
2021-07-09,3.25203
2021-07-10,2.2912
2021-07-11,2.36511
2021-07-12,4.5824
2021-07-13,6.0606
2021-07-14,5.83887
2021-07-15,4.73022
2021-07-16,7.31707
2021-07-17,2.21729
2021-07-18,2.36511
2021-07-19,3.32594
2021-07-20,4.65631
2021-07-21,4.43458
2021-07-22,5.09977
2021-07-23,5.24759
2021-07-24,2.36511
2021-07-25,1.92165
2021-07-26,5.61714
2021-07-27,7.76053
2021-07-28,5.46932
2021-07-29,5.69105
2021-07-30,4.13895
2021-07-31,2.06947
2021-08-01,1.99556
2021-08-02,4.21286
2021-08-03,3.99113
2021-08-04,4.5824
2021-08-05,6.35624
2021-08-06,14.70805
2021-08-07,5.3215
2021-08-08,4.43458
2021-08-09,21.43385
2021-08-10,15.66888
2021-08-11,14.92978
2021-08-12,14.70805
2021-08-13,9.68218
2021-08-14,3.84331
2021-08-15,2.73466
2021-08-16,3.25203
2021-08-17,10.49519
