date,반도체대장주
2021-02-15,27.79827
2021-02-16,24.60024
2021-02-17,16.97416
2021-02-18,11.93111
2021-02-19,12.17712
2021-02-20,6.15006
2021-02-21,8.24108
2021-02-22,8.24108
2021-02-23,9.47109
2021-02-24,12.79212
2021-02-25,16.11316
2021-02-26,23.24723
2021-02-27,12.30012
2021-02-28,12.54612
2021-03-01,13.53013
2021-03-02,18.32718
2021-03-03,8.85608
2021-03-04,8.24108
2021-03-05,8.24108
2021-03-06,4.92004
2021-03-07,5.78105
2021-03-08,5.28905
2021-03-09,12.91512
2021-03-10,17.34317
2021-03-11,15.25215
2021-03-12,15.12915
2021-03-13,10.0861
2021-03-14,9.84009
2021-03-15,17.71217
2021-03-16,16.35916
2021-03-17,12.66912
2021-03-18,25.46125
2021-03-19,29.15129
2021-03-20,16.85116
2021-03-21,40.0984
2021-03-22,35.79335
2021-03-23,23.61623
2021-03-24,34.19434
2021-03-25,22.63222
2021-03-26,37.51537
2021-03-27,19.68019
2021-03-28,20.1722
2021-03-29,20.5412
2021-03-30,23.61623
2021-03-31,20.9102
2021-04-01,43.17343
2021-04-02,44.89544
2021-04-03,45.51045
2021-04-04,48.70848
2021-04-05,40.9594
2021-04-06,35.67035
2021-04-07,35.05535
2021-04-08,27.06027
2021-04-09,19.31119
2021-04-10,10.0861
2021-04-11,8.48708
2021-04-12,19.68019
2021-04-13,37.88437
2021-04-14,20.4182
2021-04-15,17.58917
2021-04-16,17.46617
2021-04-17,11.68511
2021-04-18,10.8241
2021-04-19,27.42927
2021-04-20,18.20418
2021-04-21,19.55719
2021-04-22,20.7872
2021-04-23,20.7872
2021-04-24,10.8241
2021-04-25,16.23616
2021-04-26,15.25215
2021-04-27,14.02214
2021-04-28,17.95817
2021-04-29,22.75522
2021-04-30,32.34932
2021-05-01,10.8241
2021-05-02,8.11808
2021-05-03,9.34809
2021-05-04,12.54612
2021-05-05,17.22017
2021-05-06,22.63222
2021-05-07,19.18819
2021-05-08,10.7011
2021-05-09,10.4551
2021-05-10,13.89913
2021-05-11,25.58425
2021-05-12,24.72324
2021-05-13,30.6273
2021-05-14,24.10824
2021-05-15,15.74415
2021-05-16,17.22017
2021-05-17,23.73923
2021-05-18,15.49815
2021-05-19,11.93111
2021-05-20,24.96924
2021-05-21,19.06519
2021-05-22,12.54612
2021-05-23,10.4551
2021-05-24,11.68511
2021-05-25,9.96309
2021-05-26,5.53505
2021-05-27,6.15006
2021-05-28,5.90405
2021-05-29,3.19803
2021-05-30,2.33702
2021-05-31,6.51906
2021-06-01,9.10209
2021-06-02,13.89913
2021-06-03,18.57318
2021-06-04,10.3321
2021-06-05,6.15006
2021-06-06,4.05904
2021-06-07,8.48708
2021-06-08,7.13407
2021-06-09,9.34809
2021-06-10,7.13407
2021-06-11,8.85608
2021-06-12,3.32103
2021-06-13,3.56703
2021-06-14,7.13407
2021-06-15,8.36408
2021-06-16,9.22509
2021-06-17,9.47109
2021-06-18,13.03813
2021-06-19,6.51906
2021-06-20,3.93603
2021-06-21,4.79704
2021-06-22,4.30504
2021-06-23,8.85608
2021-06-24,13.28413
2021-06-25,10.8241
2021-06-26,5.16605
2021-06-27,6.15006
2021-06-28,9.10209
2021-06-29,7.87207
2021-06-30,7.13407
2021-07-01,7.62607
2021-07-02,6.64206
2021-07-03,2.46002
2021-07-04,3.32103
2021-07-05,3.56703
2021-07-06,5.78105
2021-07-07,6.76506
2021-07-08,4.79704
2021-07-09,3.69003
2021-07-10,3.56703
2021-07-11,1.35301
2021-07-12,2.46002
2021-07-13,3.69003
2021-07-14,3.32103
2021-07-15,7.01107
2021-07-16,4.55104
2021-07-17,2.95202
2021-07-18,3.32103
2021-07-19,4.55104
2021-07-20,5.41205
2021-07-21,4.79704
2021-07-22,15.49815
2021-07-23,10.3321
2021-07-24,5.78105
2021-07-25,4.30504
2021-07-26,5.16605
2021-07-27,3.56703
2021-07-28,4.67404
2021-07-29,6.02706
2021-07-30,4.79704
2021-07-31,2.95202
2021-08-01,4.30504
2021-08-02,4.42804
2021-08-03,6.76506
2021-08-04,7.13407
2021-08-05,6.51906
2021-08-06,5.78105
2021-08-07,5.41205
2021-08-08,4.42804
2021-08-09,7.01107
2021-08-10,8.24108
2021-08-11,5.78105
2021-08-12,6.76506
2021-08-13,5.04305
2021-08-14,3.32103
2021-08-15,2.33702
2021-08-16,2.58302
2021-08-17,4.30504
2021-08-18,3.32103
2021-08-19,3.07503
2021-08-20,1.96801
2021-08-21,1.84501
2021-08-22,1.35301
2021-08-23,2.46002
2021-08-24,3.81303
2021-08-25,5.16605
2021-08-26,2.58302
2021-08-27,1.84501
2021-08-28,0.984
2021-08-29,1.59901
2021-08-30,1.23001
2021-08-31,2.21402
2021-09-01,1.84501
2021-09-02,3.07503
2021-09-03,1.59901
2021-09-04,2.21402
2021-09-05,0.615
2021-09-06,2.46002
2021-09-07,3.44403
2021-09-08,2.70602
2021-09-09,3.07503
2021-09-10,1.72201
2021-09-11,2.58302
2021-09-12,2.21402
2021-09-13,2.46002
2021-09-14,3.81303
2021-09-15,3.44403
2021-09-16,1.59901
2021-09-17,2.95202
2021-09-18,1.35301
2021-09-19,1.96801
2021-09-20,1.23001
2021-09-21,1.23001
2021-09-22,1.35301
2021-09-23,2.58302
2021-09-24,2.21402
2021-09-25,0.615
2021-09-26,0.738
2021-09-27,3.93603
2021-09-28,3.56703
2021-09-29,3.32103
2021-09-30,1.96801
2021-10-01,1.84501
2021-10-02,2.82902
2021-10-03,2.58302
2021-10-04,3.07503
2021-10-05,2.82902
2021-10-06,2.33702
2021-10-07,2.09102
2021-10-08,2.09102
2021-10-09,1.23001
2021-10-11,0.984
2021-10-12,1.10701
2021-10-13,2.09102
2021-10-14,2.33702
2021-10-15,3.19803
2021-10-16,1.23001
2021-10-17,0.861
2021-10-18,2.58302
2021-10-20,0.738
2021-10-21,1.96801
2021-10-22,0.984
2021-10-24,0.615
2021-10-25,3.19803
2021-10-26,1.59901
2021-10-27,3.81303
2021-10-28,5.90405
2021-10-29,1.96801
2021-10-30,1.72201
2021-10-31,1.84501
2021-11-01,2.82902
2021-11-02,3.56703
2021-11-03,2.95202
2021-11-04,0.861
2021-11-05,4.55104
2021-11-06,1.47601
2021-11-07,0.861
2021-11-08,1.59901
2021-11-09,3.07503
2021-11-10,1.35301
2021-11-11,2.09102
2021-11-12,3.19803
2021-11-13,4.55104
2021-11-14,1.84501
2021-11-15,9.10209
2021-11-16,7.74907
2021-11-17,5.16605
2021-11-18,3.69003
2021-11-19,9.34809
2021-11-20,5.65805
2021-11-21,6.76506
2021-11-22,23.12423
2021-11-23,11.43911
2021-11-24,8.48708
2021-11-25,6.02706
2021-11-26,4.92004
2021-11-27,5.78105
2021-11-28,2.95202
2021-11-29,3.81303
2021-11-30,5.78105
2021-12-01,4.55104
2021-12-02,12.17712
2021-12-03,8.24108
2021-12-04,5.04305
2021-12-05,6.51906
2021-12-06,7.62607
2021-12-07,12.17712
2021-12-08,11.68511
2021-12-09,6.76506
2021-12-10,3.07503
2021-12-11,2.46002
2021-12-12,4.55104
2021-12-13,4.42804
2021-12-14,2.82902
2021-12-15,4.30504
2021-12-16,5.53505
2021-12-17,2.82902
2021-12-18,1.23001
2021-12-19,2.21402
2021-12-20,3.56703
2021-12-21,5.53505
2021-12-22,8.11808
2021-12-23,4.67404
2021-12-24,3.69003
2021-12-25,4.18204
2021-12-26,7.13407
2021-12-27,6.64206
2021-12-28,6.02706
2021-12-29,6.51906
2021-12-30,3.81303
2021-12-31,1.72201
2022-01-01,4.92004
2022-01-02,4.42804
2022-01-03,9.47109
2022-01-04,5.90405
2022-01-05,4.79704
2022-01-06,3.07503
2022-01-07,3.07503
2022-01-08,3.07503
2022-01-09,1.84501
2022-01-10,1.84501
2022-01-11,5.78105
2022-01-12,4.55104
2022-01-13,2.58302
2022-01-14,2.82902
2022-01-15,2.33702
2022-01-16,2.58302
2022-01-17,3.81303
2022-01-18,3.56703
2022-01-19,4.30504
2022-01-20,2.21402
2022-01-21,1.23001
2022-01-22,1.72201
2022-01-23,2.21402
2022-01-24,2.33702
2022-01-25,4.55104
2022-01-26,4.79704
2022-01-27,6.51906
2022-01-28,5.16605
2022-01-29,3.81303
2022-01-30,2.46002
2022-01-31,2.95202
2022-02-01,3.32103
2022-02-02,2.33702
2022-02-03,3.69003
2022-02-04,7.50307
2022-02-05,4.05904
2022-02-06,2.82902
2022-02-07,10.0861
2022-02-08,3.93603
2022-02-09,3.81303
2022-02-10,2.58302
2022-02-11,3.81303
2022-02-12,1.10701
2022-02-13,2.58302
2022-02-14,2.33702
2022-02-15,3.93603
2022-02-16,7.25707
2022-02-17,4.42804
2022-02-18,3.44403
2022-02-19,3.44403
2022-02-20,4.55104
2022-02-21,3.44403
2022-02-22,3.44403
2022-02-23,3.69003
2022-02-24,4.18204
2022-02-25,4.67404
2022-02-26,2.46002
2022-02-27,0.984
2022-02-28,2.46002
2022-03-01,2.95202
2022-03-02,4.18204
2022-03-03,4.67404
2022-03-04,3.32103
2022-03-05,1.96801
2022-03-06,2.70602
2022-03-07,1.84501
2022-03-08,2.95202
2022-03-09,0.984
2022-03-10,2.70602
2022-03-11,3.19803
2022-03-13,1.35301
2022-03-14,2.46002
2022-03-15,1.84501
2022-03-16,2.70602
2022-03-17,4.55104
2022-03-18,2.46002
2022-03-19,1.35301
2022-03-20,1.23001
2022-03-21,2.09102
2022-03-22,2.46002
2022-03-23,3.32103
2022-03-24,2.58302
2022-03-25,8.11808
2022-03-26,2.33702
2022-03-27,2.95202
2022-03-28,3.44403
2022-03-29,4.79704
2022-03-30,7.25707
2022-03-31,4.42804
2022-04-01,4.79704
2022-04-02,1.96801
2022-04-03,0.738
2022-04-04,2.21402
2022-04-05,2.95202
2022-04-06,1.96801
2022-04-07,1.59901
2022-04-08,2.09102
2022-04-09,1.23001
2022-04-10,1.23001
2022-04-11,1.23001
2022-04-12,2.09102
2022-04-13,5.90405
2022-04-14,3.69003
2022-04-15,3.44403
2022-04-16,2.46002
2022-04-17,3.19803
2022-04-18,1.23001
2022-04-19,3.19803
2022-04-20,3.69003
2022-04-21,5.65805
2022-04-22,4.79704
2022-04-23,2.46002
2022-04-24,3.44403
2022-04-25,3.69003
2022-04-26,2.33702
2022-04-27,2.82902
2022-04-28,1.72201
2022-04-29,3.44403
2022-04-30,1.84501
2022-05-01,1.35301
2022-05-02,3.56703
2022-05-03,3.81303
2022-05-04,1.59901
2022-05-05,2.21402
2022-05-06,2.09102
2022-05-07,1.23001
2022-05-08,1.59901
2022-05-10,3.69003
2022-05-11,2.33702
2022-05-12,1.96801
2022-05-14,2.21402
2022-05-15,1.72201
2022-05-16,2.58302
2022-05-17,2.82902
2022-05-18,6.02706
2022-05-19,4.18204
2022-05-20,9.47109
2022-05-21,6.27306
2022-05-22,4.67404
2022-05-23,3.56703
2022-05-24,3.81303
2022-05-25,2.46002
2022-05-26,3.81303
2022-05-27,2.33702
2022-05-28,2.09102
2022-05-29,2.46002
2022-05-31,2.33702
2022-06-01,2.21402
2022-06-02,1.72201
2022-06-03,2.21402
2022-06-04,0.861
2022-06-05,1.35301
2022-06-07,2.09102
2022-06-08,3.56703
2022-06-09,2.95202
2022-06-10,2.33702
2022-06-11,0.984
2022-06-12,1.59901
2022-06-13,1.23001
2022-06-14,0.738
2022-06-15,1.35301
2022-06-16,1.84501
2022-06-17,1.47601
2022-06-18,1.72201
2022-06-20,0.984
2022-06-22,1.35301
