date,특판예금
2021-02-16,7.94021
2021-02-17,7.51985
2021-02-18,6.11863
2021-02-19,6.81924
2021-02-20,4.39047
2021-02-21,3.3162
2021-02-22,7.65997
2021-02-23,6.72582
2021-02-24,6.49229
2021-02-25,7.09948
2021-02-26,6.16534
2021-02-27,4.29705
2021-02-28,3.82998
2021-03-01,5.9318
2021-03-02,10.22886
2021-03-03,8.40728
2021-03-04,8.36057
2021-03-05,7.37972
2021-03-06,4.06352
2021-03-07,3.64315
2021-03-08,8.82765
2021-03-09,6.67912
2021-03-10,6.95936
2021-03-11,7.28631
2021-03-12,6.30546
2021-03-13,3.08267
2021-03-14,3.78327
2021-03-15,8.40728
2021-03-16,6.49229
2021-03-17,6.95936
2021-03-18,6.5857
2021-03-19,5.41802
2021-03-20,3.59645
2021-03-21,3.45632
2021-03-22,6.44558
2021-03-23,7.1929
2021-03-24,7.00607
2021-03-25,7.09948
2021-03-26,5.69827
2021-03-27,3.64315
2021-03-28,4.39047
2021-03-29,7.70667
2021-03-30,5.97851
2021-03-31,6.07192
2021-04-01,7.70667
2021-04-02,4.624
2021-04-03,3.59645
2021-04-04,4.11022
2021-04-05,7.05277
2021-04-06,6.39887
2021-04-07,5.74497
2021-04-08,6.5857
2021-04-09,5.18449
2021-04-10,2.75572
2021-04-11,2.33535
2021-04-12,7.00607
2021-04-13,4.81083
2021-04-14,5.41802
2021-04-15,5.37132
2021-04-16,5.79168
2021-04-17,3.12937
2021-04-18,3.12937
2021-04-19,5.8851
2021-04-20,5.8851
2021-04-21,6.02522
2021-04-22,4.48388
2021-04-23,4.15693
2021-04-24,2.94255
2021-04-25,3.9701
2021-04-26,5.9318
2021-04-27,6.91265
2021-04-28,6.25875
2021-04-29,5.37132
2021-04-30,3.9701
2021-05-01,3.12937
2021-05-02,3.3162
2021-05-03,6.95936
2021-05-04,5.79168
2021-05-05,3.3162
2021-05-06,5.83839
2021-05-07,6.44558
2021-05-08,3.45632
2021-05-09,3.64315
2021-05-10,8.5474
2021-05-11,6.95936
2021-05-12,6.67912
2021-05-13,7.94021
2021-05-14,4.71742
2021-05-15,3.78327
2021-05-16,3.45632
2021-05-17,5.79168
2021-05-18,5.8851
2021-05-19,3.54974
2021-05-20,7.05277
2021-05-21,7.14619
2021-05-22,3.78327
2021-05-23,3.40962
2021-05-24,6.49229
2021-05-25,7.00607
2021-05-26,5.60485
2021-05-27,5.13778
2021-05-28,5.69827
2021-05-29,2.89584
2021-05-30,3.59645
2021-05-31,7.14619
2021-06-01,7.14619
2021-06-02,4.85754
2021-06-03,5.51144
2021-06-04,4.76412
2021-06-05,2.6156
2021-06-06,2.80242
2021-06-07,4.85754
2021-06-08,5.9318
2021-06-09,5.74497
2021-06-10,5.2779
2021-06-11,4.39047
2021-06-12,2.94255
2021-06-13,2.42877
2021-06-14,6.67912
2021-06-15,6.67912
2021-06-16,7.14619
2021-06-17,4.95095
2021-06-18,5.8851
2021-06-19,2.6156
2021-06-20,2.33535
2021-06-21,6.72582
2021-06-22,6.07192
2021-06-23,4.90425
2021-06-24,8.03362
2021-06-25,7.8468
2021-06-26,3.9234
2021-06-27,3.03596
2021-06-28,7.42643
2021-06-29,7.42643
2021-06-30,6.30546
2021-07-01,5.79168
2021-07-02,5.60485
2021-07-03,3.9701
2021-07-04,2.94255
2021-07-05,5.04437
2021-07-06,5.74497
2021-07-07,6.16534
2021-07-08,5.46473
2021-07-09,4.624
2021-07-10,2.42877
2021-07-11,3.12937
2021-07-12,6.35217
2021-07-13,5.13778
2021-07-14,4.99766
2021-07-15,5.46473
2021-07-16,4.5773
2021-07-17,3.12937
2021-07-18,2.98925
2021-07-19,4.71742
2021-07-20,6.49229
2021-07-21,4.43717
2021-07-22,4.85754
2021-07-23,3.9701
2021-07-24,2.80242
2021-07-25,2.33535
2021-07-26,5.8851
2021-07-27,6.95936
2021-07-28,6.539
2021-07-29,6.539
2021-07-30,6.63241
2021-07-31,2.89584
2021-08-01,2.6623
2021-08-02,8.78094
2021-08-03,9.62167
2021-08-04,7.70667
2021-08-05,6.95936
2021-08-06,7.00607
2021-08-07,2.38206
2021-08-08,2.80242
2021-08-09,6.44558
2021-08-10,7.80009
2021-08-11,5.2779
2021-08-12,5.97851
2021-08-13,5.60485
2021-08-14,3.08267
2021-08-15,4.06352
2021-08-16,3.54974
2021-08-17,7.70667
2021-08-18,7.8935
2021-08-19,7.42643
2021-08-20,6.67912
2021-08-21,3.54974
2021-08-22,3.82998
2021-08-23,9.29472
2021-08-24,8.17375
2021-08-25,6.72582
2021-08-26,11.44325
2021-08-27,11.63007
2021-08-28,3.9701
2021-08-29,5.2312
2021-08-30,9.48155
2021-08-31,9.71508
2021-09-01,12.05044
2021-09-02,8.26716
2021-09-03,7.37972
2021-09-04,3.64315
2021-09-05,3.54974
2021-09-06,7.61326
2021-09-07,10.5091
2021-09-08,7.33302
2021-09-09,8.5007
2021-09-10,9.1546
2021-09-11,4.5773
2021-09-12,4.20364
2021-09-13,7.33302
2021-09-14,8.22045
2021-09-15,7.37972
2021-09-16,5.83839
2021-09-17,5.46473
2021-09-18,3.50303
2021-09-19,3.22279
2021-09-20,2.10182
2021-09-21,2.6156
2021-09-22,5.32461
2021-09-23,9.71508
2021-09-24,8.40728
2021-09-25,4.5773
2021-09-26,3.87669
2021-09-27,7.98692
2021-09-28,8.73423
2021-09-29,6.81924
2021-09-30,7.75338
2021-10-01,7.09948
2021-10-02,3.36291
2021-10-03,3.54974
2021-10-04,4.20364
2021-10-05,8.26716
2021-10-06,8.64082
2021-10-07,6.72582
2021-10-08,7.09948
2021-10-09,3.3162
2021-10-10,3.03596
2021-10-11,3.87669
2021-10-12,7.80009
2021-10-13,5.09107
2021-10-14,6.39887
2021-10-15,6.25875
2021-10-16,2.89584
2021-10-17,2.98925
2021-10-18,6.49229
2021-10-19,6.07192
2021-10-20,5.32461
2021-10-21,5.2312
2021-10-22,5.55815
2021-10-23,3.03596
2021-10-24,3.73657
2021-10-25,5.9318
2021-10-26,7.61326
2021-10-27,5.13778
2021-10-28,7.42643
2021-10-29,4.90425
2021-10-30,2.84913
2021-10-31,3.45632
2021-11-01,6.95936
2021-11-02,7.1929
2021-11-03,5.83839
2021-11-04,6.21205
2021-11-05,5.8851
2021-11-06,3.64315
2021-11-07,3.50303
2021-11-08,7.2396
2021-11-09,7.1929
2021-11-10,7.14619
2021-11-11,6.25875
2021-11-12,8.64082
2021-11-13,3.40962
2021-11-14,2.52218
2021-11-15,7.75338
2021-11-16,7.37972
2021-11-17,7.8468
2021-11-18,6.11863
2021-11-19,7.28631
2021-11-20,3.68986
2021-11-21,3.08267
2021-11-22,7.61326
2021-11-23,6.86595
2021-11-24,7.47314
2021-11-25,11.48995
2021-11-26,10.27557
2021-11-27,4.11022
2021-11-28,3.78327
2021-11-29,9.57496
2021-11-30,9.2013
2021-12-01,9.8085
2021-12-02,9.06118
2021-12-03,8.40728
2021-12-04,7.14619
2021-12-05,6.5857
2021-12-06,11.20971
2021-12-07,10.97617
2021-12-08,7.51985
2021-12-09,7.47314
2021-12-10,7.8468
2021-12-11,4.95095
2021-12-12,4.15693
2021-12-13,10.92947
2021-12-14,10.41569
2021-12-15,8.87435
2021-12-16,8.31387
2021-12-17,7.61326
2021-12-18,5.74497
2021-12-19,5.04437
2021-12-20,11.06959
2021-12-21,8.78094
2021-12-22,9.24801
2021-12-23,7.98692
2021-12-24,6.91265
2021-12-25,4.90425
2021-12-26,4.11022
2021-12-27,9.52825
2021-12-28,8.5474
2021-12-29,8.87435
2021-12-30,9.01447
2021-12-31,7.61326
2022-01-01,5.37132
2022-01-02,6.25875
2022-01-03,10.74264
2022-01-04,10.4624
2022-01-05,10.64922
2022-01-06,10.64922
2022-01-07,9.71508
2022-01-08,6.11863
2022-01-09,5.04437
2022-01-10,10.83605
2022-01-11,10.74264
2022-01-12,10.41569
2022-01-13,9.1546
2022-01-14,13.078
2022-01-15,7.98692
2022-01-16,6.21205
2022-01-17,15.64689
2022-01-18,12.79775
2022-01-19,14.15226
2022-01-20,13.1247
2022-01-21,13.87202
2022-01-22,8.40728
2022-01-23,7.42643
2022-01-24,13.63848
2022-01-25,16.02055
2022-01-26,14.19897
2022-01-27,13.96543
2022-01-28,13.82531
2022-01-29,7.75338
2022-01-30,7.28631
2022-01-31,6.02522
2022-02-01,8.03362
2022-02-02,8.73423
2022-02-03,18.3559
2022-02-04,15.31994
2022-02-05,9.76179
2022-02-06,8.31387
2022-02-07,15.78701
2022-02-08,15.92713
2022-02-09,13.21812
2022-02-10,13.7786
2022-02-11,12.23727
2022-02-12,7.33302
2022-02-13,8.73423
2022-02-14,15.17982
2022-02-15,14.99299
2022-02-16,14.99299
2022-02-17,12.28397
2022-02-18,10.74264
2022-02-19,6.86595
2022-02-20,9.43484
2022-02-21,17.0481
2022-02-22,12.84446
2022-02-23,14.33909
2022-02-24,14.61933
2022-02-25,12.70434
2022-02-26,7.94021
2022-02-27,6.86595
2022-02-28,14.3858
2022-03-01,9.90191
2022-03-02,14.24567
2022-03-03,13.31153
2022-03-04,13.03129
2022-03-05,6.5857
