date,코스모스코인
2021-06-20,1.63304
2021-06-21,1.95325
2021-06-22,1.66506
2021-06-23,1.28081
2021-06-24,1.95325
2021-06-25,2.04931
2021-06-26,1.60102
2021-06-27,1.47294
2021-06-28,3.55427
2021-06-29,4.03458
2021-06-30,2.36951
2021-07-01,2.9779
2021-07-02,1.98527
2021-07-03,1.60102
2021-07-04,2.33749
2021-07-05,4.19468
2021-07-06,5.41146
2021-07-07,2.33749
2021-07-08,1.21677
2021-07-09,3.00992
2021-07-10,2.68972
2021-07-11,4.32276
2021-07-12,2.27345
2021-07-13,2.46557
2021-07-14,2.91386
2021-07-15,3.07396
2021-07-16,3.10598
2021-07-17,4.09862
2021-07-18,2.04931
2021-07-19,2.88184
2021-07-20,1.98527
2021-07-21,1.18475
2021-07-22,1.28081
2021-07-23,1.66506
2021-07-24,1.95325
2021-07-25,1.8892
2021-07-26,2.01729
2021-07-27,2.01729
2021-07-28,2.24143
2021-07-29,2.36951
2021-07-30,3.52225
2021-07-31,3.84245
2021-08-01,3.71437
2021-08-02,2.52961
2021-08-03,2.59365
2021-08-04,1.47294
2021-08-05,2.30547
2021-08-06,2.36951
2021-08-07,2.68972
2021-08-08,1.92122
2021-08-09,1.98527
2021-08-10,2.27345
2021-08-11,5.25136
2021-08-12,3.49023
2021-08-13,2.78578
2021-08-14,4.09862
2021-08-15,3.04194
2021-08-16,4.61095
2021-08-17,6.27601
2021-08-18,4.61095
2021-08-19,36.21517
2021-08-20,10.951
2021-08-21,57.1886
2021-08-22,64.32917
2021-08-23,18.95613
2021-08-24,12.55203
2021-08-25,7.84502
2021-08-26,6.37207
2021-08-27,7.14056
2021-08-28,7.84502
2021-08-29,7.74895
2021-08-30,8.32532
2021-08-31,28.78642
2021-09-01,10.88696
2021-09-02,8.64553
2021-09-03,8.32532
2021-09-04,10.82292
2021-09-05,9.95837
2021-09-06,10.6308
2021-09-07,10.02241
2021-09-08,5.15529
2021-09-09,17.73935
2021-09-10,49.27953
2021-09-11,23.27889
2021-09-12,41.78674
2021-09-13,71.14953
2021-09-14,51.32885
2021-09-15,19.11623
2021-09-16,16.55459
2021-09-17,19.11623
2021-09-18,33.33333
2021-09-19,64.87351
2021-09-20,71.53378
2021-09-21,40.44188
2021-09-22,27.69772
2021-09-23,62.56804
2021-09-24,38.77681
2021-09-25,31.47614
2021-09-26,22.60646
2021-09-27,21.83797
2021-09-28,19.56452
2021-09-29,21.54979
2021-09-30,23.47102
2021-10-01,16.23439
2021-10-02,17.70733
2021-10-03,19.62856
2021-10-04,21.93403
2021-10-05,18.15561
2021-10-06,21.51777
2021-10-07,12.71213
2021-10-08,8.2933
2021-10-09,7.71693
2021-10-10,11.20717
2021-10-11,9.76625
2021-10-12,19.56452
2021-10-13,13.54466
2021-10-14,10.43868
2021-10-15,8.10118
2021-10-16,6.75632
2021-10-17,5.50752
2021-10-18,7.71693
2021-10-19,44.63656
2021-10-20,36.98366
2021-10-21,8.26128
2021-10-22,4.89913
2021-10-23,5.37944
2021-10-24,5.57156
2021-10-25,4.19468
2021-10-26,20.17291
2021-10-27,48.2869
2021-10-28,8.1332
2021-10-29,8.06916
2021-10-30,6.94844
2021-10-31,9.15786
2021-11-01,6.8844
2021-11-02,8.90169
2021-11-03,9.95837
2021-11-04,8.03714
2021-11-05,8.1332
2021-11-06,6.37207
2021-11-07,7.17259
2021-11-08,7.87704
2021-11-09,7.33269
2021-11-10,6.27601
2021-11-11,11.81556
2021-11-12,12.90425
2021-11-13,8.93371
2021-11-14,7.52481
2021-11-15,10.951
2021-11-16,14.12103
2021-11-17,16.36247
2021-11-18,7.78097
2021-11-19,7.49279
2021-11-20,5.66762
2021-11-21,5.98783
2021-11-22,13.64073
2021-11-23,12.13576
2021-11-24,8.99775
2021-11-25,7.55683
2021-11-26,10.05443
2021-11-27,5.28338
2021-11-28,4.93115
2021-11-29,5.85975
2021-11-30,7.01248
2021-12-01,6.43611
2021-12-02,7.14056
2021-12-03,17.64329
2021-12-04,30.77169
2021-12-05,6.62824
2021-12-06,7.84502
2021-12-07,7.10854
2021-12-08,8.99775
2021-12-09,5.95581
2021-12-10,5.34742
2021-12-11,4.25872
2021-12-12,5.89177
2021-12-13,4.77105
2021-12-14,4.2267
2021-12-15,4.57893
2021-12-16,4.83509
2021-12-17,4.03458
2021-12-18,3.26609
2021-12-19,3.84245
2021-12-20,3.52225
2021-12-21,3.39417
2021-12-22,7.17259
2021-12-23,16.04226
2021-12-24,5.57156
2021-12-25,3.42619
2021-12-26,13.54466
2021-12-27,9.86231
2021-12-28,5.92379
2021-12-29,4.99519
2021-12-30,5.25136
2021-12-31,11.14313
2022-01-01,34.90233
2022-01-02,32.27665
2022-01-03,18.4438
2022-01-04,38.64873
2022-01-05,40.44188
2022-01-06,9.95837
2022-01-07,100.0
2022-01-08,39.03298
2022-01-09,17.13096
2022-01-10,14.60134
2022-01-11,15.9462
2022-01-12,17.48318
2022-01-13,11.49535
2022-01-14,8.22926
2022-01-15,7.07652
2022-01-16,45.53314
2022-01-17,20.17291
2022-01-18,11.65545
2022-01-19,7.10854
2022-01-20,13.67275
2022-01-21,28.85046
2022-01-22,14.05699
2022-01-23,21.22958
2022-01-24,28.97854
2022-01-25,43.1316
2022-01-26,29.0746
2022-01-27,30.73967
2022-01-28,48.19084
2022-01-29,33.49343
2022-01-30,52.41754
2022-01-31,43.77201
2022-02-01,19.8527
2022-02-02,15.20973
2022-02-03,19.5325
2022-02-04,19.05219
2022-02-05,12.13576
2022-02-06,10.31059
2022-02-07,11.23919
2022-02-08,11.17515
2022-02-09,8.67755
2022-02-10,10.11847
2022-02-11,8.1332
2022-02-12,11.91162
2022-02-13,7.90906
2022-02-14,7.20461
2022-02-15,6.75632
2022-02-16,5.25136
2022-02-17,19.27633
2022-02-18,9.12584
2022-02-19,4.32276
2022-02-20,5.09125
2022-02-21,4.67499
2022-02-22,4.57893
2022-02-23,4.2267
2022-02-24,5.3154
2022-02-25,4.73903
2022-02-26,5.85975
2022-02-27,7.20461
2022-02-28,5.41146
2022-03-01,14.05699
2022-03-02,7.68491
2022-03-03,13.22446
2022-03-04,14.63336
2022-03-05,5.3154
2022-03-06,6.82036
2022-03-07,6.01985
2022-03-08,5.69964
2022-03-09,4.61095
2022-03-10,5.37944
2022-03-11,3.61831
2022-03-12,3.39417
2022-03-13,3.55427
2022-03-14,3.36215
2022-03-15,4.19468
2022-03-16,3.97054
2022-03-17,4.13064
2022-03-18,3.81043
2022-03-19,3.81043
2022-03-20,4.51488
2022-03-21,4.45084
2022-03-22,5.85975
2022-03-23,12.45597
2022-03-24,11.39929
2022-03-25,9.25392
2022-03-26,8.64553
2022-03-27,9.31796
2022-03-28,11.46333
2022-03-29,12.64809
2022-03-30,8.77361
2022-03-31,10.18251
2022-04-01,7.78097
2022-04-02,8.06916
2022-04-03,17.13096
2022-04-04,12.52001
2022-04-05,7.39673
2022-04-06,6.91642
2022-04-07,5.6356
2022-04-08,6.98046
2022-04-09,5.05923
2022-04-10,3.84245
2022-04-11,5.09125
2022-04-12,5.73166
2022-04-13,4.0666
2022-04-14,5.28338
2022-04-15,5.05923
2022-04-16,4.3868
2022-04-17,3.65033
2022-04-18,5.4755
2022-04-19,6.21197
2022-04-20,4.96317
2022-04-21,4.57893
2022-04-22,4.89913
2022-04-23,4.29074
2022-04-24,3.97054
2022-04-25,7.10854
2022-04-26,5.82772
2022-04-27,5.98783
2022-04-28,5.41146
2022-04-29,4.19468
2022-04-30,7.49279
2022-05-01,6.30803
2022-05-02,7.49279
2022-05-03,4.73903
2022-05-04,3.61831
2022-05-05,3.84245
2022-05-06,2.52961
2022-05-07,4.03458
2022-05-08,4.32276
2022-05-09,5.34742
2022-05-10,5.4755
2022-05-11,10.56676
2022-05-12,8.83765
2022-05-13,14.95357
2022-05-14,9.25392
2022-05-15,5.73166
2022-05-16,7.71693
2022-05-17,5.7957
2022-05-18,4.83509
2022-05-19,4.03458
2022-05-20,7.46077
2022-05-21,4.61095
2022-05-22,4.32276
2022-05-23,4.29074
2022-05-24,3.58629
2022-05-25,3.87447
2022-05-26,7.87704
2022-05-27,7.26865
2022-05-28,3.87447
2022-05-29,3.77841
2022-05-30,4.03458
2022-05-31,5.25136
2022-06-01,5.95581
2022-06-02,7.07652
2022-06-03,5.6356
2022-06-04,4.13064
2022-06-05,5.4755
2022-06-06,4.89913
2022-06-07,9.60614
2022-06-08,11.39929
2022-06-09,6.8844
2022-06-10,7.71693
2022-06-11,7.17259
2022-06-12,7.30067
