date,진료기록지
2021-05-27,44.25287
2021-05-28,28.16091
2021-05-29,16.09195
2021-05-30,8.04597
2021-05-31,27.5862
2021-06-01,43.10344
2021-06-02,34.48275
2021-06-03,37.93103
2021-06-04,39.08045
2021-06-05,16.66666
2021-06-06,9.1954
2021-06-07,41.95402
2021-06-08,39.65517
2021-06-09,39.08045
2021-06-10,43.10344
2021-06-11,31.60919
2021-06-12,12.06896
2021-06-13,13.7931
2021-06-14,39.08045
2021-06-15,44.82758
2021-06-16,32.1839
2021-06-17,45.97701
2021-06-18,40.80459
2021-06-19,19.54022
2021-06-20,6.32183
2021-06-21,41.95402
2021-06-22,38.50574
2021-06-23,45.40229
2021-06-24,36.20689
2021-06-25,27.5862
2021-06-26,14.94252
2021-06-27,13.21839
2021-06-28,47.70114
2021-06-29,40.22988
2021-06-30,39.65517
2021-07-01,33.90804
2021-07-02,31.60919
2021-07-03,10.91954
2021-07-04,9.77011
2021-07-05,32.1839
2021-07-06,45.40229
2021-07-07,40.22988
2021-07-08,25.86206
2021-07-09,48.85057
2021-07-10,15.51724
2021-07-11,9.1954
2021-07-12,30.45977
2021-07-13,44.25287
2021-07-14,34.48275
2021-07-15,31.60919
2021-07-16,32.75862
2021-07-17,16.09195
2021-07-18,13.21839
2021-07-19,44.82758
2021-07-20,35.63218
2021-07-21,41.37931
2021-07-22,30.45977
2021-07-23,39.65517
2021-07-24,12.64367
2021-07-25,9.1954
2021-07-26,41.95402
2021-07-27,49.42528
2021-07-28,47.12643
2021-07-29,43.67816
2021-07-30,35.63218
2021-07-31,19.54022
2021-08-01,9.1954
2021-08-02,41.95402
2021-08-03,37.35632
2021-08-04,43.67816
2021-08-05,39.08045
2021-08-06,33.33333
2021-08-07,11.49425
2021-08-08,9.77011
2021-08-09,51.72413
2021-08-10,56.32183
2021-08-11,37.93103
2021-08-12,49.42528
2021-08-13,40.22988
2021-08-14,12.64367
2021-08-15,10.91954
2021-08-16,23.56321
2021-08-17,49.42528
2021-08-18,49.42528
2021-08-19,41.37931
2021-08-20,45.40229
2021-08-21,19.54022
2021-08-22,6.89655
2021-08-23,39.65517
2021-08-24,37.35632
2021-08-25,40.80459
2021-08-26,41.37931
2021-08-27,42.52873
2021-08-28,13.21839
2021-08-29,11.49425
2021-08-30,55.74712
2021-08-31,37.35632
2021-09-01,37.93103
2021-09-02,38.50574
2021-09-03,33.90804
2021-09-04,16.09195
2021-09-05,10.34482
2021-09-06,47.12643
2021-09-07,43.10344
2021-09-08,40.80459
2021-09-09,37.93103
2021-09-10,50.0
2021-09-11,17.24137
2021-09-12,13.7931
2021-09-13,40.22988
2021-09-14,41.37931
2021-09-15,47.70114
2021-09-16,40.80459
2021-09-17,36.20689
2021-09-18,13.7931
2021-09-19,5.17241
2021-09-20,3.44827
2021-09-21,3.44827
2021-09-22,9.1954
2021-09-23,37.35632
2021-09-24,42.52873
2021-09-25,10.91954
2021-09-26,10.34482
2021-09-27,40.80459
2021-09-28,54.5977
2021-09-29,36.7816
2021-09-30,50.0
2021-10-01,41.37931
2021-10-02,12.64367
2021-10-03,13.7931
2021-10-04,13.7931
2021-10-05,48.27586
2021-10-06,42.52873
2021-10-07,42.52873
2021-10-08,44.82758
2021-10-09,12.06896
2021-10-10,9.77011
2021-10-11,20.11494
2021-10-12,41.37931
2021-10-13,52.87356
2021-10-14,36.20689
2021-10-15,45.40229
2021-10-16,14.94252
2021-10-17,6.89655
2021-10-18,40.22988
2021-10-19,39.08045
2021-10-20,37.93103
2021-10-21,46.55172
2021-10-22,39.65517
2021-10-23,18.3908
2021-10-24,9.77011
2021-10-25,38.50574
2021-10-26,32.75862
2021-10-27,41.37931
2021-10-28,44.25287
2021-10-29,33.90804
2021-10-30,13.21839
2021-10-31,9.1954
2021-11-01,45.40229
2021-11-02,43.10344
2021-11-03,41.37931
2021-11-04,35.63218
2021-11-05,30.45977
2021-11-06,18.3908
2021-11-07,13.21839
2021-11-08,35.05747
2021-11-09,44.82758
2021-11-10,52.87356
2021-11-11,34.48275
2021-11-12,34.48275
2021-11-13,13.21839
2021-11-14,12.64367
2021-11-15,50.57471
2021-11-16,47.12643
2021-11-17,41.37931
2021-11-18,44.82758
2021-11-19,37.93103
2021-11-20,15.51724
2021-11-21,10.34482
2021-11-22,30.45977
2021-11-23,48.27586
2021-11-24,47.12643
2021-11-25,44.25287
2021-11-26,32.75862
2021-11-27,15.51724
2021-11-28,10.91954
2021-11-29,44.25287
2021-11-30,36.20689
2021-12-01,34.48275
2021-12-02,46.55172
