date,3월상장주
2024-03-03,36.28318
2024-03-04,100.0
2024-03-05,73.8938
2024-03-06,47.78761
2024-03-07,50.88495
2024-03-08,26.99115
2024-03-09,12.38938
2024-03-10,10.39823
2024-03-11,36.9469
2024-03-12,40.48672
2024-03-13,47.78761
2024-03-14,34.07079
2024-03-15,20.57522
2024-03-16,9.07079
2024-03-17,11.72566
2024-03-18,31.41592
2024-03-19,27.43362
2024-03-20,28.31858
