date,해외주식수수료비교
2022-04-03,11.72214
2022-04-04,16.35311
2022-04-05,17.0767
2022-04-06,16.20839
2022-04-07,13.45875
2022-04-08,14.18234
2022-04-09,7.67004
2022-04-10,8.53835
2022-04-11,13.45875
2022-04-12,12.73516
2022-04-13,13.45875
2022-04-14,11.57742
2022-04-15,11.28798
2022-04-16,3.76266
2022-04-17,4.48625
2022-04-18,12.01157
2022-04-19,13.8929
2022-04-20,14.61649
2022-04-21,14.32706
2022-04-22,13.60347
2022-04-23,8.53835
2022-04-24,6.94645
2022-04-25,12.30101
2022-04-26,16.35311
2022-04-27,16.49782
2022-04-28,13.8929
2022-04-29,11.28798
2022-04-30,5.35455
2022-05-01,5.64399
2022-05-02,7.09117
2022-05-03,9.40665
2022-05-04,7.09117
2022-05-05,6.07814
2022-05-06,8.24891
2022-05-07,4.63096
2022-05-08,5.49927
2022-05-09,6.5123
2022-05-10,7.23589
2022-05-11,6.80173
2022-05-12,8.39363
2022-05-13,5.64399
2022-05-14,4.9204
2022-05-15,3.47322
2022-05-16,6.65701
2022-05-17,5.06512
2022-05-18,11.28798
2022-05-19,8.53835
2022-05-20,10.41968
2022-05-21,7.67004
2022-05-22,4.34153
2022-05-23,6.80173
2022-05-24,5.35455
2022-05-25,7.09117
2022-05-26,6.36758
2022-05-27,7.81476
2022-05-28,4.19681
2022-05-29,2.60492
2022-05-30,3.03907
2022-05-31,4.34153
2022-06-01,5.49927
2022-06-02,3.76266
2022-06-03,5.49927
2022-06-04,2.60492
2022-06-05,5.20984
2022-06-06,10.56439
2022-06-07,11.28798
2022-06-08,10.41968
2022-06-09,10.27496
2022-06-10,9.55137
2022-06-11,4.9204
2022-06-12,2.4602
2022-06-13,4.9204
2022-06-14,6.65701
2022-06-15,6.07814
2022-06-16,5.93342
2022-06-17,7.23589
2022-06-18,4.19681
2022-06-19,1.44717
2022-06-20,2.60492
2022-06-21,3.3285
2022-06-22,4.48625
2022-06-23,2.60492
2022-06-24,3.47322
2022-06-25,1.88133
2022-06-26,1.88133
2022-06-27,3.90738
2022-06-28,2.4602
2022-06-29,5.20984
2022-06-30,3.47322
2022-07-01,4.48625
2022-07-02,1.15774
2022-07-03,1.44717
2022-07-04,2.17076
2022-07-05,3.18379
2022-07-06,3.76266
2022-07-07,3.03907
2022-07-08,2.74963
2022-07-09,2.4602
2022-07-10,1.30246
2022-07-11,3.18379
2022-07-12,2.02604
2022-07-13,1.30246
2022-07-14,1.01302
2022-07-15,1.15774
2022-07-17,0.8683
2022-07-18,3.03907
2022-07-19,1.88133
2022-07-20,4.34153
2022-07-21,2.89435
2022-07-22,2.89435
2022-07-23,0.8683
2022-07-24,1.73661
2022-07-25,5.78871
2022-07-26,4.63096
2022-07-27,5.78871
2022-07-28,4.63096
2022-07-29,1.01302
2022-07-30,5.20984
2022-07-31,1.59189
2022-08-01,1.15774
2022-08-02,7.95947
2022-08-03,7.52532
2022-08-04,9.98552
2022-08-05,6.65701
2022-08-06,5.06512
2022-08-07,4.19681
2022-08-08,11.4327
2022-08-09,11.4327
2022-08-10,10.85383
2022-08-11,9.40665
2022-08-12,5.78871
2022-08-13,5.49927
2022-08-14,2.60492
2022-08-15,3.3285
2022-08-16,5.49927
2022-08-17,5.06512
2022-08-18,4.77568
2022-08-19,5.93342
2022-08-20,1.44717
2022-08-21,5.06512
2022-08-22,3.90738
2022-08-23,3.76266
2022-08-24,4.05209
2022-08-25,4.9204
2022-08-26,5.93342
2022-08-27,1.88133
2022-08-28,1.30246
2022-08-29,4.19681
2022-08-30,3.03907
2022-08-31,4.34153
2022-09-01,3.03907
2022-09-02,4.19681
2022-09-03,2.74963
2022-09-04,2.17076
2022-09-05,3.18379
2022-09-06,3.18379
2022-09-07,2.89435
2022-09-08,2.17076
2022-09-09,3.90738
2022-09-10,3.47322
2022-09-11,4.34153
2022-09-12,6.5123
2022-09-13,8.53835
2022-09-14,8.24891
2022-09-15,4.05209
2022-09-16,4.19681
2022-09-17,1.44717
2022-09-18,0.72358
2022-09-19,0.8683
2022-09-20,0.8683
2022-09-21,0.72358
