date,비만치료제관련주
2023-07-28,6.03233
2023-07-29,6.90298
2023-07-30,5.53482
2023-07-31,10.60323
2023-08-01,13.21517
2023-08-02,5.41044
2023-08-03,10.38557
2023-08-04,8.83084
2023-08-05,3.60696
2023-08-06,2.86069
2023-08-07,5.37935
2023-08-08,4.97512
2023-08-09,100.0
2023-08-10,71.05099
2023-08-11,29.41542
2023-08-12,12.84203
2023-08-13,13.68159
2023-08-14,16.91542
2023-08-15,24.87562
2023-08-16,25.15547
2023-08-17,12.87313
2023-08-18,8.30223
2023-08-19,5.69029
2023-08-20,10.16791
2023-08-21,11.84701
2023-08-22,9.20398
2023-08-23,12.09577
2023-08-24,8.73756
2023-08-25,9.14179
2023-08-26,4.57089
2023-08-27,12.25124
2023-08-28,11.06965
2023-08-29,13.93034
2023-08-30,15.45398
2023-08-31,20.46019
2023-09-01,55.0684
2023-09-02,15.36069
2023-09-03,12.62437
2023-09-04,17.5684
2023-09-05,27.20771
2023-09-06,70.08706
2023-09-07,41.94651
2023-09-08,94.80721
2023-09-09,29.88184
2023-09-10,29.41542
2023-09-11,45.67786
2023-09-12,32.12064
2023-09-13,19.21641
2023-09-14,16.94651
2023-09-15,16.60447
2023-09-16,9.98134
2023-09-17,10.41666
2023-09-18,10.63432
2023-09-19,9.26616
2023-09-20,7.3694
2023-09-21,6.43656
2023-09-22,5.97014
2023-09-23,2.98507
2023-09-24,3.17164
2023-09-25,4.25995
2023-09-26,4.85074
2023-09-27,7.898
2023-09-28,5.72139
2023-09-29,5.16169
2023-09-30,11.97139
2023-10-01,6.65422
2023-10-02,4.85074
2023-10-03,5.0684
2023-10-04,5.44154
2023-10-05,4.38432
2023-10-06,14.64552
2023-10-07,12.25124
2023-10-08,4.97512
2023-10-09,6.90298
2023-10-10,7.64925
2023-10-11,6.25
2023-10-12,24.22263
2023-10-13,11.53606
2023-10-14,3.70024
2023-10-15,4.5398
2023-10-16,9.6393
2023-10-17,8.76865
2023-10-18,15.98258
2023-10-19,7.64925
2023-10-20,5.84577
2023-10-21,4.94402
2023-10-22,2.92288
2023-10-23,6.37437
2023-10-24,19.74502
2023-10-25,7.12064
2023-10-26,3.88681
2023-10-27,7.77363
2023-10-28,2.95398
2023-10-29,3.3893
2023-10-30,3.76243
2023-10-31,5.13059
2023-11-01,5.59701
2023-11-02,7.74253
2023-11-03,15.26741
2023-11-04,3.54477
2023-11-05,4.13557
2023-11-06,7.86691
2023-11-07,11.50497
2023-11-08,6.28109
2023-11-09,27.39427
2023-11-10,14.83208
2023-11-11,2.98507
2023-11-12,4.72636
2023-11-13,6.8097
2023-11-14,15.26741
2023-11-15,36.3495
2023-11-16,11.69154
2023-11-17,35.91417
2023-11-18,4.81965
2023-11-19,5.0684
2023-11-20,10.32338
2023-11-21,12.37562
2023-11-22,7.46268
2023-11-23,10.60323
2023-11-24,25.46641
2023-11-25,4.88184
2023-11-26,4.94402
2023-11-27,9.26616
2023-11-28,7.83582
2023-11-29,10.47885
2023-11-30,7.77363
2023-12-01,5.31716
2023-12-02,27.61194
2023-12-03,10.72761
2023-12-04,10.01243
2023-12-05,10.97636
2023-12-06,20.27363
2023-12-07,30.41044
2023-12-08,14.95646
2023-12-09,8.86194
2023-12-10,9.11069
2023-12-11,6.37437
2023-12-12,10.50995
2023-12-13,4.72636
2023-12-14,15.60945
2023-12-15,16.57338
2023-12-16,11.8781
2023-12-17,11.41169
2023-12-18,16.07587
2023-12-19,9.51492
2023-12-20,6.43656
2023-12-21,12.00248
2023-12-22,7.83582
2023-12-23,23.72512
2023-12-24,9.01741
2023-12-25,7.3694
2023-12-26,10.91417
2023-12-27,9.48383
2023-12-28,15.8893
2023-12-29,12.09577
2023-12-30,9.67039
2023-12-31,9.79477
2024-01-01,15.8582
2024-01-02,19.52736
2024-01-03,16.41791
2024-01-04,25.68407
2024-01-05,22.82338
2024-01-06,10.82089
2024-01-07,10.50995
2024-01-08,11.47388
2024-01-09,15.17412
2024-01-10,28.51368
2024-01-11,12.15796
2024-01-12,14.86318
2024-01-13,4.07338
2024-01-14,3.10945
2024-01-15,5.19278
2024-01-16,6.03233
2024-01-17,5.00621
2024-01-18,3.23383
2024-01-19,12.59328
2024-01-20,2.42537
2024-01-21,2.02114
2024-01-22,3.63805
2024-01-23,5.72139
2024-01-24,5.03731
2024-01-25,9.54601
2024-01-26,12.5
2024-01-27,6.34328
2024-01-28,17.44402
2024-01-29,11.53606
2024-01-30,6.74751
2024-01-31,5.16169
2024-02-01,14.24129
2024-02-02,7.40049
2024-02-03,3.66915
2024-02-04,3.42039
2024-02-05,7.55597
2024-02-06,16.72885
2024-02-07,19.34079
2024-02-08,9.42164
2024-02-09,10.13681
2024-02-10,8.33333
2024-02-11,8.79975
2024-02-12,11.10074
2024-02-13,13.68159
2024-02-14,17.19527
2024-02-15,12.71766
2024-02-16,10.44776
2024-02-17,10.26119
2024-02-18,8.58208
2024-02-19,14.64552
2024-02-20,11.94029
2024-02-21,16.66666
2024-02-22,11.66044
2024-02-23,11.69154
2024-02-24,6.93407
2024-02-25,7.80472
2024-02-26,13.12189
2024-02-27,16.63557
2024-02-28,49.87562
2024-02-29,43.1592
2024-03-01,31.52985
2024-03-02,30.53482
2024-03-03,19.8694
2024-03-04,24.50248
2024-03-05,28.60696
2024-03-06,22.94776
2024-03-07,20.14925
2024-03-08,49.50248
2024-03-09,42.0398
2024-03-10,50.09328
2024-03-11,34.51492
2024-03-12,30.13059
2024-03-13,42.66169
2024-03-14,35.7587
2024-03-15,16.97761
2024-03-16,20.83333
2024-03-17,17.72388
2024-03-18,20.24253
2024-03-19,21.17537
2024-03-20,20.74004
