date,WTI유가
2021-03-06,2.73798
2021-03-07,1.33177
2021-03-08,4.6924
2021-03-09,4.87446
2021-03-10,4.26691
2021-03-11,3.64327
2021-03-12,3.33246
2021-03-13,1.52188
2021-03-14,0.87511
2021-03-15,2.67864
2021-03-16,2.91804
2021-03-17,2.82449
2021-03-18,2.7752
2021-03-19,5.24161
2021-03-20,2.07713
2021-03-21,0.96865
2021-03-22,3.1172
2021-03-23,3.6483
2021-03-24,4.92073
2021-03-25,4.97606
2021-03-26,4.63406
2021-03-27,2.09423
2021-03-28,1.08936
2021-03-29,3.9913
2021-03-30,3.75492
2021-03-31,3.26808
2021-04-01,3.5618
2021-04-02,2.97437
2021-04-03,1.09841
2021-04-04,0.70511
2021-04-05,2.64444
2021-04-06,3.52558
2021-04-07,3.12625
2021-04-08,2.63136
2021-04-09,2.34871
2021-04-10,0.99883
2021-04-11,0.50796
2021-04-12,2.1244
2021-04-13,2.72591
2021-04-14,2.96028
2021-04-15,4.02953
2021-04-16,3.10312
2021-04-17,1.17083
2021-04-18,0.58944
2021-04-19,2.71988
2021-04-20,3.11619
2021-04-21,2.91602
2021-04-22,2.71787
2021-04-23,2.41108
2021-04-24,1.05918
2021-04-25,0.55423
2021-04-26,1.99565
2021-04-27,2.39096
2021-04-28,2.71686
2021-04-29,3.06288
2021-04-30,2.61929
2021-05-01,0.98978
2021-05-02,0.45264
2021-05-03,2.26221
2021-05-04,2.4674
2021-05-05,3.07093
2021-05-06,2.91301
2021-05-07,2.21292
2021-05-08,0.95759
2021-05-09,0.5663
2021-05-10,1.58626
2021-05-11,1.78039
2021-05-12,1.75223
2021-05-13,1.92323
2021-05-14,1.77838
2021-05-15,0.76748
2021-05-16,0.34501
2021-05-17,1.25331
2021-05-18,1.68483
2021-05-19,1.44845
2021-05-20,1.92624
2021-05-21,1.7995
2021-05-22,0.76647
2021-05-23,0.343
2021-05-24,1.48265
2021-05-25,2.15659
2021-05-26,1.92826
2021-05-27,1.63253
2021-05-28,1.84175
2021-05-29,0.71718
2021-05-30,0.31886
2021-05-31,1.34485
2021-06-01,1.9353
2021-06-02,2.05801
2021-06-03,2.02583
2021-06-04,1.60839
2021-06-05,0.76345
2021-06-06,0.34702
2021-06-07,1.29858
2021-06-08,1.51283
2021-06-09,1.80353
2021-06-10,1.67377
2021-06-11,1.50579
2021-06-12,0.68097
2021-06-13,0.28063
2021-06-14,1.2161
2021-06-15,1.52289
2021-06-16,1.87092
2021-06-17,1.76329
2021-06-18,1.68182
2021-06-19,0.72121
2021-06-20,0.27963
2021-06-21,1.32171
2021-06-22,1.83773
2021-06-23,1.6788
2021-06-24,1.61945
2021-06-25,1.48467
2021-06-26,0.70612
2021-06-27,0.29472
2021-06-28,1.3026
2021-06-29,1.65768
2021-06-30,1.50277
2021-07-01,1.54602
2021-07-02,1.7653
2021-07-03,0.76446
2021-07-04,0.31986
2021-07-05,1.24929
2021-07-06,1.98157
2021-07-07,2.38593
2021-07-08,2.06908
2021-07-09,1.70797
2021-07-10,0.80872
2021-07-11,0.33596
2021-07-12,1.30864
2021-07-13,1.48265
2021-07-14,1.61241
2021-07-15,1.96547
2021-07-16,1.68282
2021-07-17,0.79866
2021-07-18,0.35004
2021-07-19,1.62649
2021-07-20,2.51468
2021-07-21,1.79649
2021-07-22,1.86992
2021-07-23,1.4565
2021-07-24,0.64778
2021-07-25,0.26655
2021-07-26,0.97871
2021-07-27,1.22213
2021-07-28,1.1658
2021-07-29,1.12154
2021-07-30,1.04007
2021-07-31,0.50897
2021-08-01,0.21223
2021-08-02,0.79765
2021-08-03,1.31668
2021-08-04,1.34787
2021-08-05,1.56715
2021-08-06,1.28953
2021-08-07,0.58541
2021-08-08,0.26856
2021-08-09,1.57721
2021-08-10,1.56312
2021-08-11,1.56312
2021-08-12,1.42431
2021-08-13,1.1135
2021-08-14,0.55121
2021-08-15,0.20218
2021-08-16,0.78558
2021-08-17,1.26237
2021-08-18,1.26438
2021-08-19,1.75726
2021-08-20,1.63555
2021-08-21,0.74837
2021-08-22,0.31785
2021-08-23,1.56212
2021-08-24,1.89305
2021-08-25,1.68986
2021-08-26,1.47058
2021-08-27,1.3881
2021-08-28,0.60251
2021-08-29,0.28969
2021-08-30,1.07326
2021-08-31,1.31668
2021-09-01,1.20101
2021-09-02,1.14166
2021-09-03,1.34887
2021-09-04,0.51199
2021-09-05,0.19614
2021-09-06,0.89925
2021-09-07,1.11149
2021-09-08,1.09338
2021-09-09,1.08433
2021-09-10,1.04007
2021-09-11,0.42045
2021-09-12,0.20016
2021-09-13,1.03806
2021-09-14,1.13261
2021-09-15,1.19699
2021-09-16,1.39313
2021-09-17,0.99581
2021-09-18,0.40436
2021-09-19,0.19413
2021-09-20,0.47074
2021-09-21,0.79262
2021-09-22,0.88516
2021-09-23,1.13965
2021-09-24,1.21811
2021-09-25,0.55222
2021-09-26,0.24845
2021-09-27,1.23923
2021-09-28,1.58726
2021-09-29,1.60436
2021-09-30,1.24225
2021-10-01,1.20805
2021-10-02,0.50897
2021-10-03,0.2575
2021-10-04,0.86907
2021-10-05,1.54602
2021-10-06,1.65365
2021-10-07,1.53597
2021-10-08,1.34585
2021-10-09,0.6347
2021-10-10,0.29472
2021-10-11,1.05415
2021-10-12,1.66069
2021-10-13,1.47561
2021-10-14,1.39414
2021-10-15,1.3187
2021-10-16,0.62766
2021-10-17,0.3269
2021-10-18,1.21006
2021-10-19,1.42532
2021-10-20,1.24527
2021-10-21,1.2332
2021-10-22,1.18089
2021-10-23,0.57234
2021-10-24,0.30176
2021-10-25,0.99983
2021-10-26,1.26237
2021-10-27,1.1306
2021-10-28,1.37603
2021-10-29,1.17888
2021-10-30,0.44761
2021-10-31,0.21726
2021-11-01,0.83889
2021-11-02,1.09841
2021-11-03,1.07527
2021-11-04,1.44141
2021-11-05,1.24627
2021-11-06,0.58743
2021-11-07,0.2414
2021-11-08,0.87511
2021-11-09,1.01593
2021-11-10,1.08735
2021-11-11,1.11149
2021-11-12,0.97972
2021-11-13,0.47376
2021-11-14,0.19513
2021-11-15,0.7202
2021-11-16,0.93143
2021-11-17,0.88516
2021-11-18,1.04107
2021-11-19,1.07628
2021-11-20,0.6176
2021-11-21,0.25951
2021-11-22,1.00788
2021-11-23,1.12859
2021-11-24,1.21409
2021-11-25,1.03001
2021-11-26,1.10143
2021-11-27,1.13864
2021-11-28,0.44258
2021-11-29,1.55508
2021-11-30,1.70696
2021-12-01,1.71199
2021-12-02,1.61442
2021-12-03,1.3197
2021-12-04,0.63068
2021-12-05,0.24342
2021-12-06,0.96664
2021-12-07,1.3358
2021-12-08,1.33077
2021-12-09,1.22314
2021-12-10,1.16681
2021-12-11,0.49891
2021-12-12,0.17602
2021-12-13,0.78257
2021-12-14,1.03605
2021-12-15,0.98072
2021-12-16,0.95356
2021-12-17,0.82582
2021-12-18,0.4637
2021-12-19,0.20922
2021-12-20,0.85901
2021-12-21,1.06823
2021-12-22,1.02599
2021-12-23,1.03303
2021-12-24,0.79967
2021-12-25,0.2927
2021-12-26,0.18005
2021-12-27,0.79967
2021-12-28,0.9938
2021-12-29,0.96765
2021-12-30,0.93747
2021-12-31,0.68902
2022-01-01,0.3269
2022-01-02,0.16697
2022-01-03,0.67192
2022-01-04,0.91735
2022-01-05,0.94753
2022-01-06,0.98978
2022-01-07,1.21409
2022-01-08,0.51098
2022-01-09,0.25146
2022-01-10,0.80469
2022-01-11,0.94351
2022-01-12,1.18491
2022-01-13,1.13563
2022-01-14,0.88416
2022-01-15,0.50897
2022-01-16,0.2233
2022-01-17,0.80872
2022-01-18,1.12758
2022-01-19,1.52188
2022-01-20,1.36798
2022-01-21,1.24124
2022-01-22,0.53814
2022-01-23,0.27862
2022-01-24,1.02699
2022-01-25,1.19497
2022-01-26,1.11149
2022-01-27,1.34585
2022-01-28,1.16983
2022-01-29,0.51802
2022-01-30,0.21928
2022-01-31,0.49589
2022-02-01,0.70109
2022-02-02,1.00285
2022-02-03,1.15675
2022-02-04,1.50881
2022-02-05,0.78257
2022-02-06,0.40234
2022-02-07,1.00185
2022-02-08,1.04107
2022-02-09,1.1487
2022-02-10,0.96463
2022-02-11,0.91534
2022-02-12,0.63068
2022-02-13,0.26856
2022-02-14,1.06119
2022-02-15,1.71199
2022-02-16,1.68081
2022-02-17,1.83069
2022-02-18,1.24627
2022-02-19,0.55121
2022-02-20,0.24744
2022-02-21,0.96563
2022-02-22,1.37402
2022-02-23,1.18491
2022-02-24,2.16564
2022-02-25,1.64862
2022-02-26,0.61559
2022-02-27,0.28768
2022-02-28,1.1135
