date,씨티카드
2022-03-11,17.5153
2022-03-12,6.37598
2022-03-13,7.51082
2022-03-14,22.05465
2022-03-15,23.23428
2022-03-16,19.26235
2022-03-17,19.57592
2022-03-18,16.17142
2022-03-19,7.13752
2022-03-20,6.48051
2022-03-21,21.97999
2022-03-22,19.06823
2022-03-23,18.47095
2022-03-24,17.4705
2022-03-25,23.72704
2022-03-26,7.04793
2022-03-27,7.46602
2022-03-28,23.04016
2022-03-29,18.36643
2022-03-30,17.9334
2022-03-31,19.71031
2022-04-01,17.58996
2022-04-02,6.6149
2022-04-03,5.91309
2022-04-04,20.72569
2022-04-05,21.4723
2022-04-06,18.50082
2022-04-07,15.27549
2022-04-08,13.42392
2022-04-09,5.88323
2022-04-10,6.152
2022-04-11,20.69583
2022-04-12,19.79991
2022-04-13,19.90443
2022-04-14,17.26146
2022-04-15,18.82932
2022-04-16,6.68956
2022-04-17,5.98775
2022-04-18,20.14334
2022-04-19,17.79901
2022-04-20,22.68179
2022-04-21,20.99447
2022-04-22,18.76959
2022-04-23,6.85381
2022-04-24,7.04793
2022-04-25,32.88039
2022-04-26,27.78856
2022-04-27,26.34015
2022-04-28,21.06913
2022-04-29,22.30849
2022-04-30,7.92892
2022-05-01,7.67507
2022-05-02,27.72883
2022-05-03,23.3388
2022-05-04,23.32387
2022-05-05,7.82439
2022-05-06,22.86098
2022-05-07,6.65969
2022-05-08,6.12214
2022-05-09,28.02747
2022-05-10,25.68314
2022-05-11,22.41302
2022-05-12,22.44288
2022-05-13,21.57682
2022-05-14,16.96281
2022-05-15,9.06375
2022-05-16,28.89353
2022-05-17,25.36956
2022-05-18,22.27863
2022-05-19,20.93474
2022-05-20,20.29266
2022-05-21,6.48051
2022-05-22,8.03344
2022-05-23,27.16141
2022-05-24,25.72793
2022-05-25,27.77362
2022-05-26,21.87546
2022-05-27,19.87457
2022-05-28,6.76422
2022-05-29,6.91354
2022-05-30,24.41391
2022-05-31,22.86098
2022-06-01,8.37688
2022-06-02,18.18724
2022-06-03,19.0533
2022-06-04,6.27146
2022-06-05,5.31581
2022-06-06,7.03299
2022-06-07,22.2189
2022-06-08,19.0533
2022-06-09,17.5153
2022-06-10,18.91891
2022-06-11,6.74929
2022-06-12,6.95833
2022-06-13,23.15962
2022-06-14,22.30849
2022-06-15,21.3827
2022-06-16,18.93385
2022-06-17,17.26146
2022-06-18,5.52486
2022-06-19,6.03255
2022-06-20,23.53292
2022-06-21,22.78632
2022-06-22,19.21756
2022-06-23,17.76915
2022-06-24,19.48633
2022-06-25,6.28639
2022-06-26,6.40585
2022-06-27,27.47498
2022-06-28,22.09944
2022-06-29,17.87367
2022-06-30,20.74063
2022-07-01,17.69449
2022-07-02,6.01761
2022-07-03,6.46558
2022-07-04,20.65103
2022-07-05,20.32253
2022-07-06,18.65014
2022-07-07,15.2307
2022-07-08,15.45468
2022-07-09,5.91309
2022-07-10,5.83843
2022-07-11,21.30804
2022-07-12,25.08585
2022-07-13,21.27818
2022-07-14,19.4266
2022-07-15,23.4284
2022-07-16,7.4063
2022-07-17,5.92802
2022-07-18,24.26459
2022-07-19,20.97954
2022-07-20,20.08361
2022-07-21,22.08451
2022-07-22,19.81484
2022-07-23,6.5701
2022-07-24,7.63028
