date,현대모비스주가
2022-03-14,14.18097
2022-03-15,12.25365
2022-03-16,13.12036
2022-03-17,14.95761
2022-03-18,13.69993
2022-03-19,1.96651
2022-03-20,1.34032
2022-03-21,12.91269
2022-03-22,13.34922
2022-03-23,14.146
2022-03-24,12.47298
2022-03-25,11.6211
2022-03-26,1.39966
2022-03-27,1.05742
2022-03-28,11.33608
2022-03-29,12.3702
2022-03-30,13.9182
2022-03-31,12.26848
2022-04-01,11.01716
2022-04-02,1.26721
2022-04-03,0.98749
2022-04-04,11.17291
2022-04-05,11.09027
2022-04-06,10.99067
2022-04-07,10.44394
2022-04-08,11.26509
2022-04-09,1.43568
2022-04-10,1.1104
2022-04-11,11.40283
2022-04-12,10.4503
2022-04-13,12.46662
2022-04-14,12.07988
2022-04-15,10.88789
2022-04-16,1.33502
2022-04-17,1.26191
2022-04-18,13.62788
2022-04-19,13.4859
2022-04-20,13.02924
2022-04-21,13.11612
2022-04-22,11.80334
2022-04-23,1.59143
2022-04-24,1.1157
2022-04-25,12.84276
2022-04-26,14.38122
2022-04-27,12.60966
2022-04-28,13.28141
2022-04-29,12.5143
2022-04-30,1.20364
2022-05-01,1.06908
2022-05-02,11.73977
2022-05-03,10.84975
2022-05-04,10.12608
2022-05-05,1.33926
2022-05-06,9.45751
2022-05-07,1.15914
2022-05-08,0.86988
2022-05-09,10.43123
2022-05-10,10.97584
2022-05-11,11.07755
2022-05-12,10.95147
2022-05-13,12.46874
2022-05-14,1.36363
2022-05-15,1.05318
2022-05-16,10.7279
2022-05-17,10.9165
2022-05-18,10.61241
2022-05-19,10.89319
2022-05-20,12.8025
2022-05-21,1.64229
2022-05-22,1.55965
2022-05-23,12.24941
2022-05-24,10.41534
2022-05-25,11.58084
2022-05-26,10.6887
2022-05-27,10.19813
2022-05-28,1.08179
2022-05-29,0.8381
2022-05-30,11.48972
2022-05-31,20.0339
2022-06-01,3.23691
2022-06-02,12.5143
2022-06-03,11.75672
2022-06-04,1.34138
2022-06-05,1.41661
2022-06-06,1.68679
2022-06-07,11.6264
2022-06-08,11.83301
2022-06-09,14.10574
2022-06-10,11.69739
2022-06-11,1.45051
2022-06-12,1.20576
2022-06-13,11.7101
2022-06-14,11.74189
2022-06-15,11.33502
2022-06-16,11.3329
2022-06-17,10.70141
2022-06-18,1.09663
2022-06-19,0.8275
2022-06-20,10.68764
2022-06-21,10.78512
2022-06-22,9.8559
2022-06-23,10.20555
2022-06-24,10.66115
2022-06-25,1.08073
2022-06-26,0.80101
2022-06-27,12.3649
2022-06-28,11.59991
2022-06-29,10.48739
2022-06-30,10.22144
2022-07-01,10.19919
2022-07-02,0.96842
2022-07-03,0.69294
2022-07-04,9.51896
2022-07-05,10.20555
2022-07-06,10.30303
2022-07-07,10.98537
2022-07-08,13.69781
2022-07-09,1.20788
2022-07-10,0.89637
2022-07-11,10.61877
2022-07-12,9.48294
2022-07-13,13.49438
2022-07-14,12.48993
2022-07-15,11.59885
2022-07-16,1.07967
2022-07-17,0.93981
2022-07-18,12.56304
2022-07-19,13.36829
2022-07-20,13.82708
2022-07-21,13.07056
2022-07-22,12.05657
2022-07-23,1.20152
2022-07-24,0.78618
2022-07-25,15.9716
2022-07-26,13.44882
2022-07-27,11.59885
2022-07-28,13.26764
2022-07-29,13.26234
2022-07-30,1.17291
2022-07-31,0.86035
2022-08-01,11.14007
2022-08-02,9.61008
2022-08-03,12.35855
2022-08-04,11.58084
2022-08-05,10.88472
2022-08-06,1.06802
2022-08-07,0.87412
2022-08-08,10.64738
2022-08-09,10.48951
2022-08-10,9.39605
2022-08-11,11.02987
2022-08-12,10.90485
2022-08-13,1.30112
2022-08-14,0.9324
2022-08-15,1.20682
2022-08-16,19.9894
2022-08-17,12.34477
2022-08-18,12.04916
2022-08-19,11.11252
2022-08-20,1.34456
2022-08-21,0.96842
2022-08-22,9.58465
2022-08-23,8.38419
2022-08-24,9.56346
2022-08-25,9.4681
2022-08-26,8.93515
2022-08-27,0.81161
2022-08-28,0.56897
2022-08-29,8.02076
2022-08-30,10.0286
2022-08-31,9.77961
2022-09-01,8.10023
2022-09-02,8.70205
2022-09-03,0.80737
2022-09-04,0.61559
2022-09-05,8.75715
2022-09-06,8.36088
2022-09-07,8.27187
2022-09-08,8.03136
2022-09-09,0.73956
2022-09-10,0.53719
2022-09-11,0.58592
2022-09-12,0.72155
2022-09-13,10.04238
2022-09-14,7.59482
2022-09-15,7.79084
2022-09-16,7.22716
2022-09-17,0.72155
2022-09-18,0.54036
2022-09-19,6.74189
2022-09-20,8.22949
2022-09-21,6.63064
2022-09-22,6.60309
2022-09-23,6.17185
2022-09-24,0.63678
2022-09-25,0.43335
2022-09-26,6.95062
2022-09-27,7.04386
2022-09-28,7.09472
2022-09-29,7.37868
2022-09-30,7.04598
2022-10-01,0.605
2022-10-02,0.50964
2022-10-03,0.70036
2022-10-04,7.77919
2022-10-05,8.28247
2022-10-06,7.5641
2022-10-07,6.50455
2022-10-08,0.59758
2022-10-09,0.42381
2022-10-10,0.62725
2022-10-11,6.3986
2022-10-12,6.54799
2022-10-13,6.19834
2022-10-14,7.23246
2022-10-15,0.6887
2022-10-16,0.49268
2022-10-17,6.7207
2022-10-18,8.78575
2022-10-19,8.68404
2022-10-20,6.67514
2022-10-21,6.1157
2022-10-22,0.52977
2022-10-23,0.45242
2022-10-24,7.25259
2022-10-25,6.67726
2022-10-26,6.82242
2022-10-27,8.10553
2022-10-28,14.71498
2022-10-29,1.43674
2022-10-30,0.80313
2022-10-31,9.85696
2022-11-01,9.29646
2022-11-02,8.77728
2022-11-03,8.61093
2022-11-04,7.55138
2022-11-05,0.75121
2022-11-06,0.58063
2022-11-07,9.01038
2022-11-08,8.6406
2022-11-09,9.25831
2022-11-10,8.06738
2022-11-11,10.99173
2022-11-12,1.06272
2022-11-13,0.79465
2022-11-14,9.83577
2022-11-15,8.59292
2022-11-16,8.03771
2022-11-17,6.8203
2022-11-18,7.44437
2022-11-19,0.72155
2022-11-20,0.5605
2022-11-21,6.36575
2022-11-22,5.95465
2022-11-23,6.566
2022-11-24,6.79699
2022-11-25,5.90909
2022-11-26,0.60394
2022-11-27,0.4556
2022-11-28,5.93875
2022-11-29,6.25662
2022-11-30,7.25471
2022-12-01,7.77177
2022-12-02,6.09769
2022-12-03,0.51388
2022-12-04,0.49904
2022-12-05,6.20576
2022-12-06,5.29455
2022-12-07,5.89531
2022-12-08,5.79465
2022-12-09,6.35727
2022-12-10,0.57427
2022-12-11,0.54672
2022-12-12,5.68446
2022-12-13,6.21318
2022-12-14,7.30239
2022-12-15,6.24602
2022-12-16,5.59652
2022-12-17,0.57427
2022-12-18,0.41746
2022-12-19,5.72261
2022-12-20,5.29031
2022-12-21,5.21614
2022-12-22,5.65797
2022-12-23,5.36024
2022-12-24,0.51388
2022-12-25,0.38143
2022-12-26,6.11464
2022-12-27,6.02352
2022-12-28,5.98855
2022-12-29,5.18859
2022-12-30,1.94108
2022-12-31,0.42805
2023-01-01,0.38779
2023-01-02,5.78618
2023-01-03,5.98431
2023-01-04,6.36893
2023-01-05,6.30853
2023-01-06,8.55054
2023-01-07,1.03517
2023-01-08,0.69718
2023-01-09,8.9129
2023-01-10,8.01123
2023-01-11,7.47616
2023-01-12,6.98453
2023-01-13,7.68912
2023-01-14,0.81161
2023-01-15,0.51282
2023-01-16,6.97287
2023-01-17,6.1941
2023-01-18,6.00339
2023-01-19,5.6495
2023-01-20,5.27972
2023-01-21,0.57109
2023-01-22,0.41322
2023-01-23,0.44712
2023-01-24,0.60923
2023-01-25,7.3755
2023-01-26,8.95634
2023-01-27,9.7563
2023-01-28,1.14642
2023-01-29,0.89319
2023-01-30,8.26658
2023-01-31,7.41788
2023-02-01,7.91163
2023-02-02,8.08433
2023-02-03,7.82475
2023-02-04,0.75015
2023-02-05,0.72896
2023-02-06,6.93791
2023-02-07,7.01737
2023-02-08,7.54079
2023-02-09,7.15617
2023-02-10,6.74825
2023-02-11,0.72261
2023-02-12,0.58063
2023-02-13,6.67726
2023-02-14,8.70311
2023-02-15,7.85547
2023-02-16,8.96058
2023-02-17,7.33206
2023-02-18,0.76181
2023-02-19,0.59652
2023-02-20,7.16783
2023-02-21,7.25047
2023-02-22,6.09451
2023-02-23,8.20512
2023-02-24,6.7546
2023-02-25,0.71413
2023-02-26,0.52977
2023-02-27,6.08179
2023-02-28,6.52786
2023-03-01,0.90485
2023-03-02,7.5641
2023-03-03,6.59885
2023-03-04,0.67387
2023-03-05,0.64314
2023-03-06,7.65098
2023-03-07,7.07988
2023-03-08,6.26403
2023-03-09,8.18287
2023-03-10,6.21953
2023-03-11,0.60288
2023-03-12,0.60923
2023-03-13,7.19538
2023-03-14,6.22271
2023-03-15,7.46132
2023-03-16,6.13477
2023-03-17,6.67514
2023-03-18,0.65585
2023-03-19,0.55732
2023-03-20,6.13901
2023-03-21,5.96418
2023-03-22,6.41131
2023-03-23,6.86268
2023-03-24,6.2386
2023-03-25,0.64738
2023-03-26,0.47467
2023-03-27,5.81055
2023-03-28,6.14642
2023-03-29,6.04153
2023-03-30,6.42085
2023-03-31,7.24729
2023-04-01,0.783
2023-04-02,0.65162
2023-04-03,6.60521
2023-04-04,6.5268
2023-04-05,7.1922
2023-04-06,6.07861
2023-04-07,6.51409
2023-04-08,0.64102
2023-04-09,0.59758
2023-04-10,7.02373
2023-04-11,10.39203
2023-04-12,15.94723
2023-04-13,11.41661
2023-04-14,10.28713
2023-04-15,1.12629
2023-04-16,1.05636
2023-04-17,9.07713
2023-04-18,8.35876
2023-04-19,8.69146
2023-04-20,8.12036
2023-04-21,7.54503
2023-04-22,0.86882
2023-04-23,1.06696
2023-04-24,9.86331
2023-04-25,12.7972
2023-04-26,18.28883
2023-04-27,10.28077
2023-04-28,8.69463
2023-04-29,1.03623
2023-04-30,0.63784
2023-05-01,1.87009
2023-05-02,8.46789
2023-05-03,6.92837
2023-05-04,6.37529
2023-05-05,0.82008
2023-05-06,0.55414
2023-05-07,0.46514
2023-05-08,7.51642
