date,연말정산연금저축세액공제
2023-04-27,2.61194
2023-04-28,2.7985
2023-04-29,0.83955
2023-05-06,0.46641
2023-05-10,4.57089
2023-05-11,3.63805
2023-05-12,3.91791
2023-05-13,2.05223
2023-05-14,2.61194
2023-05-15,2.33208
2023-05-16,3.3582
2023-05-17,3.63805
2023-05-18,3.3582
2023-05-19,3.3582
2023-05-20,2.42537
2023-05-21,1.77238
2023-05-22,3.63805
2023-05-23,4.01119
2023-05-24,4.10447
2023-05-25,4.85074
2023-05-26,3.63805
2023-05-27,2.70522
2023-05-28,1.58582
2023-05-29,1.86567
2023-05-30,4.29104
2023-05-31,3.63805
2023-06-01,3.07835
2023-06-02,2.51865
2023-06-03,0.83955
2023-06-04,1.77238
2023-06-05,4.10447
2023-06-06,2.42537
2023-06-07,2.98507
2023-06-08,3.26492
2023-06-09,3.07835
2023-06-10,1.39925
2023-06-11,2.05223
2023-06-12,3.17164
2023-06-13,4.10447
2023-06-14,3.26492
2023-06-15,2.70522
2023-06-16,2.98507
2023-06-17,1.39925
2023-06-18,1.02611
2023-06-19,2.70522
2023-06-20,3.91791
2023-06-21,3.91791
2023-06-22,3.63805
2023-06-23,4.19776
2023-06-24,2.33208
2023-06-25,1.86567
2023-06-26,3.63805
2023-06-27,3.54477
2023-06-28,4.19776
2023-06-29,3.17164
2023-06-30,3.54477
2023-07-01,1.77238
2023-07-02,1.58582
2023-07-03,3.82462
2023-07-04,3.91791
2023-07-05,4.19776
2023-07-06,3.26492
2023-07-07,2.51865
2023-07-08,1.1194
2023-07-09,2.05223
2023-07-10,2.42537
2023-07-11,3.45149
2023-07-12,3.45149
2023-07-13,2.61194
2023-07-14,3.54477
2023-07-15,1.02611
2023-07-16,1.95895
2023-07-17,3.3582
2023-07-18,3.17164
2023-07-19,2.70522
2023-07-20,3.63805
2023-07-21,2.51865
2023-07-22,1.77238
2023-07-23,1.21268
2023-07-24,3.26492
2023-07-25,3.73134
2023-07-26,4.57089
2023-07-27,3.07835
2023-07-28,3.45149
2023-07-29,1.21268
2023-07-30,0.65298
2023-07-31,3.63805
2023-08-01,3.07835
2023-08-02,3.3582
2023-08-03,3.54477
2023-08-04,3.26492
2023-08-05,1.39925
2023-08-06,1.6791
2023-08-07,3.07835
2023-08-08,3.17164
2023-08-09,3.17164
2023-08-10,2.14552
2023-08-11,3.73134
2023-08-12,1.02611
2023-08-13,1.6791
2023-08-14,2.89179
2023-08-15,1.39925
2023-08-16,3.45149
2023-08-17,2.7985
2023-08-18,3.54477
2023-08-19,1.58582
2023-08-20,1.77238
2023-08-21,3.82462
2023-08-22,4.38432
2023-08-23,3.26492
2023-08-24,3.91791
2023-08-25,4.38432
2023-08-26,2.51865
2023-08-27,2.2388
2023-08-28,4.19776
2023-08-29,3.82462
2023-08-30,5.03731
2023-08-31,3.91791
2023-09-01,2.33208
2023-09-02,1.21268
2023-09-03,1.95895
2023-09-04,4.66417
2023-09-05,3.45149
2023-09-06,2.42537
2023-09-07,3.17164
2023-09-08,3.54477
2023-09-09,1.30597
2023-09-10,2.05223
2023-09-11,4.19776
2023-09-12,4.10447
2023-09-13,3.3582
2023-09-14,3.54477
2023-09-15,2.51865
2023-09-16,1.86567
2023-09-17,2.33208
2023-09-18,3.82462
2023-09-19,4.29104
2023-09-20,4.75746
2023-09-21,4.47761
2023-09-22,2.51865
2023-09-23,1.39925
2023-09-24,1.95895
2023-09-25,4.10447
2023-09-26,4.01119
2023-09-27,4.94402
2023-09-28,1.77238
2023-09-29,1.1194
2023-09-30,1.58582
2023-10-01,1.77238
2023-10-02,2.14552
2023-10-03,2.89179
2023-10-04,5.69029
2023-10-05,6.15671
2023-10-06,3.73134
2023-10-07,2.42537
2023-10-08,3.73134
2023-10-09,3.3582
2023-10-10,4.75746
2023-10-11,5.31716
2023-10-12,4.38432
2023-10-13,5.50373
2023-10-14,2.05223
2023-10-15,2.05223
2023-10-16,4.66417
2023-10-17,7.46268
2023-10-18,5.50373
2023-10-19,7.18283
2023-10-20,8.4888
2023-10-21,4.19776
2023-10-22,3.07835
2023-10-23,6.71641
2023-10-24,9.23507
2023-10-25,10.26119
2023-10-26,8.11567
2023-10-27,10.07462
2023-10-28,4.19776
2023-10-29,5.03731
2023-10-30,9.0485
2023-10-31,9.79477
2023-11-01,11.56716
2023-11-02,9.51492
2023-11-03,11.00746
2023-11-04,5.69029
2023-11-05,5.97014
2023-11-06,11.10074
2023-11-07,10.07462
2023-11-08,9.98134
2023-11-09,10.72761
2023-11-10,8.30223
2023-11-11,5.59701
2023-11-12,6.06343
2023-11-13,10.44776
2023-11-14,12.87313
2023-11-15,13.43283
2023-11-16,13.33955
2023-11-17,12.03358
2023-11-18,5.87686
2023-11-19,8.4888
2023-11-20,15.48507
2023-11-21,17.63059
2023-11-22,18.47014
2023-11-23,14.83208
2023-11-24,19.12313
2023-11-25,7.18283
2023-11-26,10.82089
2023-11-27,19.58955
2023-11-28,18.19029
2023-11-29,19.49626
2023-11-30,19.96268
2023-12-01,20.24253
2023-12-02,13.52611
2023-12-03,15.11194
2023-12-04,23.97388
2023-12-05,27.7985
2023-12-06,31.90298
2023-12-07,28.63805
2023-12-08,21.36194
2023-12-09,10.82089
2023-12-10,15.48507
2023-12-11,29.19776
2023-12-12,32.64925
2023-12-13,28.73134
2023-12-14,27.05223
2023-12-15,25.37313
2023-12-16,23.97388
2023-12-17,17.44402
2023-12-18,29.29104
2023-12-19,32.9291
2023-12-20,39.64552
2023-12-21,45.70895
2023-12-22,54.01119
2023-12-23,24.16044
2023-12-24,20.61567
2023-12-25,27.05223
2023-12-26,64.64552
2023-12-27,60.54104
2023-12-28,61.00746
2023-12-29,59.79477
2023-12-30,17.72388
2023-12-31,19.40298
2024-01-01,6.15671
2024-01-02,10.07462
2024-01-03,8.02238
2024-01-04,9.0485
2024-01-05,8.4888
2024-01-06,5.97014
2024-01-07,5.50373
2024-01-08,10.26119
2024-01-09,10.35447
2024-01-10,10.54104
2024-01-11,12.03358
2024-01-12,10.54104
2024-01-13,7.9291
2024-01-14,6.34328
2024-01-15,46.08208
2024-01-16,52.51865
2024-01-17,47.94776
2024-01-18,53.45149
2024-01-19,47.66791
2024-01-20,23.13432
2024-01-21,26.49253
2024-01-22,100.0
2024-01-23,83.58208
2024-01-24,80.31716
2024-01-25,65.8582
2024-01-26,47.94776
2024-01-27,23.13432
2024-01-28,22.01492
2024-01-29,50.46641
2024-01-30,41.13805
2024-01-31,36.00746
2024-02-01,25.27985
2024-02-02,23.50746
2024-02-03,11.66044
2024-02-04,13.89925
2024-02-05,24.34701
2024-02-06,24.16044
2024-02-07,22.01492
2024-02-08,19.77611
2024-02-09,10.82089
2024-02-10,7.64925
2024-02-11,8.20895
2024-02-12,10.72761
2024-02-13,28.54477
2024-02-14,34.23507
2024-02-15,30.87686
2024-02-16,30.13059
2024-02-17,12.12686
2024-02-18,11.75373
2024-02-19,26.1194
2024-02-20,27.61194
2024-02-21,29.75746
2024-02-22,25.65298
2024-02-23,25.74626
2024-02-24,10.44776
2024-02-25,11.94029
2024-02-26,23.50746
2024-02-27,19.21641
2024-02-28,17.25746
2024-02-29,15.67164
2024-03-01,8.67537
2024-03-02,6.34328
2024-03-03,6.34328
2024-03-04,12.59328
2024-03-05,14.08582
2024-03-06,15.11194
2024-03-07,10.44776
2024-03-08,12.68656
2024-03-09,6.52985
2024-03-10,7.83582
2024-03-11,8.67537
2024-03-12,10.82089
2024-03-13,8.4888
2024-03-14,6.99626
2024-03-15,6.34328
2024-03-16,3.82462
2024-03-17,3.63805
2024-03-18,6.71641
2024-03-19,7.46268
2024-03-20,8.30223
