date,주식세금
2021-02-08,10.51353
2021-02-09,14.09493
2021-02-10,13.60932
2021-02-11,8.91101
2021-02-12,8.44967
2021-02-13,8.18259
2021-02-14,9.15381
2021-02-15,16.35304
2021-02-16,16.09809
2021-02-17,16.03739
2021-02-18,13.45149
2021-02-19,13.92497
2021-02-20,14.447
2021-02-21,10.24644
2021-02-22,36.56671
2021-02-23,20.14082
2021-02-24,14.05851
2021-02-25,15.66104
2021-02-26,12.33458
2021-02-27,8.47395
2021-02-28,7.49059
2021-03-01,7.06567
2021-03-02,11.48476
2021-03-03,11.30265
2021-03-04,10.70778
2021-03-05,10.0522
2021-03-06,6.33725
2021-03-07,6.16729
2021-03-08,9.91865
2021-03-09,10.71992
2021-03-10,10.10076
2021-03-11,11.46048
2021-03-12,13.26939
2021-03-13,7.55129
2021-03-14,7.70911
2021-03-15,12.72307
2021-03-16,14.3256
2021-03-17,12.20104
2021-03-18,14.93262
2021-03-19,12.48027
2021-03-20,8.65606
2021-03-21,12.8809
2021-03-22,33.4345
2021-03-23,25.95605
2021-03-24,20.01942
2021-03-25,16.32876
2021-03-26,16.01311
2021-03-27,10.24644
2021-03-28,10.00364
2021-03-29,17.39711
2021-03-30,16.20735
2021-03-31,17.23928
2021-04-01,15.57605
2021-04-02,17.57921
2021-04-03,12.40742
2021-04-04,10.7442
2021-04-05,18.22265
2021-04-06,18.58686
2021-04-07,16.41374
2021-04-08,17.0329
2021-04-09,15.46679
2021-04-10,9.73655
2021-04-11,9.45732
2021-04-12,13.73072
2021-04-13,14.66553
2021-04-14,15.16328
2021-04-15,15.80672
2021-04-16,15.52749
2021-04-17,9.17809
2021-04-18,13.68216
2021-04-19,16.47444
2021-04-20,17.1543
2021-04-21,14.19206
2021-04-22,17.66419
2021-04-23,22.01044
2021-04-24,12.69879
2021-04-25,9.85795
2021-04-26,16.37732
2021-04-27,18.69612
2021-04-28,16.38946
2021-04-29,12.95374
2021-04-30,10.25858
2021-05-01,6.16729
2021-05-02,6.5922
2021-05-03,9.65157
2021-05-04,8.87459
2021-05-05,7.17494
2021-05-06,12.07964
2021-05-07,10.33143
2021-05-08,6.88357
2021-05-09,6.78645
2021-05-10,12.28602
2021-05-11,11.39978
2021-05-12,10.7442
2021-05-13,8.77746
2021-05-14,9.19023
2021-05-15,5.07466
2021-05-16,5.0261
2021-05-17,8.40111
2021-05-18,11.48476
2021-05-19,7.74553
2021-05-20,8.6682
2021-05-21,8.24329
2021-05-22,4.89255
2021-05-23,4.5162
2021-05-24,7.33276
2021-05-25,9.45732
2021-05-26,9.45732
2021-05-27,10.82918
2021-05-28,13.86427
2021-05-29,8.17045
2021-05-30,7.05353
2021-05-31,11.16911
2021-06-01,10.52567
2021-06-02,10.7442
2021-06-03,12.43171
2021-06-04,10.39213
2021-06-05,5.94876
2021-06-06,6.15515
2021-06-07,11.80041
2021-06-08,10.59851
2021-06-09,8.69248
2021-06-10,8.42539
