date,다운우미린
2023-09-29,3.95348
2023-09-30,2.32558
2023-10-01,3.02325
2023-10-02,9.76744
2023-10-03,8.60465
2023-10-04,8.37209
2023-10-05,7.90697
2023-10-06,7.44186
2023-10-07,4.88372
2023-10-08,5.11627
2023-10-09,5.81395
2023-10-10,6.74418
2023-10-11,5.81395
2023-10-12,7.44186
2023-10-13,5.58139
2023-10-14,4.88372
2023-10-15,4.88372
2023-10-16,5.34883
2023-10-17,8.8372
2023-10-18,6.04651
2023-10-19,9.53488
2023-10-20,31.16279
2023-10-21,14.88372
2023-10-22,8.8372
2023-10-23,16.51162
2023-10-24,11.6279
2023-10-25,14.88372
2023-10-26,11.39534
2023-10-27,30.23255
2023-10-28,18.8372
2023-10-29,23.95348
2023-10-30,26.27906
2023-10-31,19.53488
2023-11-01,26.97674
2023-11-02,24.18604
2023-11-03,14.4186
2023-11-04,23.02325
2023-11-05,32.79069
2023-11-06,24.4186
2023-11-07,6.51162
2023-11-08,6.27906
2023-11-09,45.58139
2023-11-10,14.88372
2023-11-11,9.53488
2023-11-12,8.60465
2023-11-13,9.53488
2023-11-14,26.27906
2023-11-15,33.95348
2023-11-16,23.72093
2023-11-17,21.39534
2023-11-18,28.8372
2023-11-19,24.88372
2023-11-20,31.86046
2023-11-21,32.32558
2023-11-22,27.44186
2023-11-23,31.39534
2023-11-24,30.0
2023-11-25,33.25581
2023-11-26,33.25581
2023-11-27,30.69767
2023-11-28,33.25581
2023-11-29,23.72093
2023-11-30,25.81395
2023-12-01,28.60465
2023-12-02,28.8372
2023-12-03,37.44186
2023-12-04,61.86046
2023-12-05,60.46511
2023-12-06,51.39534
2023-12-07,59.76744
2023-12-08,64.4186
2023-12-09,89.53488
2023-12-10,98.37209
2023-12-11,86.97674
2023-12-12,91.6279
2023-12-13,87.90697
2023-12-14,88.8372
2023-12-15,90.46511
2023-12-16,82.32558
2023-12-17,68.60465
2023-12-18,83.95348
2023-12-19,81.39534
2023-12-20,80.0
2023-12-21,81.86046
2023-12-22,73.02325
2023-12-23,72.09302
2023-12-24,66.04651
2023-12-25,74.18604
2023-12-26,66.97674
2023-12-27,63.25581
2023-12-28,53.48837
2023-12-29,60.23255
2023-12-30,52.09302
2023-12-31,55.58139
2024-01-01,52.79069
2024-01-02,57.67441
2024-01-03,57.2093
2024-01-04,60.23255
2024-01-05,47.67441
2024-01-06,50.46511
2024-01-07,57.2093
2024-01-08,45.11627
2024-01-09,48.13953
2024-01-10,36.97674
2024-01-11,48.37209
2024-01-12,50.0
2024-01-13,53.48837
2024-01-14,49.53488
2024-01-15,50.23255
2024-01-16,47.90697
2024-01-17,54.65116
2024-01-18,48.8372
2024-01-19,50.93023
2024-01-20,50.93023
2024-01-21,51.86046
2024-01-22,45.34883
2024-01-23,48.37209
2024-01-24,49.53488
2024-01-25,32.79069
2024-01-26,44.4186
2024-01-27,41.86046
2024-01-28,32.55813
2024-01-29,43.95348
2024-01-30,48.13953
2024-01-31,48.37209
2024-02-01,49.06976
2024-02-02,46.51162
2024-02-03,41.86046
2024-02-04,29.30232
2024-02-05,48.37209
2024-02-06,60.93023
2024-02-07,55.81395
2024-02-08,55.34883
2024-02-09,59.76744
2024-02-10,57.44186
2024-02-11,63.95348
2024-02-12,65.58139
2024-02-13,68.8372
2024-02-14,68.8372
2024-02-15,67.90697
2024-02-16,65.81395
2024-02-17,67.2093
2024-02-18,66.97674
2024-02-19,64.18604
2024-02-20,50.46511
2024-02-21,50.0
2024-02-22,47.44186
2024-02-23,46.74418
2024-02-24,49.30232
2024-02-25,48.60465
2024-02-26,47.67441
2024-02-27,50.69767
2024-02-28,58.37209
2024-02-29,74.18604
2024-03-01,100.0
2024-03-02,85.81395
2024-03-03,79.30232
2024-03-04,52.32558
2024-03-05,22.55813
2024-03-06,28.37209
2024-03-07,21.16279
2024-03-08,24.4186
2024-03-09,22.32558
2024-03-10,25.11627
2024-03-11,21.86046
2024-03-12,19.30232
2024-03-13,22.55813
2024-03-14,22.09302
2024-03-15,22.32558
2024-03-16,29.30232
2024-03-17,28.8372
2024-03-18,21.16279
2024-03-19,29.76744
2024-03-20,37.44186
