date,해외주식시간
2021-01-31,13.06818
2021-02-01,55.0284
2021-02-02,46.93181
2021-02-03,43.66477
2021-02-04,34.85795
2021-02-05,36.22159
2021-02-06,19.26136
2021-02-07,13.01136
2021-02-08,37.5
2021-02-09,43.01136
2021-02-10,44.0909
2021-02-11,47.5
2021-02-12,32.2159
2021-02-13,24.00568
2021-02-14,13.1534
2021-02-15,70.14204
2021-02-16,63.29545
2021-02-17,50.0
2021-02-18,43.26704
2021-02-19,37.75568
2021-02-20,23.03977
2021-02-21,11.67613
2021-02-22,36.50568
2021-02-23,40.73863
2021-02-24,37.55681
2021-02-25,38.86363
2021-02-26,31.67613
2021-02-27,15.11363
2021-02-28,9.6875
2021-03-01,23.03977
2021-03-02,28.80681
2021-03-03,25.56818
2021-03-04,24.65909
2021-03-05,24.03409
2021-03-06,14.94318
2021-03-07,10.05681
2021-03-08,23.26704
2021-03-09,28.63636
2021-03-10,37.24431
2021-03-11,63.89204
2021-03-12,76.22159
2021-03-13,26.96022
2021-03-14,16.5625
2021-03-15,44.85795
2021-03-16,40.48295
2021-03-17,29.00568
2021-03-18,27.10227
2021-03-19,24.88636
2021-03-20,13.52272
2021-03-21,8.125
2021-03-22,22.67045
2021-03-23,19.82954
2021-03-24,18.01136
2021-03-25,19.03409
2021-03-26,16.33522
2021-03-27,9.77272
2021-03-28,5.9375
2021-03-29,19.57386
2021-03-30,22.24431
2021-03-31,20.3125
2021-04-01,20.3409
2021-04-02,38.06818
2021-04-03,18.06818
2021-04-04,11.64772
2021-04-05,29.65909
2021-04-06,26.10795
2021-04-07,17.78409
2021-04-08,17.1875
2021-04-09,18.06818
2021-04-10,10.17045
2021-04-11,6.98863
2021-04-12,19.20454
2021-04-13,19.57386
2021-04-14,25.76704
2021-04-15,22.69886
2021-04-16,19.00568
2021-04-17,9.11931
2021-04-18,6.5909
2021-04-19,20.625
2021-04-20,19.82954
2021-04-21,17.55681
2021-04-22,16.07954
2021-04-23,15.25568
2021-04-24,7.95454
2021-04-25,4.54545
2021-04-26,16.42045
2021-04-27,18.66477
2021-04-28,13.83522
2021-04-29,13.83522
2021-04-30,10.79545
2021-05-01,7.5
2021-05-02,5.0
2021-05-03,13.94886
2021-05-04,15.0
2021-05-05,11.39204
2021-05-06,12.27272
2021-05-07,11.61931
2021-05-08,5.73863
2021-05-09,3.72159
2021-05-10,15.39772
2021-05-11,18.125
2021-05-12,14.34659
2021-05-13,13.63636
2021-05-14,11.875
2021-05-15,5.9659
2021-05-16,4.03409
2021-05-17,12.44318
2021-05-18,10.625
2021-05-19,8.49431
2021-05-20,9.60227
2021-05-21,8.38068
2021-05-22,4.28977
2021-05-23,3.38068
2021-05-24,9.80113
2021-05-25,11.19318
2021-05-26,10.36931
2021-05-27,10.625
2021-05-28,11.81818
2021-05-29,5.3409
2021-05-30,3.40909
2021-05-31,27.1875
2021-06-01,18.52272
2021-06-02,15.68181
2021-06-03,21.10795
2021-06-04,14.6875
2021-06-05,6.50568
2021-06-06,4.48863
2021-06-07,13.92045
2021-06-08,14.00568
2021-06-09,12.07386
2021-06-10,12.41477
2021-06-11,9.65909
2021-06-12,6.30681
2021-06-13,2.86931
2021-06-14,10.56818
2021-06-15,11.44886
2021-06-16,10.0
2021-06-17,9.23295
2021-06-18,11.73295
2021-06-19,5.59659
2021-06-20,3.7784
2021-06-21,9.82954
2021-06-22,10.05681
2021-06-23,10.99431
2021-06-24,10.71022
2021-06-25,11.42045
2021-06-26,5.17045
2021-06-27,4.11931
2021-06-28,13.80681
2021-06-29,12.10227
