date,미수금
2021-07-09,34.02061
2021-07-10,8.86597
2021-07-11,10.24054
2021-07-12,34.50171
2021-07-13,39.79381
2021-07-14,33.12714
2021-07-15,36.35738
2021-07-16,27.28522
2021-07-17,10.24054
2021-07-18,8.52233
2021-07-19,34.02061
2021-07-20,37.31958
2021-07-21,40.54982
2021-07-22,39.0378
2021-07-23,29.55326
2021-07-24,8.86597
2021-07-25,7.76632
2021-07-26,35.189
2021-07-27,45.49828
2021-07-28,33.88316
2021-07-29,33.05841
2021-07-30,33.60824
2021-07-31,9.20962
2021-08-01,9.55326
2021-08-02,34.57044
2021-08-03,32.98969
2021-08-04,31.13402
2021-08-05,34.43298
2021-08-06,31.47766
2021-08-07,11.75257
2021-08-08,8.9347
2021-08-09,35.05154
2021-08-10,43.43642
2021-08-11,41.92439
2021-08-12,35.189
2021-08-13,36.76975
2021-08-14,9.20962
2021-08-15,6.39175
2021-08-16,10.8591
2021-08-17,44.32989
2021-08-18,42.06185
2021-08-19,40.48109
2021-08-20,35.60137
2021-08-21,12.16494
2021-08-22,9.27835
2021-08-23,37.1134
2021-08-24,40.06872
2021-08-25,37.25085
2021-08-26,35.12027
2021-08-27,29.07216
2021-08-28,9.14089
2021-08-29,10.24054
2021-08-30,34.7079
2021-08-31,38.96907
2021-09-01,35.05154
2021-09-02,39.5189
2021-09-03,32.3024
2021-09-04,10.8591
2021-09-05,8.79725
2021-09-06,34.98281
2021-09-07,33.95189
2021-09-08,37.73195
2021-09-09,36.6323
2021-09-10,30.30927
2021-09-11,7.9725
2021-09-12,8.17869
2021-09-13,37.25085
2021-09-14,37.18213
2021-09-15,36.97594
2021-09-16,35.39518
2021-09-17,26.66666
2021-09-18,9.07216
2021-09-19,6.66666
2021-09-20,6.80412
2021-09-21,5.49828
2021-09-22,10.79037
2021-09-23,36.01374
2021-09-24,34.36426
2021-09-25,12.43986
2021-09-26,12.71477
2021-09-27,39.31271
2021-09-28,41.03092
2021-09-29,38.14432
2021-09-30,37.80068
2021-10-01,38.62542
2021-10-02,14.15807
2021-10-03,13.88316
2021-10-04,14.29553
2021-10-05,40.06872
2021-10-06,40.27491
2021-10-07,39.5189
2021-10-08,31.47766
2021-10-09,12.09621
2021-10-10,11.47766
2021-10-11,12.57731
2021-10-12,41.71821
2021-10-13,38.00687
2021-10-14,44.46735
2021-10-15,39.79381
2021-10-16,13.12714
2021-10-17,14.08934
2021-10-18,39.38144
2021-10-19,35.87628
2021-10-20,39.5189
2021-10-21,41.44329
2021-10-22,34.02061
2021-10-23,10.8591
2021-10-24,10.30927
2021-10-25,35.73883
