date,설치미술
2021-02-20,10.85271
2021-02-21,16.27906
2021-02-22,20.54263
2021-02-23,15.50387
2021-02-24,16.27906
2021-02-25,25.58139
2021-02-26,22.86821
2021-02-27,20.15503
2021-02-28,18.21705
2021-03-01,19.37984
2021-03-02,24.4186
2021-03-03,28.29457
2021-03-04,35.65891
2021-03-05,34.10852
2021-03-06,21.70542
2021-03-07,24.031
2021-03-08,44.18604
2021-03-09,44.18604
2021-03-10,53.10077
2021-03-11,48.8372
2021-03-12,43.02325
2021-03-13,17.82945
2021-03-14,33.33333
2021-03-15,65.89147
2021-03-16,60.07751
2021-03-17,52.32558
2021-03-18,53.10077
2021-03-19,31.00775
2021-03-20,21.70542
2021-03-21,25.19379
2021-03-22,44.18604
2021-03-23,41.08527
2021-03-24,39.53488
2021-03-25,39.53488
2021-03-26,37.2093
2021-03-27,19.76744
2021-03-28,29.84496
2021-03-29,39.14728
2021-03-30,51.55038
2021-03-31,41.08527
2021-04-01,32.17054
2021-04-02,37.98449
2021-04-03,22.48062
2021-04-04,24.8062
2021-04-05,44.18604
2021-04-06,50.0
2021-04-07,44.96124
2021-04-08,45.34883
2021-04-09,34.49612
2021-04-10,22.86821
2021-04-11,26.35658
2021-04-12,34.88372
2021-04-13,36.04651
2021-04-14,24.4186
2021-04-15,46.51162
2021-04-16,25.96899
2021-04-17,31.00775
2021-04-18,25.96899
2021-04-19,43.79844
2021-04-20,39.53488
2021-04-21,35.65891
2021-04-22,35.27131
2021-04-23,36.8217
2021-04-24,21.70542
2021-04-25,25.96899
2021-04-26,53.87596
2021-04-27,56.58914
2021-04-28,41.86046
2021-04-29,42.24806
2021-04-30,25.58139
2021-05-01,21.31782
2021-05-02,23.64341
2021-05-03,30.23255
2021-05-04,31.39534
2021-05-05,20.15503
2021-05-06,46.12403
2021-05-07,41.08527
2021-05-08,24.8062
2021-05-09,31.78294
2021-05-10,66.27906
2021-05-11,55.03875
2021-05-12,55.81395
2021-05-13,38.75968
2021-05-14,42.24806
2021-05-15,27.13178
2021-05-16,32.94573
2021-05-17,68.21705
2021-05-18,40.69767
2021-05-19,30.23255
2021-05-20,51.55038
2021-05-21,40.31007
2021-05-22,21.31782
2021-05-23,27.90697
2021-05-24,43.79844
2021-05-25,62.79069
2021-05-26,52.32558
2021-05-27,49.2248
2021-05-28,48.8372
2021-05-29,36.8217
2021-05-30,48.8372
2021-05-31,56.58914
2021-06-01,37.59689
2021-06-02,37.59689
2021-06-03,41.08527
2021-06-04,36.4341
2021-06-05,24.8062
2021-06-06,37.98449
2021-06-07,35.65891
2021-06-08,54.65116
2021-06-09,53.48837
2021-06-10,49.2248
2021-06-11,46.12403
2021-06-12,20.93023
2021-06-13,29.06976
2021-06-14,48.8372
2021-06-15,55.81395
2021-06-16,41.47286
2021-06-17,40.69767
2021-06-18,36.04651
2021-06-19,24.031
2021-06-20,29.06976
2021-06-21,42.63565
2021-06-22,42.24806
2021-06-23,41.86046
2021-06-24,47.67441
2021-06-25,39.53488
2021-06-26,32.17054
2021-06-27,27.51937
2021-06-28,36.4341
2021-06-29,33.72093
2021-06-30,40.69767
2021-07-01,26.35658
2021-07-02,21.31782
2021-07-03,18.21705
2021-07-04,20.54263
2021-07-05,44.18604
2021-07-06,38.75968
