date,이쁜그림
2021-11-26,60.84337
2021-11-27,61.44578
2021-11-28,48.79518
2021-11-29,40.36144
2021-11-30,67.46987
2021-12-01,59.03614
2021-12-02,57.83132
2021-12-03,55.42168
2021-12-04,45.18072
2021-12-05,50.0
2021-12-06,47.59036
2021-12-07,55.42168
2021-12-08,57.83132
2021-12-09,53.61445
2021-12-10,53.61445
2021-12-11,53.61445
2021-12-12,51.80722
2021-12-13,42.16867
2021-12-14,59.63855
2021-12-15,51.80722
2021-12-16,46.38554
2021-12-17,36.14457
2021-12-18,36.14457
2021-12-19,46.38554
2021-12-20,37.9518
2021-12-21,49.39759
2021-12-22,54.21686
2021-12-23,56.6265
2021-12-24,53.01204
2021-12-25,45.18072
2021-12-26,57.83132
2021-12-27,50.6024
2021-12-28,58.43373
2021-12-29,38.55421
2021-12-30,51.20481
2021-12-31,68.67469
2022-01-01,49.39759
2022-01-02,62.6506
2022-01-03,46.98795
2022-01-04,50.0
2022-01-05,50.0
2022-01-06,50.0
2022-01-07,51.20481
2022-01-08,41.56626
2022-01-09,58.43373
2022-01-10,43.9759
2022-01-11,48.79518
2022-01-12,45.18072
2022-01-13,56.02409
2022-01-14,51.20481
2022-01-15,55.42168
2022-01-16,56.02409
2022-01-17,51.80722
2022-01-18,55.42168
2022-01-19,55.42168
2022-01-20,50.0
2022-01-21,44.57831
2022-01-22,47.59036
2022-01-23,64.45783
2022-01-24,45.78313
2022-01-25,54.21686
2022-01-26,59.03614
2022-01-27,78.31325
2022-01-28,53.01204
2022-01-29,57.22891
2022-01-30,54.21686
2022-01-31,39.75903
2022-02-01,49.39759
2022-02-02,51.80722
2022-02-03,55.42168
2022-02-04,38.55421
2022-02-05,51.20481
2022-02-06,51.80722
2022-02-07,52.40963
2022-02-08,62.04819
2022-02-09,56.02409
2022-02-10,47.59036
2022-02-11,50.0
2022-02-12,47.59036
2022-02-13,43.9759
2022-02-14,49.39759
2022-02-15,54.81927
2022-02-16,64.45783
2022-02-17,45.78313
2022-02-18,45.18072
2022-02-19,42.16867
2022-02-20,53.01204
2022-02-21,49.39759
2022-02-22,48.79518
2022-02-23,47.59036
2022-02-24,48.19277
2022-02-25,49.39759
2022-02-26,42.77108
2022-02-27,46.98795
2022-02-28,44.57831
2022-03-01,51.80722
2022-03-02,54.21686
2022-03-03,53.01204
2022-03-04,51.20481
2022-03-05,43.9759
2022-03-06,44.57831
2022-03-07,42.77108
2022-03-08,53.01204
2022-03-09,43.9759
2022-03-10,40.96385
2022-03-11,50.0
2022-03-12,45.78313
2022-03-13,61.44578
2022-03-14,66.86746
2022-03-15,41.56626
2022-03-16,43.9759
2022-03-17,53.01204
2022-03-18,51.20481
2022-03-19,57.22891
2022-03-20,50.0
2022-03-21,46.38554
2022-03-22,33.73493
2022-03-23,44.57831
2022-03-24,43.9759
2022-03-25,50.6024
2022-03-26,56.6265
2022-03-27,41.56626
2022-03-28,34.33734
2022-03-29,45.18072
2022-03-30,51.20481
2022-03-31,53.01204
2022-04-01,45.18072
2022-04-02,42.16867
2022-04-03,34.33734
2022-04-04,36.14457
2022-04-05,42.77108
2022-04-06,31.92771
2022-04-07,45.78313
2022-04-08,43.9759
2022-04-09,39.15662
2022-04-10,37.34939
2022-04-11,36.14457
2022-04-12,40.36144
2022-04-13,53.01204
2022-04-14,39.75903
2022-04-15,36.14457
2022-04-16,42.16867
2022-04-17,39.15662
2022-04-18,39.15662
2022-04-19,49.39759
2022-04-20,40.96385
2022-04-21,37.9518
2022-04-22,40.36144
2022-04-23,46.38554
2022-04-24,46.98795
2022-04-25,45.78313
2022-04-26,41.56626
2022-04-27,51.20481
2022-04-28,39.15662
2022-04-29,43.9759
2022-04-30,50.0
2022-05-01,41.56626
2022-05-02,47.59036
2022-05-03,43.9759
2022-05-04,59.03614
2022-05-05,39.15662
2022-05-06,45.18072
2022-05-07,43.9759
2022-05-08,37.9518
2022-05-09,48.19277
2022-05-10,42.77108
2022-05-11,43.9759
2022-05-12,40.96385
2022-05-13,53.61445
2022-05-14,51.80722
2022-05-15,53.61445
2022-05-16,45.18072
2022-05-17,42.16867
2022-05-18,43.9759
2022-05-19,54.21686
2022-05-20,40.36144
2022-05-21,35.54216
2022-05-22,43.9759
2022-05-23,37.9518
2022-05-24,45.18072
2022-05-25,36.74698
2022-05-26,37.9518
2022-05-27,39.75903
2022-05-28,41.56626
2022-05-29,33.13253
2022-05-30,41.56626
2022-05-31,46.38554
2022-06-01,51.20481
2022-06-02,43.9759
2022-06-03,43.37349
2022-06-04,48.79518
2022-06-05,40.96385
2022-06-06,45.78313
2022-06-07,46.98795
2022-06-08,45.18072
2022-06-09,31.92771
2022-06-10,42.77108
2022-06-11,37.34939
2022-06-12,30.12048
2022-06-13,38.55421
2022-06-14,33.73493
2022-06-15,47.59036
2022-06-16,48.19277
2022-06-17,37.9518
2022-06-18,31.92771
2022-06-19,46.38554
2022-06-20,41.56626
2022-06-21,49.39759
2022-06-22,52.40963
2022-06-23,50.0
2022-06-24,36.14457
2022-06-25,43.9759
2022-06-26,38.55421
2022-06-27,38.55421
2022-06-28,38.55421
2022-06-29,50.0
2022-06-30,40.36144
2022-07-01,44.57831
2022-07-02,36.74698
2022-07-03,36.74698
2022-07-04,33.13253
2022-07-05,41.56626
2022-07-06,38.55421
2022-07-07,34.33734
2022-07-08,45.18072
2022-07-09,34.33734
2022-07-10,43.9759
2022-07-11,37.34939
2022-07-12,43.9759
2022-07-13,33.13253
2022-07-14,47.59036
2022-07-15,45.78313
2022-07-16,44.57831
2022-07-17,35.54216
2022-07-18,47.59036
2022-07-19,28.91566
2022-07-20,39.15662
2022-07-21,45.78313
2022-07-22,31.3253
2022-07-23,38.55421
2022-07-24,37.9518
2022-07-25,31.92771
2022-07-26,35.54216
2022-07-27,43.37349
2022-07-28,41.56626
2022-07-29,50.0
2022-07-30,33.13253
2022-07-31,18.67469
2022-08-01,31.92771
2022-08-02,40.96385
2022-08-03,30.72289
2022-08-04,33.73493
2022-08-05,33.13253
2022-08-06,39.75903
2022-08-07,40.96385
2022-08-08,36.14457
2022-08-09,40.36144
2022-08-10,48.79518
2022-08-11,42.16867
2022-08-12,46.98795
2022-08-13,25.3012
2022-08-14,31.3253
2022-08-15,33.73493
2022-08-16,27.71084
2022-08-17,45.18072
2022-08-18,32.53012
2022-08-19,38.55421
2022-08-20,34.93975
2022-08-21,27.71084
2022-08-22,42.77108
2022-08-23,41.56626
2022-08-24,51.80722
2022-08-25,37.9518
2022-08-26,33.73493
2022-08-27,27.71084
2022-08-28,18.07228
2022-08-29,31.92771
2022-08-30,37.9518
2022-08-31,34.93975
2022-09-01,28.31325
2022-09-02,27.71084
2022-09-03,30.12048
2022-09-04,38.55421
2022-09-05,38.55421
2022-09-06,33.13253
2022-09-07,32.53012
2022-09-08,31.3253
2022-09-09,25.90361
2022-09-10,22.28915
2022-09-11,33.73493
2022-09-12,25.90361
2022-09-13,26.50602
2022-09-14,34.33734
2022-09-15,41.56626
2022-09-16,29.51807
2022-09-17,25.3012
2022-09-18,33.73493
2022-09-19,31.3253
2022-09-20,38.55421
2022-09-21,36.74698
2022-09-22,25.90361
2022-09-23,34.93975
2022-09-24,36.74698
2022-09-25,33.13253
2022-09-26,33.73493
2022-09-27,44.57831
2022-09-28,26.50602
2022-09-29,39.15662
2022-09-30,28.91566
2022-10-01,34.33734
2022-10-02,36.74698
2022-10-03,36.74698
2022-10-04,25.90361
2022-10-05,40.36144
2022-10-06,31.92771
2022-10-07,33.73493
2022-10-08,33.13253
2022-10-09,39.75903
2022-10-10,24.09638
2022-10-11,34.93975
2022-10-12,41.56626
2022-10-13,38.55421
2022-10-14,31.3253
2022-10-15,39.75903
2022-10-16,44.57831
2022-10-17,35.54216
2022-10-18,30.12048
2022-10-19,45.78313
2022-10-20,33.13253
2022-10-21,22.89156
2022-10-22,28.91566
2022-10-23,30.72289
2022-10-24,31.3253
2022-10-25,37.9518
2022-10-26,31.92771
2022-10-27,51.20481
2022-10-28,35.54216
2022-10-29,31.3253
2022-10-30,39.15662
2022-10-31,31.3253
2022-11-01,31.92771
2022-11-02,30.72289
2022-11-03,43.37349
2022-11-04,32.53012
2022-11-05,40.36144
2022-11-06,28.91566
2022-11-07,31.3253
2022-11-08,41.56626
2022-11-09,37.34939
2022-11-10,40.96385
2022-11-11,36.74698
2022-11-12,37.9518
2022-11-13,47.59036
2022-11-14,33.13253
2022-11-15,35.54216
2022-11-16,40.36144
2022-11-17,36.74698
2022-11-18,34.33734
2022-11-19,40.96385
2022-11-20,25.3012
2022-11-21,31.92771
2022-11-22,37.9518
2022-11-23,29.51807
2022-11-24,22.89156
2022-11-25,32.53012
2022-11-26,33.13253
2022-11-27,28.31325
2022-11-28,32.53012
2022-11-29,31.92771
2022-11-30,33.73493
2022-12-01,36.14457
2022-12-02,33.73493
2022-12-03,31.3253
2022-12-04,26.50602
2022-12-05,34.33734
2022-12-06,31.3253
2022-12-07,37.34939
2022-12-08,45.78313
2022-12-09,42.16867
2022-12-10,48.79518
2022-12-11,32.53012
2022-12-12,33.13253
2022-12-13,48.79518
2022-12-14,36.14457
2022-12-15,37.9518
2022-12-16,28.31325
2022-12-17,29.51807
2022-12-18,28.31325
2022-12-19,34.33734
2022-12-20,33.13253
2022-12-21,34.93975
2022-12-22,43.9759
2022-12-23,30.12048
2022-12-24,30.12048
2022-12-25,31.92771
2022-12-26,37.9518
2022-12-27,48.19277
2022-12-28,39.75903
2022-12-29,41.56626
2022-12-30,39.15662
2022-12-31,48.19277
2023-01-01,37.34939
2023-01-02,43.9759
2023-01-03,36.14457
2023-01-04,48.19277
2023-01-05,42.16867
2023-01-06,47.59036
2023-01-07,37.34939
2023-01-08,45.78313
2023-01-09,42.77108
2023-01-10,37.34939
2023-01-11,43.37349
2023-01-12,41.56626
2023-01-13,38.55421
2023-01-14,42.77108
2023-01-15,40.36144
2023-01-16,31.92771
2023-01-17,38.55421
2023-01-18,46.98795
2023-01-19,34.33734
2023-01-20,23.49397
2023-01-21,27.71084
2023-01-22,27.71084
2023-01-23,40.96385
2023-01-24,31.3253
2023-01-25,40.36144
2023-01-26,40.96385
2023-01-27,25.90361
2023-01-28,37.9518
2023-01-29,36.14457
2023-01-30,36.74698
2023-01-31,51.80722
2023-02-01,48.19277
2023-02-02,48.79518
2023-02-03,40.36144
2023-02-04,35.54216
2023-02-05,27.10843
2023-02-06,36.74698
2023-02-07,36.14457
2023-02-08,43.37349
2023-02-09,41.56626
2023-02-10,42.16867
2023-02-11,43.9759
2023-02-12,34.33734
2023-02-13,41.56626
2023-02-14,30.12048
2023-02-15,48.19277
2023-02-16,30.72289
2023-02-17,45.18072
2023-02-18,53.01204
2023-02-19,40.96385
2023-02-20,41.56626
2023-02-21,36.74698
2023-02-22,39.75903
2023-02-23,36.74698
2023-02-24,33.73493
2023-02-25,28.31325
2023-02-26,32.53012
2023-02-27,34.33734
2023-02-28,45.78313
2023-03-01,46.98795
2023-03-02,31.3253
2023-03-03,37.34939
2023-03-04,33.13253
2023-03-05,46.38554
2023-03-06,36.74698
2023-03-07,35.54216
2023-03-08,42.77108
2023-03-09,47.59036
2023-03-10,36.14457
2023-03-11,34.33734
2023-03-12,46.38554
2023-03-13,34.33734
2023-03-14,36.14457
2023-03-15,35.54216
2023-03-16,38.55421
2023-03-17,31.92771
2023-03-18,35.54216
2023-03-19,31.3253
2023-03-20,27.10843
2023-03-21,43.37349
2023-03-22,34.93975
2023-03-23,28.31325
2023-03-24,34.33734
2023-03-25,28.31325
2023-03-26,31.3253
2023-03-27,30.12048
2023-03-28,39.15662
2023-03-29,30.72289
2023-03-30,36.14457
2023-03-31,37.9518
2023-04-01,28.31325
2023-04-02,22.89156
2023-04-03,36.74698
2023-04-04,29.51807
2023-04-05,39.75903
2023-04-06,34.93975
2023-04-07,25.90361
2023-04-08,32.53012
2023-04-09,22.89156
2023-04-10,29.51807
2023-04-11,28.31325
2023-04-12,37.34939
2023-04-13,34.93975
2023-04-14,24.69879
2023-04-15,21.08433
2023-04-16,38.55421
2023-04-17,25.90361
2023-04-18,24.69879
2023-04-19,40.96385
2023-04-20,34.93975
2023-04-21,38.55421
2023-04-22,38.55421
2023-04-23,25.3012
2023-04-24,27.10843
2023-04-25,34.33734
2023-04-26,33.13253
2023-04-27,47.59036
2023-04-28,42.77108
2023-04-29,34.33734
2023-04-30,28.91566
2023-05-01,27.71084
2023-05-02,27.71084
2023-05-03,29.51807
2023-05-04,43.37349
2023-05-05,31.92771
2023-05-06,30.12048
2023-05-07,31.3253
2023-05-08,31.92771
2023-05-09,37.9518
2023-05-10,27.10843
2023-05-11,33.13253
2023-05-12,33.13253
2023-05-13,35.54216
2023-05-14,31.3253
