date,저PBR
2021-02-19,0.47044
2021-02-20,0.62726
2021-02-21,0.43425
2021-02-22,0.30156
2021-02-23,0.54282
2021-02-24,0.44632
2021-02-25,0.45838
2021-02-26,0.36188
2021-02-27,0.44632
2021-02-28,0.30156
2021-03-01,0.41013
2021-03-02,0.34981
2021-03-03,0.31363
2021-03-04,0.45838
2021-03-05,0.33775
2021-03-06,0.45838
2021-03-07,0.59107
2021-03-08,0.45838
2021-03-09,0.50663
2021-03-10,0.386
2021-03-11,0.49457
2021-03-12,0.42219
2021-03-13,0.26537
2021-03-14,0.27744
2021-03-15,0.43425
2021-03-16,0.54282
2021-03-17,0.33775
2021-03-18,0.44632
2021-03-19,0.41013
2021-03-20,0.193
2021-03-21,0.27744
2021-03-22,0.42219
2021-03-23,0.36188
2021-03-24,0.2895
2021-03-25,0.39806
2021-03-26,0.33775
2021-03-27,0.2895
2021-03-28,0.386
2021-03-29,0.27744
2021-03-30,0.45838
2021-03-31,0.49457
2021-04-01,0.34981
2021-04-02,0.31363
2021-04-03,0.36188
2021-04-04,0.34981
2021-04-05,0.41013
2021-04-06,0.43425
2021-04-07,0.54282
2021-04-08,0.42219
2021-04-09,0.54282
2021-04-10,0.44632
2021-04-11,0.2895
2021-04-12,0.49457
2021-04-13,0.43425
2021-04-14,0.42219
2021-04-15,0.69963
2021-04-16,0.59107
2021-04-17,1.27864
2021-04-18,0.59107
2021-04-19,0.63932
2021-04-20,0.60313
2021-04-21,0.32569
2021-04-22,0.50663
2021-04-23,0.55488
2021-04-24,0.54282
2021-04-25,0.51869
2021-04-26,0.54282
2021-04-27,0.83232
2021-04-28,0.47044
2021-04-29,0.63932
2021-04-30,0.51869
2021-05-01,0.2895
2021-05-02,0.4825
2021-05-03,0.42219
2021-05-04,0.34981
2021-05-05,0.43425
2021-05-06,0.96501
2021-05-07,0.73582
2021-05-08,0.67551
2021-05-09,3.38962
2021-05-10,2.5211
2021-05-11,1.94209
2021-05-12,1.02533
2021-05-13,0.9047
2021-05-14,0.63932
2021-05-15,0.57901
2021-05-16,0.94089
2021-05-17,0.53075
2021-05-18,0.55488
2021-05-19,0.51869
2021-05-20,0.53075
2021-05-21,0.53075
2021-05-22,0.31363
2021-05-23,0.37394
2021-05-24,0.37394
2021-05-25,0.33775
2021-05-26,0.56694
2021-05-27,0.39806
2021-05-28,0.56694
2021-05-29,0.39806
2021-05-30,0.47044
2021-05-31,0.2895
2021-06-01,0.68757
2021-06-02,0.89264
2021-06-03,0.68757
2021-06-04,0.56694
2021-06-05,0.68757
2021-06-06,0.55488
2021-06-07,0.44632
2021-06-08,0.41013
2021-06-09,0.49457
2021-06-10,0.33775
2021-06-11,0.47044
2021-06-12,0.42219
2021-06-13,0.386
2021-06-14,0.54282
2021-06-15,0.54282
2021-06-16,0.50663
2021-06-17,0.41013
2021-06-18,0.33775
2021-06-19,0.42219
2021-06-20,0.34981
2021-06-21,0.32569
2021-06-22,0.45838
2021-06-23,0.60313
2021-06-24,0.193
2021-06-25,0.55488
2021-06-26,0.45838
2021-06-27,0.2895
2021-06-28,0.50663
2021-06-29,0.33775
2021-06-30,0.44632
2021-07-01,0.22919
2021-07-02,0.10856
2021-07-03,0.42219
2021-07-04,0.33775
2021-07-05,0.37394
2021-07-06,0.47044
