date,발행어음CMA
2023-03-12,17.47851
2023-03-13,19.77077
2023-03-14,22.34957
2023-03-15,15.75931
2023-03-16,22.92263
2023-03-17,18.05157
2023-03-18,9.16905
2023-03-19,15.18624
2023-03-20,20.34383
2023-03-21,18.91117
2023-03-22,16.33237
2023-03-23,26.07449
2023-03-24,29.51289
2023-03-25,20.0573
2023-03-26,14.04011
2023-03-27,29.51289
2023-03-28,24.06876
2023-03-29,19.48424
2023-03-30,19.77077
2023-03-31,25.50143
2023-04-01,16.04584
2023-04-02,15.18624
2023-04-03,17.76504
2023-04-04,28.08022
2023-04-05,20.9169
2023-04-06,23.20916
2023-04-07,26.93409
2023-04-08,9.74212
2023-04-09,12.03438
2023-04-10,22.6361
2023-04-11,24.64183
2023-04-12,30.37249
2023-04-13,21.48997
2023-04-14,27.79369
2023-04-15,14.89971
2023-04-16,16.61891
2023-04-17,26.36103
2023-04-18,26.93409
2023-04-19,29.51289
2023-04-20,32.66475
2023-04-21,38.10888
2023-04-22,19.48424
2023-04-23,22.34957
2023-04-24,36.67621
2023-04-25,33.52435
2023-04-26,38.96848
2023-04-27,28.36676
2023-04-28,29.22636
2023-04-29,15.18624
2023-04-30,14.61318
2023-05-01,22.34957
2023-05-02,24.92836
2023-05-03,22.6361
2023-05-04,22.06303
2023-05-05,18.3381
2023-05-06,14.32664
2023-05-07,14.04011
2023-05-08,17.47851
2023-05-09,22.92263
2023-05-10,19.48424
2023-05-11,22.6361
2023-05-12,17.19197
2023-05-13,10.31518
2023-05-14,10.88825
2023-05-15,22.6361
2023-05-16,26.93409
2023-05-17,20.0573
2023-05-18,20.9169
2023-05-19,18.91117
2023-05-20,13.46704
2023-05-21,11.46131
2023-05-22,14.04011
2023-05-23,16.04584
2023-05-24,16.04584
2023-05-25,22.6361
2023-05-26,18.91117
2023-05-27,6.59025
2023-05-28,11.74785
2023-05-29,15.18624
2023-05-30,16.04584
2023-05-31,16.04584
2023-06-01,19.48424
2023-06-02,17.76504
2023-06-03,10.31518
2023-06-04,13.46704
2023-06-05,16.04584
2023-06-06,15.18624
2023-06-07,19.48424
2023-06-08,16.90544
2023-06-09,12.60744
2023-06-10,8.02292
2023-06-11,9.45558
2023-06-12,20.63037
2023-06-13,13.75358
2023-06-14,19.77077
2023-06-15,16.04584
2023-06-16,14.61318
2023-06-17,15.18624
2023-06-18,12.89398
2023-06-19,15.75931
2023-06-20,15.47277
2023-06-21,11.74785
2023-06-22,17.47851
2023-06-23,20.9169
2023-06-24,10.60171
2023-06-25,13.75358
2023-06-26,21.7765
2023-06-27,31.23209
2023-06-28,28.93982
2023-06-29,31.80515
2023-06-30,28.08022
2023-07-01,17.76504
2023-07-02,13.75358
2023-07-03,32.37822
2023-07-04,22.34957
2023-07-05,24.06876
2023-07-06,26.93409
2023-07-07,25.50143
2023-07-08,16.33237
2023-07-09,14.89971
2023-07-10,33.52435
2023-07-11,27.50716
2023-07-12,20.0573
2023-07-13,30.08595
2023-07-14,22.92263
2023-07-15,15.18624
2023-07-16,17.76504
2023-07-17,22.34957
2023-07-18,24.06876
2023-07-19,23.78223
2023-07-20,30.65902
2023-07-21,20.9169
2023-07-22,16.33237
2023-07-23,12.60744
2023-07-24,18.3381
2023-07-25,21.48997
2023-07-26,20.63037
2023-07-27,19.77077
2023-07-28,17.76504
2023-07-29,15.47277
2023-07-30,13.75358
2023-07-31,20.9169
2023-08-01,19.77077
2023-08-02,14.89971
2023-08-03,14.89971
2023-08-04,13.75358
2023-08-05,10.60171
2023-08-06,11.46131
2023-08-07,19.1977
2023-08-08,22.06303
2023-08-09,14.32664
2023-08-10,20.9169
2023-08-11,16.61891
2023-08-12,11.17478
2023-08-13,8.59598
2023-08-14,16.33237
2023-08-15,14.89971
2023-08-16,24.3553
2023-08-17,21.48997
2023-08-18,20.0573
2023-08-19,15.18624
2023-08-20,14.32664
2023-08-21,30.37249
2023-08-22,24.92836
2023-08-23,22.06303
2023-08-24,22.6361
2023-08-25,24.06876
2023-08-26,17.19197
2023-08-27,16.33237
2023-08-28,24.92836
2023-08-29,32.66475
2023-08-30,27.79369
2023-08-31,27.22063
2023-09-01,20.0573
2023-09-02,20.0573
2023-09-03,23.78223
2023-09-04,36.96275
2023-09-05,26.64756
2023-09-06,34.09742
2023-09-07,31.23209
2023-09-08,25.21489
2023-09-09,21.20343
2023-09-10,24.64183
2023-09-11,34.09742
2023-09-12,30.37249
2023-09-13,23.78223
2023-09-14,29.51289
2023-09-15,23.78223
2023-09-16,15.75931
2023-09-17,16.04584
2023-09-18,28.36676
2023-09-19,26.93409
2023-09-20,23.78223
2023-09-21,29.79942
2023-09-22,20.9169
2023-09-23,14.89971
2023-09-24,14.89971
2023-09-25,31.51862
2023-09-26,46.1318
2023-09-27,27.22063
2023-09-28,15.75931
2023-09-29,16.04584
2023-09-30,17.47851
2023-10-01,14.32664
2023-10-02,21.48997
2023-10-03,24.3553
2023-10-04,50.71633
2023-10-05,43.26647
2023-10-06,40.97421
2023-10-07,31.51862
2023-10-08,29.79942
2023-10-09,35.81661
2023-10-10,39.54154
2023-10-11,44.69914
2023-10-12,28.65329
2023-10-13,38.96848
2023-10-14,25.78796
2023-10-15,16.90544
2023-10-16,29.79942
2023-10-17,26.36103
2023-10-18,29.79942
2023-10-19,32.66475
2023-10-20,27.79369
2023-10-21,17.19197
2023-10-22,17.47851
2023-10-23,27.50716
2023-10-24,32.95128
2023-10-25,36.67621
2023-10-26,27.22063
2023-10-27,24.92836
2023-10-28,12.89398
2023-10-29,20.63037
2023-10-30,27.50716
2023-10-31,26.64756
2023-11-01,24.06876
2023-11-02,24.64183
2023-11-03,25.78796
2023-11-04,16.33237
2023-11-05,14.61318
2023-11-06,19.1977
2023-11-07,22.6361
2023-11-08,18.3381
2023-11-09,20.9169
2023-11-10,17.76504
2023-11-11,9.45558
2023-11-12,14.89971
2023-11-13,22.34957
2023-11-14,26.07449
2023-11-15,24.06876
2023-11-16,20.34383
2023-11-17,19.48424
2023-11-18,12.89398
2023-11-19,16.04584
2023-11-20,27.79369
2023-11-21,27.79369
2023-11-22,20.63037
2023-11-23,22.06303
2023-11-24,22.06303
2023-11-25,16.61891
2023-11-26,17.47851
2023-11-27,27.22063
2023-11-28,28.65329
2023-11-29,17.47851
2023-11-30,23.20916
2023-12-01,16.33237
2023-12-02,9.45558
2023-12-03,21.48997
2023-12-04,25.50143
2023-12-05,19.77077
2023-12-06,25.78796
2023-12-07,17.47851
2023-12-08,20.0573
2023-12-09,19.1977
2023-12-10,15.75931
2023-12-11,25.50143
2023-12-12,29.79942
2023-12-13,25.50143
2023-12-14,24.3553
2023-12-15,27.79369
2023-12-16,14.04011
2023-12-17,20.63037
2023-12-18,25.21489
2023-12-19,32.66475
2023-12-20,23.78223
2023-12-21,24.92836
2023-12-22,26.64756
2023-12-23,21.20343
2023-12-24,16.90544
2023-12-25,18.05157
2023-12-26,30.94555
2023-12-27,39.82808
2023-12-28,44.69914
2023-12-29,32.66475
2023-12-30,18.62464
2023-12-31,24.92836
2024-01-01,26.07449
2024-01-02,35.81661
2024-01-03,32.95128
2024-01-04,28.93982
2024-01-05,30.94555
2024-01-06,22.6361
2024-01-07,25.21489
2024-01-08,36.38968
2024-01-09,31.23209
2024-01-10,31.51862
2024-01-11,33.81088
2024-01-12,29.51289
2024-01-13,23.4957
2024-01-14,19.77077
2024-01-15,27.50716
2024-01-16,30.08595
2024-01-17,31.80515
2024-01-18,24.3553
2024-01-19,26.36103
2024-01-20,16.90544
2024-01-21,20.0573
2024-01-22,28.93982
2024-01-23,30.08595
2024-01-24,22.6361
2024-01-25,27.50716
2024-01-26,30.65902
2024-01-27,16.04584
2024-01-28,20.9169
2024-01-29,32.95128
2024-01-30,36.38968
2024-01-31,28.08022
2024-02-01,27.79369
2024-02-02,28.65329
2024-02-03,21.20343
2024-02-04,23.20916
2024-02-05,25.78796
2024-02-06,24.3553
2024-02-07,21.7765
2024-02-08,21.7765
2024-02-09,16.04584
2024-02-10,19.77077
2024-02-11,19.1977
2024-02-12,23.20916
2024-02-13,33.52435
2024-02-14,23.78223
2024-02-15,24.06876
2024-02-16,24.64183
2024-02-17,19.77077
2024-02-18,20.63037
2024-02-19,28.93982
2024-02-20,29.79942
2024-02-21,30.37249
2024-02-22,36.38968
2024-02-23,34.38395
2024-02-24,26.64756
2024-02-25,28.36676
2024-02-26,41.54727
2024-02-27,30.37249
2024-02-28,27.22063
2024-02-29,26.64756
2024-03-01,24.06876
2024-03-02,24.06876
2024-03-03,23.20916
2024-03-04,38.39541
2024-03-05,32.37822
2024-03-06,28.93982
2024-03-07,26.07449
2024-03-08,31.51862
2024-03-09,15.18624
2024-03-10,18.91117
2024-03-11,25.50143
2024-03-12,27.50716
2024-03-13,26.07449
2024-03-14,26.36103
2024-03-15,26.07449
2024-03-16,16.90544
2024-03-17,13.75358
2024-03-18,24.06876
2024-03-19,22.6361
2024-03-20,25.50143
