date,자동차보험할증기준
2021-06-22,54.36893
2021-06-23,55.50161
2021-06-24,51.29449
2021-06-25,44.822
2021-06-26,26.69902
2021-06-27,25.24271
2021-06-28,56.47249
2021-06-29,55.82524
2021-06-30,51.45631
2021-07-01,48.05825
2021-07-02,43.85113
2021-07-03,33.33333
2021-07-04,30.09708
2021-07-05,53.23624
2021-07-06,54.85436
2021-07-07,45.79288
2021-07-08,47.411
2021-07-09,45.30744
2021-07-10,28.31715
2021-07-11,27.99352
2021-07-12,58.57605
2021-07-13,52.42718
2021-07-14,52.42718
2021-07-15,47.411
2021-07-16,46.1165
2021-07-17,35.43689
2021-07-18,26.3754
2021-07-19,68.77022
2021-07-20,60.67961
2021-07-21,49.83818
2021-07-22,57.60517
2021-07-23,47.89644
2021-07-24,33.33333
2021-07-25,24.75728
2021-07-26,52.91262
2021-07-27,50.80906
2021-07-28,46.60194
2021-07-29,43.5275
2021-07-30,36.73139
2021-07-31,22.00647
2021-08-01,24.75728
2021-08-02,48.05825
2021-08-03,41.58576
2021-08-04,38.34951
2021-08-05,37.37864
2021-08-06,40.45307
2021-08-07,24.75728
2021-08-08,17.96116
2021-08-09,51.61812
2021-08-10,55.17799
2021-08-11,44.49838
2021-08-12,43.5275
2021-08-13,40.77669
2021-08-14,28.31715
2021-08-15,24.11003
2021-08-16,29.61165
2021-08-17,48.38187
2021-08-18,46.60194
2021-08-19,40.45307
2021-08-20,41.26213
2021-08-21,22.97734
2021-08-22,20.22653
2021-08-23,43.68932
2021-08-24,45.14563
2021-08-25,42.233
2021-08-26,41.74757
2021-08-27,38.34951
2021-08-28,30.90614
2021-08-29,20.71197
2021-08-30,52.42718
2021-08-31,48.38187
2021-09-01,44.822
2021-09-02,44.01294
2021-09-03,39.4822
2021-09-04,29.77346
2021-09-05,21.52103
2021-09-06,52.91262
2021-09-07,46.1165
2021-09-08,44.822
2021-09-09,41.26213
2021-09-10,46.60194
2021-09-11,25.56634
2021-09-12,20.06472
2021-09-13,51.13268
2021-09-14,48.54368
2021-09-15,45.63106
2021-09-16,47.24919
2021-09-17,43.20388
2021-09-18,26.05177
2021-09-19,22.00647
2021-09-20,25.40453
2021-09-21,24.75728
2021-09-22,32.20064
2021-09-23,70.22653
2021-09-24,57.44336
2021-09-25,36.08414
2021-09-26,26.53721
2021-09-27,55.17799
2021-09-28,53.55987
2021-09-29,50.32362
2021-09-30,50.0
2021-10-01,42.88025
2021-10-02,26.21359
2021-10-03,23.7864
2021-10-04,31.55339
2021-10-05,58.57605
2021-10-06,53.55987
2021-10-07,52.10355
2021-10-08,41.10032
2021-10-09,26.05177
2021-10-10,24.43365
2021-10-11,31.71521
2021-10-12,58.41423
2021-10-13,51.94174
2021-10-14,38.67313
2021-10-15,35.76051
