date,금형제작
2021-04-25,19.52662
2021-04-26,36.68639
2021-04-27,45.56213
2021-04-28,33.13609
2021-04-29,28.1065
2021-04-30,33.72781
2021-05-01,12.72189
2021-05-02,13.3136
2021-05-03,34.31952
2021-05-04,23.37278
2021-05-05,39.94082
2021-05-06,52.66272
2021-05-07,28.99408
2021-05-08,14.20118
2021-05-09,18.63905
2021-05-10,40.53254
2021-05-11,41.42011
2021-05-12,39.05325
2021-05-13,35.79881
2021-05-14,31.06508
2021-05-15,14.79289
2021-05-16,17.45562
2021-05-17,32.84023
2021-05-18,39.05325
2021-05-19,22.78106
2021-05-20,44.37869
2021-05-21,28.40236
2021-05-22,16.56804
2021-05-23,17.45562
2021-05-24,36.98224
2021-05-25,31.06508
2021-05-26,32.84023
2021-05-27,37.86982
2021-05-28,28.40236
2021-05-29,12.72189
2021-05-30,12.42603
2021-05-31,33.43195
2021-06-01,34.91124
2021-06-02,28.99408
2021-06-03,40.53254
2021-06-04,33.13609
2021-06-05,16.56804
2021-06-06,20.71005
2021-06-07,34.91124
2021-06-08,33.43195
2021-06-09,32.84023
2021-06-10,34.91124
2021-06-11,26.92307
2021-06-12,18.34319
2021-06-13,12.42603
2021-06-14,32.24852
2021-06-15,40.53254
2021-06-16,32.54437
2021-06-17,33.13609
2021-06-18,25.44378
2021-06-19,15.97633
2021-06-20,9.76331
2021-06-21,33.13609
2021-06-22,33.72781
2021-06-23,26.0355
2021-06-24,36.98224
2021-06-25,28.69822
2021-06-26,16.8639
2021-06-27,15.97633
2021-06-28,24.55621
2021-06-29,31.36094
2021-06-30,31.6568
2021-07-01,30.17751
2021-07-02,35.79881
2021-07-03,16.8639
2021-07-04,17.75147
2021-07-05,32.84023
2021-07-06,32.84023
2021-07-07,40.8284
2021-07-08,38.16568
2021-07-09,31.6568
2021-07-10,11.2426
2021-07-11,10.05917
2021-07-12,29.28994
2021-07-13,38.16568
2021-07-14,33.13609
2021-07-15,42.01183
2021-07-16,29.88165
2021-07-17,14.20118
2021-07-18,15.08875
2021-07-19,37.2781
2021-07-20,34.61538
2021-07-21,29.28994
2021-07-22,30.76923
2021-07-23,32.54437
2021-07-24,13.90532
2021-07-25,14.20118
2021-07-26,31.36094
2021-07-27,33.72781
2021-07-28,31.36094
2021-07-29,29.88165
2021-07-30,21.30177
2021-07-31,11.53846
2021-08-01,16.27218
2021-08-02,19.82248
2021-08-03,29.28994
2021-08-04,24.26035
2021-08-05,29.58579
2021-08-06,29.88165
2021-08-07,14.20118
2021-08-08,16.8639
2021-08-09,35.2071
2021-08-10,39.05325
2021-08-11,27.21893
2021-08-12,22.4852
2021-08-13,28.1065
2021-08-14,17.15976
2021-08-15,11.2426
2021-08-16,16.8639
2021-08-17,36.39053
2021-08-18,38.75739
2021-08-19,47.04142
2021-08-20,30.47337
2021-08-21,14.49704
2021-08-22,14.79289
2021-08-23,27.51479
2021-08-24,26.92307
2021-08-25,29.28994
2021-08-26,20.71005
2021-08-27,22.18934
2021-08-28,12.42603
2021-08-29,11.53846
2021-08-30,31.06508
2021-08-31,28.1065
2021-09-01,19.52662
2021-09-02,22.18934
2021-09-03,23.66863
2021-09-04,10.05917
2021-09-05,8.87573
2021-09-06,31.06508
2021-09-07,24.85207
2021-09-08,29.58579
2021-09-09,27.51479
2021-09-10,19.52662
2021-09-11,13.3136
2021-09-12,11.53846
2021-09-13,29.58579
2021-09-14,24.85207
2021-09-15,28.40236
2021-09-16,23.37278
2021-09-17,14.20118
2021-09-18,8.87573
2021-09-19,4.43786
2021-09-20,6.80473
2021-09-21,4.43786
2021-09-22,9.76331
2021-09-23,22.78106
2021-09-24,24.55621
2021-09-25,9.46745
2021-09-26,12.72189
2021-09-27,25.44378
2021-09-28,27.21893
2021-09-29,27.21893
2021-09-30,30.47337
2021-10-01,19.82248
2021-10-02,8.57988
2021-10-03,8.57988
2021-10-04,13.01775
2021-10-05,23.07692
2021-10-06,27.21893
2021-10-07,30.76923
2021-10-08,24.85207
2021-10-09,8.87573
2021-10-10,9.76331
2021-10-11,17.15976
2021-10-12,34.31952
2021-10-13,27.51479
2021-10-14,30.47337
2021-10-15,35.50295
2021-10-16,10.05917
2021-10-17,14.20118
2021-10-18,31.6568
2021-10-19,32.84023
2021-10-20,32.84023
2021-10-21,26.92307
2021-10-22,27.81065
2021-10-23,13.3136
2021-10-24,11.53846
2021-10-25,25.73964
2021-10-26,37.57396
2021-10-27,38.75739
2021-10-28,40.8284
2021-10-29,27.51479
2021-10-30,13.90532
2021-10-31,15.38461
2021-11-01,28.69822
2021-11-02,28.69822
2021-11-03,31.36094
2021-11-04,29.88165
2021-11-05,30.17751
2021-11-06,15.08875
2021-11-07,24.55621
2021-11-08,33.72781
2021-11-09,34.91124
2021-11-10,31.36094
2021-11-11,34.91124
2021-11-12,29.28994
2021-11-13,10.35502
2021-11-14,16.27218
2021-11-15,29.58579
2021-11-16,36.68639
2021-11-17,28.69822
2021-11-18,34.31952
2021-11-19,36.09467
2021-11-20,9.76331
2021-11-21,19.23076
2021-11-22,39.34911
2021-11-23,39.34911
2021-11-24,39.34911
2021-11-25,28.69822
2021-11-26,23.66863
2021-11-27,14.20118
2021-11-28,15.97633
2021-11-29,38.75739
2021-11-30,34.61538
2021-12-01,34.31952
2021-12-02,28.1065
2021-12-03,30.47337
2021-12-04,13.60946
2021-12-05,8.57988
2021-12-06,31.95266
2021-12-07,32.24852
2021-12-08,33.72781
2021-12-09,43.49112
2021-12-10,33.43195
2021-12-11,15.38461
2021-12-12,16.56804
2021-12-13,35.50295
2021-12-14,33.72781
2021-12-15,39.05325
2021-12-16,31.36094
2021-12-17,29.58579
2021-12-18,10.05917
