date,사업자등록증
2021-07-01,32.59028
2021-07-02,31.38653
2021-07-03,9.40704
2021-07-04,9.94204
2021-07-05,38.8765
2021-07-06,35.04235
2021-07-07,33.57111
2021-07-08,33.48194
2021-07-09,27.59696
2021-07-10,8.15871
2021-07-11,10.34329
2021-07-12,41.90815
2021-07-13,38.74275
2021-07-14,34.3736
2021-07-15,33.52652
2021-07-16,28.97904
2021-07-17,9.80829
2021-07-18,9.00579
2021-07-19,37.49442
2021-07-20,36.82567
2021-07-21,32.81319
2021-07-22,34.59652
2021-07-23,31.87695
2021-07-24,10.16495
2021-07-25,11.05662
2021-07-26,35.13152
2021-07-27,38.02942
2021-07-28,33.66027
2021-07-29,35.7111
2021-07-30,26.79447
2021-07-31,9.7637
2021-08-01,13.28577
2021-08-02,39.32233
2021-08-03,37.89567
2021-08-04,34.99777
2021-08-05,35.39901
2021-08-06,29.42487
2021-08-07,9.94204
2021-08-08,10.07579
2021-08-09,41.7744
2021-08-10,42.5769
2021-08-11,36.20151
2021-08-12,32.76861
2021-08-13,29.55862
2021-08-14,10.43245
2021-08-15,10.61078
2021-08-16,15.64868
2021-08-17,44.85064
2021-08-18,41.41774
2021-08-19,39.50066
2021-08-20,29.33571
2021-08-21,9.58537
2021-08-22,11.81453
2021-08-23,40.57066
2021-08-24,40.03566
2021-08-25,40.34774
2021-08-26,38.25234
2021-08-27,31.4757
2021-08-28,9.98662
2021-08-29,10.61078
2021-08-30,48.95229
2021-08-31,42.44315
2021-09-01,37.98484
2021-09-02,35.26526
2021-09-03,34.81943
2021-09-04,9.18412
2021-09-05,13.15202
2021-09-06,40.03566
2021-09-07,38.16317
2021-09-08,37.04859
2021-09-09,33.92777
2021-09-10,30.53945
2021-09-11,11.19037
2021-09-12,11.59161
2021-09-13,39.81275
2021-09-14,36.15693
2021-09-15,32.27819
2021-09-16,31.7432
2021-09-17,25.18947
2021-09-18,8.29246
2021-09-19,6.37539
2021-09-20,6.46455
2021-09-21,6.10789
2021-09-22,9.71912
2021-09-23,37.31609
2021-09-24,32.99152
2021-09-25,10.92287
2021-09-26,10.43245
2021-09-27,43.3794
2021-09-28,42.17565
2021-09-29,38.3415
2021-09-30,47.74855
2021-10-01,36.82567
2021-10-02,9.71912
2021-10-03,10.16495
2021-10-04,14.84618
2021-10-05,49.17521
2021-10-06,42.3094
2021-10-07,41.95274
2021-10-08,33.74944
2021-10-09,10.38787
2021-10-10,9.18412
2021-10-11,15.78243
2021-10-12,47.3473
2021-10-13,41.19482
2021-10-14,39.50066
2021-10-15,32.05528
2021-10-16,9.45162
2021-10-17,10.47703
2021-10-18,42.13107
2021-10-19,40.74899
2021-10-20,37.09317
2021-10-21,35.88943
2021-10-22,32.01069
2021-10-23,10.92287
2021-10-24,11.3687
2021-10-25,41.23941
2021-10-26,39.81275
2021-10-27,40.21399
2021-10-28,37.67275
2021-10-29,35.35443
2021-10-30,10.38787
2021-10-31,11.72536
2021-11-01,44.44939
2021-11-02,46.23272
2021-11-03,40.83816
2021-11-04,40.97191
2021-11-05,31.56486
2021-11-06,9.54079
2021-11-07,11.27953
2021-11-08,40.43691
2021-11-09,40.03566
2021-11-10,41.68524
2021-11-11,36.37984
2021-11-12,31.02987
2021-11-13,9.67454
2021-11-14,9.89745
2021-11-15,42.08649
2021-11-16,39.09942
2021-11-17,40.88274
2021-11-18,37.67275
2021-11-19,31.83236
2021-11-20,10.2987
2021-11-21,9.36246
2021-11-22,42.39857
2021-11-23,37.53901
2021-11-24,39.81275
2021-11-25,39.72358
2021-11-26,33.92777
2021-11-27,10.47703
2021-11-28,11.23495
2021-11-29,42.08649
2021-11-30,41.37316
2021-12-01,37.67275
2021-12-02,35.9786
2021-12-03,33.79402
2021-12-04,10.20954
2021-12-05,12.52786
2021-12-06,40.97191
2021-12-07,42.35399
2021-12-08,37.36067
2021-12-09,38.78733
2021-12-10,31.56486
2021-12-11,10.96745
2021-12-12,11.54703
2021-12-13,46.72313
2021-12-14,41.50691
2021-12-15,40.57066
2021-12-16,38.83192
2021-12-17,33.25902
2021-12-18,10.47703
2021-12-19,11.45786
2021-12-20,42.79982
2021-12-21,42.62148
2021-12-22,38.02942
2021-12-23,35.62193
2021-12-24,23.89656
2021-12-25,8.51538
2021-12-26,10.92287
2021-12-27,40.57066
2021-12-28,37.62817
2021-12-29,34.59652
2021-12-30,31.69861
2021-12-31,25.32322
2022-01-01,10.5662
2022-01-02,12.43869
2022-01-03,52.07311
2022-01-04,50.11145
2022-01-05,45.56397
2022-01-06,49.9777
2022-01-07,40.52608
2022-01-08,14.44493
2022-01-09,14.57868
2022-01-10,55.37226
2022-01-11,49.75479
2022-01-12,50.11145
2022-01-13,44.27106
2022-01-14,39.72358
2022-01-15,12.48328
2022-01-16,13.95452
2022-01-17,57.37851
2022-01-18,52.51894
2022-01-19,46.14355
2022-01-20,47.39188
2022-01-21,42.3094
2022-01-22,14.22202
2022-01-23,15.69326
2022-01-24,56.44226
2022-01-25,44.27106
2022-01-26,44.85064
2022-01-27,43.82523
2022-01-28,32.90236
2022-01-29,9.89745
2022-01-30,7.1333
2022-01-31,8.60454
2022-02-01,9.62995
2022-02-02,11.85911
2022-02-03,46.45563
2022-02-04,44.13731
2022-02-05,14.44493
2022-02-06,15.38118
2022-02-07,63.84306
2022-02-08,60.90057
2022-02-09,56.97726
2022-02-10,64.15514
2022-02-11,48.50646
2022-02-12,16.85242
2022-02-13,14.31119
2022-02-14,57.02184
2022-02-15,50.2452
2022-02-16,47.65938
2022-02-17,45.34106
2022-02-18,41.95274
2022-02-19,14.66785
2022-02-20,15.47035
2022-02-21,54.56977
2022-02-22,47.6148
2022-02-23,67.7218
2022-02-24,64.42264
2022-02-25,55.2831
2022-02-26,14.71243
2022-02-27,14.84618
2022-02-28,71.77886
2022-03-01,30.71778
2022-03-02,63.66473
2022-03-03,56.35309
2022-03-04,51.09228
2022-03-05,13.68702
2022-03-06,16.45118
2022-03-07,54.25769
2022-03-08,48.50646
2022-03-09,18.502
2022-03-10,52.78644
2022-03-11,46.50022
2022-03-12,15.3366
2022-03-13,17.61034
2022-03-14,62.28265
2022-03-15,57.73517
2022-03-16,49.53187
2022-03-17,47.52563
2022-03-18,46.5448
2022-03-19,15.3366
2022-03-20,14.13285
2022-03-21,49.08604
2022-03-22,51.5827
2022-03-23,46.32189
2022-03-24,44.31564
2022-03-25,37.27151
2022-03-26,12.79536
2022-03-27,15.82701
2022-03-28,49.30896
2022-03-29,48.95229
2022-03-30,47.16897
2022-03-31,44.98439
2022-04-01,38.51983
2022-04-02,12.88452
2022-04-03,13.37494
2022-04-04,48.46188
2022-04-05,46.76772
2022-04-06,46.90147
2022-04-07,42.22024
2022-04-08,38.47525
2022-04-09,13.50869
2022-04-10,13.77619
2022-04-11,50.73562
2022-04-12,46.58938
2022-04-13,44.31564
2022-04-14,45.47481
2022-04-15,36.46901
2022-04-16,12.34953
2022-04-17,13.15202
2022-04-18,54.88185
2022-04-19,44.04814
2022-04-20,45.25189
2022-04-21,40.79358
2022-04-22,35.13152
2022-04-23,11.81453
2022-04-24,13.41952
2022-04-25,47.79313
2022-04-26,45.69772
2022-04-27,45.38564
2022-04-28,41.50691
2022-04-29,37.36067
2022-04-30,11.6362
2022-05-01,13.82077
2022-05-02,50.91395
2022-05-03,45.78689
2022-05-04,39.9465
2022-05-05,14.71243
2022-05-06,36.37984
2022-05-07,11.32411
2022-05-08,12.12661
2022-05-09,54.65893
2022-05-10,50.55728
2022-05-11,53.63352
2022-05-12,47.97146
2022-05-13,41.37316
2022-05-14,12.48328
2022-05-15,13.95452
2022-05-16,54.25769
2022-05-17,48.06063
2022-05-18,44.22648
2022-05-19,47.97146
2022-05-20,39.58983
2022-05-21,10.16495
2022-05-22,12.43869
2022-05-23,53.14311
2022-05-24,51.80561
2022-05-25,45.34106
2022-05-26,45.07356
2022-05-27,37.40526
2022-05-28,10.16495
2022-05-29,13.77619
2022-05-30,76.50468
2022-05-31,61.97057
2022-06-01,20.06241
2022-06-02,49.53187
2022-06-03,42.0419
2022-06-04,12.75078
2022-06-05,12.39411
2022-06-06,18.81408
2022-06-07,51.00312
2022-06-08,50.7802
2022-06-09,49.30896
2022-06-10,39.23316
2022-06-11,14.31119
2022-06-12,14.31119
2022-06-13,100.0
2022-06-14,66.6518
2022-06-15,60.14266
2022-06-16,54.7481
2022-06-17,47.12438
2022-06-18,12.83994
2022-06-19,13.46411
2022-06-20,52.78644
2022-06-21,47.0798
2022-06-22,49.75479
2022-06-23,46.67855
2022-06-24,36.33526
2022-06-25,11.6362
2022-06-26,13.24119
2022-06-27,45.02897
2022-06-28,48.64021
2022-06-29,48.10521
2022-06-30,41.81899
2022-07-01,40.74899
2022-07-02,11.81453
2022-07-03,13.01827
2022-07-04,48.23896
2022-07-05,53.58894
2022-07-06,46.36647
2022-07-07,51.18145
2022-07-08,40.65983
2022-07-09,13.15202
2022-07-10,14.66785
2022-07-11,52.74186
2022-07-12,50.60187
2022-07-13,45.69772
2022-07-14,47.12438
2022-07-15,36.55818
2022-07-16,12.17119
2022-07-17,13.50869
2022-07-18,54.4806
2022-07-19,49.7102
2022-07-20,43.02273
2022-07-21,42.44315
2022-07-22,38.29692
2022-07-23,12.57244
2022-07-24,14.17744
2022-07-25,49.88854
2022-07-26,45.34106
2022-07-27,45.92064
2022-07-28,42.71065
2022-07-29,41.72982
2022-07-30,10.8337
2022-07-31,12.43869
2022-08-01,48.10521
