date,코미팜주가
2021-02-13,0.70385
2021-02-14,0.8827
2021-02-15,7.20013
2021-02-16,7.04436
2021-02-17,7.48283
2021-02-18,7.25783
2021-02-19,6.79628
2021-02-20,1.11348
2021-02-21,0.68078
2021-02-22,6.76743
2021-02-23,7.11359
2021-02-24,7.8463
2021-02-25,7.66745
2021-02-26,6.85397
2021-02-27,0.95194
2021-02-28,0.85963
2021-03-01,1.07886
2021-03-02,7.78861
2021-03-03,8.11746
2021-03-04,7.41937
2021-03-05,6.86551
2021-03-06,0.91732
2021-03-07,0.90001
2021-03-08,6.5482
2021-03-09,6.40396
2021-03-10,6.28858
2021-03-11,6.39819
2021-03-12,6.25973
2021-03-13,0.81924
2021-03-14,0.84809
2021-03-15,6.06934
2021-03-16,6.82513
2021-03-17,6.69243
2021-03-18,7.51745
2021-03-19,6.00588
2021-03-20,0.95194
2021-03-21,0.69232
2021-03-22,6.02896
2021-03-23,5.59049
2021-03-24,5.73472
2021-03-25,5.80395
2021-03-26,7.18283
2021-03-27,1.07309
2021-03-28,0.87117
2021-03-29,7.02705
2021-03-30,5.86742
2021-03-31,5.30779
2021-04-01,5.67126
2021-04-02,5.42318
2021-04-03,0.97501
2021-04-04,0.71539
2021-04-05,5.61356
2021-04-06,5.49818
2021-04-07,6.33473
2021-04-08,6.24819
2021-04-09,5.99434
2021-04-10,0.75578
2021-04-11,0.75001
2021-04-12,6.08088
2021-04-13,7.43668
2021-04-14,7.09052
2021-04-15,6.24242
2021-04-16,6.71551
2021-04-17,0.92309
2021-04-18,0.77886
2021-04-19,7.15398
2021-04-20,6.7732
2021-04-21,5.81549
2021-04-22,5.94242
2021-04-23,9.76172
2021-04-24,1.83465
2021-04-25,1.36156
2021-04-26,8.95401
2021-04-27,7.39629
2021-04-28,6.6232
2021-04-29,6.50781
2021-04-30,5.80395
2021-05-01,0.69232
2021-05-02,0.5077
2021-05-03,6.35781
2021-05-04,5.68857
2021-05-05,1.0154
2021-05-06,6.43858
2021-05-07,5.94819
2021-05-08,0.70962
2021-05-09,0.60578
2021-05-10,6.23088
2021-05-11,5.96549
2021-05-12,5.26163
2021-05-13,5.30202
2021-05-14,5.26163
2021-05-15,0.67501
2021-05-16,0.54808
2021-05-17,4.91547
2021-05-18,5.12317
2021-05-19,0.80193
2021-05-20,5.09432
2021-05-21,4.70778
2021-05-22,0.68655
2021-05-23,0.48462
2021-05-24,5.04817
2021-05-25,4.92701
2021-05-26,4.85201
2021-05-27,5.28471
2021-05-28,5.41741
2021-05-29,0.64039
2021-05-30,0.56539
2021-05-31,5.41164
2021-06-01,5.7578
2021-06-02,5.5501
2021-06-03,6.21935
2021-06-04,5.34241
2021-06-05,0.68655
2021-06-06,0.50193
2021-06-07,6.46743
2021-06-08,7.00398
2021-06-09,7.03282
2021-06-10,8.95401
2021-06-11,7.55206
2021-06-12,0.81347
2021-06-13,0.50193
2021-06-14,6.61743
2021-06-15,8.52131
2021-06-16,7.57514
2021-06-17,6.8482
2021-06-18,6.85974
2021-06-19,0.95771
2021-06-20,0.72693
2021-06-21,6.27704
2021-06-22,6.05203
2021-06-23,6.32896
2021-06-24,6.34627
2021-06-25,6.4155
2021-06-26,0.63462
2021-06-27,0.53077
2021-06-28,6.59435
2021-06-29,6.43281
2021-06-30,6.25396
2021-07-01,5.80972
2021-07-02,26.5332
2021-07-03,7.14821
2021-07-04,7.09052
2021-07-05,39.9873
2021-07-06,21.41002
2021-07-07,17.05417
2021-07-08,14.22719
2021-07-09,12.31754
2021-07-10,1.68464
2021-07-11,1.32117
2021-07-12,12.35216
2021-07-13,10.52327
2021-07-14,10.41366
2021-07-15,10.62135
2021-07-16,9.32325
2021-07-17,1.10194
2021-07-18,0.99809
2021-07-19,8.54439
2021-07-20,8.75786
2021-07-21,10.82328
2021-07-22,9.58864
2021-07-23,8.76939
2021-07-24,1.15963
2021-07-25,0.85963
2021-07-26,7.32129
2021-07-27,6.86551
2021-07-28,7.66745
2021-07-29,6.91167
2021-07-30,6.67512
2021-07-31,0.74424
2021-08-01,0.59424
2021-08-02,6.68089
2021-08-03,6.95205
2021-08-04,6.94628
2021-08-05,7.28667
2021-08-06,6.85397
2021-08-07,1.10194
2021-08-08,0.8827
2021-08-09,6.96359
2021-08-10,7.14244
2021-08-11,6.79628
2021-08-12,7.52322
2021-08-13,7.14244
2021-08-14,0.90001
2021-08-15,0.55385
2021-08-16,1.2231
2021-08-17,6.4905
2021-08-18,7.13667
2021-08-19,6.32896
2021-08-20,6.43858
2021-08-21,0.64616
2021-08-22,0.62885
2021-08-23,5.96549
2021-08-24,7.25783
2021-08-25,6.89436
2021-08-26,7.2636
2021-08-27,7.63283
2021-08-28,1.00963
2021-08-29,0.68078
2021-08-30,6.96359
2021-08-31,6.31165
2021-09-01,6.97513
2021-09-02,6.57704
2021-09-03,7.09629
2021-09-04,0.8827
2021-09-05,0.61731
2021-09-06,6.46743
2021-09-07,5.85011
2021-09-08,5.86165
2021-09-09,6.15588
2021-09-10,6.39243
2021-09-11,0.69232
2021-09-12,0.46731
2021-09-13,5.82703
2021-09-14,5.89049
2021-09-15,6.00011
2021-09-16,5.14625
2021-09-17,5.34817
2021-09-18,0.62885
2021-09-19,0.51924
2021-09-20,0.31731
2021-09-21,0.33462
2021-09-22,0.42693
2021-09-23,5.31356
2021-09-24,5.64241
2021-09-25,0.55962
2021-09-26,0.51924
2021-09-27,4.89817
2021-09-28,5.61356
2021-09-29,6.02896
2021-09-30,6.49627
2021-10-01,5.4001
2021-10-02,0.63462
2021-10-03,0.51924
2021-10-04,0.95194
2021-10-05,7.78861
2021-10-06,6.36935
2021-10-07,6.38666
2021-10-08,5.76934
2021-10-09,0.6577
2021-10-10,0.46731
2021-10-11,0.89424
2021-10-12,6.14434
2021-10-13,6.0405
2021-10-14,6.21358
2021-10-15,5.94242
2021-10-16,0.85963
2021-10-17,0.54808
2021-10-18,5.03086
2021-10-19,5.13471
2021-10-20,5.29048
2021-10-21,5.31356
2021-10-22,4.64432
2021-10-23,0.56539
2021-10-24,0.46154
2021-10-25,5.59049
2021-10-26,5.97703
2021-10-27,4.95009
2021-10-28,4.80009
2021-10-29,4.69624
2021-10-30,0.61155
2021-10-31,0.51924
2021-11-01,4.65585
2021-11-02,4.81163
2021-11-03,4.8347
2021-11-04,4.97317
2021-11-05,5.1924
2021-11-06,0.67501
2021-11-07,0.39808
2021-11-08,5.31356
2021-11-09,4.90394
2021-11-10,4.24623
2021-11-11,4.70778
2021-11-12,5.02509
2021-11-13,0.58847
2021-11-14,0.39231
2021-11-15,5.14048
2021-11-16,4.80009
2021-11-17,4.19431
2021-11-18,4.13084
2021-11-19,4.43662
2021-11-20,0.70962
2021-11-21,0.41539
2021-11-22,4.21161
2021-11-23,3.76161
2021-11-24,4.26354
2021-11-25,3.87122
2021-11-26,8.93671
