date,KODEX미국FANG플러스(H)
2023-04-10,6.78381
2023-04-11,6.88598
2023-04-12,6.02778
2023-04-13,5.08786
2023-04-14,6.88598
2023-04-15,0.83776
2023-04-16,0.83776
2023-04-17,5.86432
2023-04-18,5.41479
2023-04-19,5.21046
2023-04-20,4.27053
2023-04-21,3.80057
2023-04-22,0.59256
2023-04-23,0.24519
2023-04-24,3.16714
2023-04-25,3.47364
2023-04-26,4.45443
2023-04-27,4.55659
2023-04-28,5.61912
2023-04-29,1.12382
2023-04-30,0.32693
2023-05-01,1.57335
2023-05-02,4.98569
2023-05-03,3.73927
2023-05-04,4.434
2023-05-05,0.69472
2023-05-06,0.91949
2023-05-07,0.51082
2023-05-08,4.86309
2023-05-09,5.63955
2023-05-10,4.63833
2023-05-11,6.49775
2023-05-12,7.04944
2023-05-13,0.91949
2023-05-14,0.65386
2023-05-15,4.29096
2023-05-16,5.82345
2023-05-17,6.94728
2023-05-18,7.25378
2023-05-19,10.17572
2023-05-20,1.57335
2023-05-21,1.16469
2023-05-22,6.59991
2023-05-23,7.49897
2023-05-24,5.23089
2023-05-25,9.72619
2023-05-26,10.03269
2023-05-27,1.96158
2023-05-28,1.71638
2023-05-29,2.04331
2023-05-30,10.66612
2023-05-31,10.03269
2023-06-01,7.70331
2023-06-02,9.66489
2023-06-03,2.57458
2023-06-04,1.26685
2023-06-05,8.23457
2023-06-06,1.75725
2023-06-07,8.33673
2023-06-08,6.90641
2023-06-09,9.13363
2023-06-10,1.69595
2023-06-11,1.79812
2023-06-12,9.19493
2023-06-13,12.89333
2023-06-14,11.56518
2023-06-15,11.66734
2023-06-16,11.76951
2023-06-17,1.96158
2023-06-18,1.69595
2023-06-19,9.07233
2023-06-20,8.17327
2023-06-21,9.03146
2023-06-22,7.64201
2023-06-23,7.45811
2023-06-24,1.65508
2023-06-25,0.57212
2023-06-26,6.82468
2023-06-27,6.96771
2023-06-28,7.45811
2023-06-29,7.45811
2023-06-30,6.53861
2023-07-01,1.55292
2023-07-02,1.32815
2023-07-03,8.97016
2023-07-04,8.41847
2023-07-05,7.00858
2023-07-06,7.90764
2023-07-07,5.88475
2023-07-08,0.96035
2023-07-09,0.61299
2023-07-10,5.53739
2023-07-11,6.82468
2023-07-12,6.15038
2023-07-13,9.03146
2023-07-14,10.91131
2023-07-15,1.51205
2023-07-16,1.16469
2023-07-17,6.88598
2023-07-18,9.07233
2023-07-19,9.84879
2023-07-20,8.47977
2023-07-21,8.76583
2023-07-22,0.87862
2023-07-23,0.69472
2023-07-24,8.8067
2023-07-25,9.60359
2023-07-26,9.74662
2023-07-27,8.7454
2023-07-28,8.6841
2023-07-29,1.40988
2023-07-30,0.71516
2023-07-31,8.09154
2023-08-01,8.39803
2023-08-02,7.02901
2023-08-03,6.66121
2023-08-04,6.96771
2023-08-05,0.96035
