date,비갱신건강보험
2022-12-01,2.74725
2022-12-02,4.3956
2022-12-05,2.74725
2022-12-07,3.2967
2022-12-08,4.94505
2022-12-10,10.43956
2022-12-12,4.3956
2022-12-14,3.84615
2022-12-15,2.74725
2022-12-16,2.74725
2022-12-19,7.14285
2022-12-20,7.14285
2022-12-21,6.5934
2022-12-24,3.2967
2022-12-25,5.4945
2022-12-27,3.2967
2022-12-29,9.8901
2022-12-31,2.74725
2023-01-01,6.04395
2023-01-02,4.3956
2023-01-03,3.2967
2023-01-04,3.84615
2023-01-06,3.2967
2023-01-08,3.84615
2023-01-09,6.04395
2023-01-10,4.3956
2023-01-11,4.3956
2023-01-12,6.5934
2023-01-13,3.84615
2023-01-14,2.74725
2023-01-15,2.74725
2023-01-16,2.74725
2023-01-18,4.3956
2023-01-19,6.5934
2023-01-23,3.84615
2023-01-25,6.04395
2023-01-27,7.6923
2023-01-28,3.2967
2023-01-30,5.4945
2023-02-02,7.14285
2023-02-03,10.98901
2023-02-05,3.84615
2023-02-06,4.3956
2023-02-07,6.5934
2023-02-08,13.18681
2023-02-09,10.43956
2023-02-10,4.94505
2023-02-11,3.2967
2023-02-12,4.3956
2023-02-13,7.14285
2023-02-14,7.14285
2023-02-15,2.74725
2023-02-16,2.74725
2023-02-17,8.24175
2023-02-18,3.84615
2023-02-19,8.24175
2023-02-20,3.2967
2023-02-21,13.18681
2023-02-22,8.7912
2023-02-23,17.03296
2023-02-24,9.8901
2023-02-27,10.43956
2023-02-28,7.14285
2023-03-01,4.94505
2023-03-02,8.24175
2023-03-03,6.04395
2023-03-04,6.5934
2023-03-06,5.4945
2023-03-07,8.24175
2023-03-08,9.34065
2023-03-09,14.28571
2023-03-10,17.03296
2023-03-11,6.04395
2023-03-12,2.74725
2023-03-13,8.24175
2023-03-14,7.6923
2023-03-15,15.38461
2023-03-16,7.6923
2023-03-17,27.47252
2023-03-18,10.98901
2023-03-19,4.3956
2023-03-20,10.98901
2023-03-21,8.24175
2023-03-22,12.08791
2023-03-23,100.0
2023-03-24,55.4945
2023-03-25,12.63736
2023-03-26,3.2967
2023-03-27,12.08791
2023-03-28,10.43956
2023-03-29,6.5934
2023-03-30,13.73626
2023-03-31,10.98901
2023-04-01,4.94505
2023-04-02,2.74725
2023-04-03,15.38461
2023-04-04,14.28571
2023-04-05,10.98901
2023-04-06,12.08791
2023-04-07,16.48351
2023-04-09,13.18681
2023-04-10,8.7912
2023-04-11,9.8901
2023-04-12,6.5934
2023-04-13,17.03296
2023-04-14,14.28571
2023-04-16,3.84615
2023-04-17,9.8901
2023-04-18,12.63736
2023-04-19,9.34065
2023-04-20,4.3956
2023-04-21,9.34065
2023-04-22,2.74725
2023-04-23,4.94505
2023-04-24,9.34065
2023-04-25,6.5934
2023-04-26,7.6923
2023-04-27,7.14285
2023-04-28,4.3956
2023-04-29,4.3956
2023-04-30,4.3956
2023-05-02,9.34065
2023-05-03,3.84615
2023-05-04,11.53846
2023-05-05,4.94505
2023-05-07,3.2967
2023-05-08,6.04395
2023-05-09,9.8901
2023-05-10,8.24175
2023-05-11,7.14285
2023-05-12,6.04395
2023-05-13,2.74725
2023-05-14,7.6923
2023-05-15,14.83516
2023-05-16,12.08791
2023-05-17,13.18681
2023-05-18,21.42857
2023-05-19,54.3956
2023-05-20,7.6923
2023-05-22,12.08791
2023-05-23,9.34065
2023-05-24,6.5934
2023-05-25,18.13186
2023-05-26,17.03296
2023-05-27,5.4945
2023-05-28,6.5934
2023-05-29,11.53846
2023-05-30,6.5934
2023-05-31,19.23076
2023-06-01,13.18681
2023-06-02,3.84615
2023-06-03,6.04395
2023-06-05,7.14285
2023-06-06,4.3956
2023-06-07,9.34065
2023-06-08,8.24175
2023-06-09,13.18681
2023-06-12,8.7912
2023-06-13,11.53846
2023-06-14,4.94505
2023-06-15,10.98901
2023-06-16,12.63736
2023-06-17,3.84615
2023-06-18,3.84615
2023-06-19,12.63736
2023-06-20,11.53846
2023-06-21,9.8901
2023-06-22,7.6923
2023-06-23,13.18681
2023-06-24,5.4945
2023-06-25,3.2967
2023-06-26,6.5934
2023-06-27,3.84615
2023-06-28,11.53846
2023-06-29,6.5934
2023-06-30,9.8901
2023-07-02,4.94505
2023-07-03,9.8901
2023-07-04,10.98901
2023-07-05,8.24175
2023-07-06,7.14285
2023-07-07,12.63736
2023-07-08,2.74725
2023-07-09,4.3956
2023-07-11,7.6923
2023-07-12,2.74725
2023-07-14,6.5934
2023-07-15,2.74725
2023-07-16,3.84615
2023-07-17,6.5934
2023-07-18,4.94505
2023-07-19,7.14285
2023-07-20,5.4945
2023-07-21,7.6923
2023-07-23,6.04395
2023-07-24,3.84615
2023-07-25,5.4945
2023-07-26,8.24175
2023-07-27,5.4945
2023-07-28,4.3956
2023-07-29,6.5934
2023-07-30,3.2967
2023-07-31,9.8901
2023-08-01,4.3956
2023-08-02,3.2967
2023-08-03,6.5934
2023-08-04,6.5934
2023-08-05,4.3956
2023-08-06,4.3956
2023-08-07,6.5934
2023-08-08,13.18681
2023-08-09,6.04395
2023-08-10,5.4945
2023-08-11,10.43956
2023-08-14,10.98901
2023-08-15,6.04395
2023-08-16,4.94505
2023-08-17,3.84615
2023-08-18,17.58241
2023-08-19,4.3956
2023-08-20,7.6923
2023-08-21,14.83516
2023-08-22,14.28571
2023-08-23,15.93406
2023-08-24,7.6923
2023-08-25,10.43956
2023-08-26,5.4945
2023-08-27,3.2967
2023-08-28,6.04395
2023-08-29,11.53846
2023-08-30,14.83516
2023-08-31,23.62637
2023-09-01,5.4945
2023-09-03,4.3956
2023-09-04,6.04395
2023-09-05,11.53846
2023-09-06,4.94505
2023-09-07,5.4945
2023-09-08,10.98901
2023-09-09,6.04395
2023-09-10,4.94505
2023-09-11,3.2967
2023-09-12,8.7912
2023-09-13,7.14285
2023-09-14,9.34065
2023-09-15,12.63736
2023-09-17,4.94505
2023-09-18,6.04395
2023-09-19,6.04395
2023-09-20,7.6923
2023-09-21,9.8901
2023-09-22,8.24175
2023-09-25,17.03296
2023-09-26,4.3956
2023-09-30,7.14285
2023-10-01,3.84615
2023-10-02,3.2967
2023-10-03,6.5934
2023-10-04,2.74725
2023-10-06,8.24175
2023-10-07,3.84615
2023-10-09,3.2967
2023-10-10,7.14285
2023-10-11,4.3956
2023-10-12,6.04395
2023-10-13,7.14285
2023-10-14,6.04395
