date,증여상속
2021-02-07,46.59498
2021-02-08,54.8387
2021-02-09,42.2939
2021-02-10,43.01075
2021-02-11,37.27598
2021-02-12,41.57706
2021-02-13,63.44086
2021-02-14,66.66666
2021-02-15,94.98207
2021-02-16,75.62724
2021-02-17,76.34408
2021-02-18,100.0
2021-02-19,60.21505
2021-02-20,48.02867
2021-02-21,44.44444
2021-02-22,61.64874
2021-02-23,59.85663
2021-02-24,44.08602
2021-02-25,40.86021
2021-02-26,44.44444
2021-02-27,43.01075
2021-02-28,34.05017
2021-03-01,34.4086
2021-03-02,49.46236
2021-03-03,41.93548
2021-03-04,48.02867
2021-03-05,39.0681
2021-03-06,31.18279
2021-03-07,44.80286
2021-03-08,50.53763
2021-03-09,45.16129
2021-03-10,55.91397
2021-03-11,55.55555
2021-03-12,44.44444
2021-03-13,44.08602
2021-03-14,39.42652
2021-03-15,48.74551
2021-03-16,44.08602
2021-03-17,49.46236
2021-03-18,37.6344
2021-03-19,40.50179
2021-03-20,28.31541
2021-03-21,31.18279
2021-03-22,50.89605
2021-03-23,37.99283
2021-03-24,37.6344
2021-03-25,37.6344
2021-03-26,35.48387
2021-03-27,34.76702
2021-03-28,31.89964
2021-03-29,50.17921
2021-03-30,44.08602
2021-03-31,42.2939
2021-04-01,37.6344
2021-04-02,40.14336
2021-04-03,38.35125
2021-04-04,35.48387
2021-04-05,59.13978
2021-04-06,59.13978
2021-04-07,50.89605
2021-04-08,44.08602
2021-04-09,49.10394
2021-04-10,37.99283
2021-04-11,46.9534
2021-04-12,58.78136
2021-04-13,38.35125
2021-04-14,59.85663
2021-04-15,46.23655
2021-04-16,49.10394
2021-04-17,35.84229
2021-04-18,45.16129
2021-04-19,58.06451
2021-04-20,60.57347
2021-04-21,44.80286
2021-04-22,42.2939
2021-04-23,38.70967
2021-04-24,34.76702
2021-04-25,33.33333
2021-04-26,53.40501
2021-04-27,48.74551
2021-04-28,48.38709
2021-04-29,42.65232
2021-04-30,35.84229
2021-05-01,23.29749
2021-05-02,32.61648
2021-05-03,53.40501
2021-05-04,48.38709
2021-05-05,27.59856
2021-05-06,31.89964
2021-05-07,41.93548
2021-05-08,50.53763
2021-05-09,50.53763
2021-05-10,61.29032
2021-05-11,48.38709
2021-05-12,45.16129
2021-05-13,53.40501
2021-05-14,49.46236
2021-05-15,44.08602
2021-05-16,34.76702
2021-05-17,64.87455
2021-05-18,40.86021
2021-05-19,37.27598
2021-05-20,44.80286
2021-05-21,39.42652
2021-05-22,27.95698
2021-05-23,30.82437
2021-05-24,42.65232
2021-05-25,43.72759
2021-05-26,41.21863
2021-05-27,48.38709
2021-05-28,40.50179
2021-05-29,30.82437
2021-05-30,34.76702
2021-05-31,58.06451
2021-06-01,60.93189
2021-06-02,43.36917
2021-06-03,54.8387
2021-06-04,36.91756
2021-06-05,32.61648
2021-06-06,24.37275
2021-06-07,49.82078
2021-06-08,30.82437
2021-06-09,36.91756
2021-06-10,31.54121
2021-06-11,26.52329
2021-06-12,26.16487
2021-06-13,26.52329
2021-06-14,39.0681
2021-06-15,46.59498
2021-06-16,45.87813
2021-06-17,45.87813
2021-06-18,32.97491
2021-06-19,30.46594
2021-06-20,43.36917
2021-06-21,50.53763
2021-06-22,51.25448
2021-06-23,35.48387
2021-06-24,42.65232
2021-06-25,43.01075
2021-06-26,40.86021
2021-06-27,35.48387
2021-06-28,43.72759
2021-06-29,43.01075
2021-06-30,29.7491
2021-07-01,45.87813
2021-07-02,43.01075
2021-07-03,30.10752
2021-07-04,36.55913
2021-07-05,41.57706
2021-07-06,43.72759
2021-07-07,47.31182
2021-07-08,54.12186
2021-07-09,36.20071
2021-07-10,32.97491
2021-07-11,44.08602
2021-07-12,40.86021
2021-07-13,46.59498
2021-07-14,37.99283
2021-07-15,39.0681
2021-07-16,35.84229
2021-07-17,30.10752
2021-07-18,30.82437
2021-07-19,37.99283
2021-07-20,34.05017
2021-07-21,43.72759
2021-07-22,43.36917
2021-07-23,35.84229
2021-07-24,27.24014
2021-07-25,40.86021
2021-07-26,39.0681
2021-07-27,38.70967
2021-07-28,41.57706
2021-07-29,42.65232
2021-07-30,44.80286
2021-07-31,32.25806
2021-08-01,37.6344
2021-08-02,54.48028
2021-08-03,64.51612
2021-08-04,39.0681
2021-08-05,45.51971
2021-08-06,51.6129
2021-08-07,40.14336
2021-08-08,35.48387
2021-08-09,59.85663
2021-08-10,52.68817
2021-08-11,45.87813
2021-08-12,46.9534
2021-08-13,40.86021
2021-08-14,32.25806
2021-08-15,35.12544
2021-08-16,46.59498
2021-08-17,48.02867
2021-08-18,43.72759
2021-08-19,51.25448
2021-08-20,37.99283
2021-08-21,32.25806
2021-08-22,40.14336
2021-08-23,45.87813
2021-08-24,48.74551
2021-08-25,39.42652
2021-08-26,37.6344
2021-08-27,40.50179
2021-08-28,27.24014
2021-08-29,35.84229
2021-08-30,45.51971
2021-08-31,41.57706
2021-09-01,37.99283
2021-09-02,32.25806
2021-09-03,34.4086
2021-09-04,26.52329
2021-09-05,29.03225
2021-09-06,35.48387
2021-09-07,58.06451
2021-09-08,49.10394
2021-09-09,35.84229
2021-09-10,35.84229
2021-09-11,28.67383
2021-09-12,34.4086
2021-09-13,33.69175
2021-09-14,37.99283
2021-09-15,35.48387
2021-09-16,43.72759
2021-09-17,59.85663
2021-09-18,43.36917
2021-09-19,36.91756
2021-09-20,45.51971
2021-09-21,68.8172
2021-09-22,70.96774
2021-09-23,91.03942
2021-09-24,64.87455
2021-09-25,63.79928
2021-09-26,51.25448
2021-09-27,65.94982
2021-09-28,58.78136
2021-09-29,72.75985
2021-09-30,54.12186
2021-10-01,49.46236
2021-10-02,43.01075
2021-10-03,46.59498
2021-10-04,46.23655
2021-10-05,59.4982
2021-10-06,56.63082
2021-10-07,64.1577
2021-10-08,52.32974
2021-10-09,37.99283
2021-10-10,46.59498
2021-10-11,54.12186
2021-10-12,63.08243
2021-10-13,44.44444
2021-10-14,55.55555
2021-10-15,40.14336
2021-10-16,33.69175
2021-10-17,29.7491
2021-10-18,49.82078
2021-10-19,46.23655
2021-10-20,43.72759
2021-10-21,50.53763
2021-10-22,38.70967
2021-10-23,39.78494
2021-10-24,44.44444
2021-10-25,47.31182
2021-10-26,46.59498
2021-10-27,44.80286
2021-10-28,46.9534
2021-10-29,38.35125
2021-10-30,35.84229
2021-10-31,42.65232
2021-11-01,57.70609
2021-11-02,51.97132
2021-11-03,49.46236
2021-11-04,39.42652
2021-11-05,42.2939
2021-11-06,35.12544
2021-11-07,44.44444
2021-11-08,62.72401
2021-11-09,54.48028
2021-11-10,54.48028
2021-11-11,58.06451
2021-11-12,41.21863
2021-11-13,36.55913
2021-11-14,43.01075
2021-11-15,71.68458
2021-11-16,60.21505
2021-11-17,56.63082
2021-11-18,51.25448
2021-11-19,46.9534
2021-11-20,43.36917
2021-11-21,43.72759
2021-11-22,59.13978
2021-11-23,54.12186
2021-11-24,48.74551
2021-11-25,51.25448
2021-11-26,42.65232
2021-11-27,49.46236
2021-11-28,38.35125
2021-11-29,55.19713
2021-11-30,47.31182
2021-12-01,42.65232
2021-12-02,30.82437
2021-12-03,25.44802
2021-12-04,33.33333
2021-12-05,37.27598
2021-12-06,45.51971
2021-12-07,46.59498
2021-12-08,48.02867
2021-12-09,48.38709
2021-12-10,38.70967
2021-12-11,37.6344
2021-12-12,34.05017
2021-12-13,45.16129
2021-12-14,48.74551
2021-12-15,41.93548
2021-12-16,37.6344
2021-12-17,26.52329
2021-12-18,26.16487
2021-12-19,39.0681
2021-12-20,39.42652
2021-12-21,49.46236
2021-12-22,48.02867
2021-12-23,42.2939
2021-12-24,40.86021
2021-12-25,33.33333
2021-12-26,36.20071
2021-12-27,43.72759
2021-12-28,41.57706
2021-12-29,44.44444
2021-12-30,42.65232
2021-12-31,35.48387
2022-01-01,29.39068
2022-01-02,34.05017
2022-01-03,59.13978
2022-01-04,44.44444
2022-01-05,49.46236
2022-01-06,53.04659
2022-01-07,48.02867
2022-01-08,36.20071
2022-01-09,50.17921
2022-01-10,51.97132
2022-01-11,45.16129
2022-01-12,41.57706
2022-01-13,45.51971
2022-01-14,36.91756
2022-01-15,26.88172
2022-01-16,39.42652
2022-01-17,54.48028
2022-01-18,42.2939
2022-01-19,38.70967
2022-01-20,37.6344
2022-01-21,36.55913
2022-01-22,43.36917
2022-01-23,43.72759
2022-01-24,49.82078
2022-01-25,50.89605
2022-01-26,43.72759
2022-01-27,43.01075
2022-01-28,41.57706
2022-01-29,31.89964
2022-01-30,35.12544
2022-01-31,40.86021
2022-02-01,60.21505
2022-02-02,55.55555
2022-02-03,82.07885
2022-02-04,72.75985
2022-02-05,53.04659
2022-02-06,53.76344
2022-02-07,74.19354
2022-02-08,43.72759
2022-02-09,55.19713
2022-02-10,60.57347
2022-02-11,45.87813
2022-02-12,44.08602
2022-02-13,34.4086
2022-02-14,51.6129
2022-02-15,64.1577
2022-02-16,48.38709
2022-02-17,42.2939
2022-02-18,41.57706
2022-02-19,32.97491
2022-02-20,39.78494
2022-02-21,60.21505
2022-02-22,56.2724
2022-02-23,47.31182
2022-02-24,43.72759
2022-02-25,39.0681
2022-02-26,41.21863
2022-02-27,49.82078
2022-02-28,53.76344
2022-03-01,36.55913
2022-03-02,56.63082
2022-03-03,34.4086
2022-03-04,33.33333
2022-03-05,29.39068
2022-03-06,27.59856
2022-03-07,38.35125
2022-03-08,29.7491
2022-03-09,24.73118
2022-03-10,35.12544
2022-03-11,41.93548
2022-03-12,25.0896
2022-03-13,35.48387
2022-03-14,43.72759
2022-03-15,52.68817
2022-03-16,41.21863
2022-03-17,36.91756
2022-03-18,41.57706
2022-03-19,32.97491
2022-03-20,42.65232
2022-03-21,42.2939
2022-03-22,49.82078
2022-03-23,51.6129
2022-03-24,37.27598
2022-03-25,39.42652
2022-03-26,33.69175
2022-03-27,41.21863
2022-03-28,41.93548
2022-03-29,41.57706
2022-03-30,33.33333
2022-03-31,59.13978
2022-04-01,40.14336
2022-04-02,28.31541
2022-04-03,45.16129
2022-04-04,51.6129
2022-04-05,43.72759
2022-04-06,62.72401
2022-04-07,45.16129
2022-04-08,41.21863
2022-04-09,40.50179
2022-04-10,26.88172
2022-04-11,62.72401
2022-04-12,42.2939
2022-04-13,43.36917
2022-04-14,40.50179
2022-04-15,43.36917
2022-04-16,34.4086
2022-04-17,40.50179
2022-04-18,62.72401
2022-04-19,47.67025
2022-04-20,48.74551
2022-04-21,41.93548
2022-04-22,45.87813
2022-04-23,33.33333
2022-04-24,43.72759
2022-04-25,44.08602
2022-04-26,49.46236
2022-04-27,36.55913
2022-04-28,40.14336
2022-04-29,34.4086
2022-04-30,34.4086
2022-05-01,34.4086
2022-05-02,38.70967
2022-05-03,47.67025
2022-05-04,35.48387
2022-05-05,37.6344
2022-05-06,48.74551
2022-05-07,43.72759
2022-05-08,50.17921
2022-05-09,69.53405
2022-05-10,61.64874
2022-05-11,52.32974
2022-05-12,44.44444
2022-05-13,44.80286
2022-05-14,36.55913
2022-05-15,35.48387
2022-05-16,72.04301
2022-05-17,63.79928
2022-05-18,36.55913
2022-05-19,48.38709
2022-05-20,42.65232
2022-05-21,34.4086
2022-05-22,43.36917
2022-05-23,48.74551
2022-05-24,44.80286
2022-05-25,43.36917
2022-05-26,46.9534
2022-05-27,39.0681
2022-05-28,34.4086
2022-05-29,34.4086
2022-05-30,51.97132
2022-05-31,44.80286
2022-06-01,26.16487
2022-06-02,42.2939
2022-06-03,44.08602
2022-06-04,32.25806
2022-06-05,37.27598
2022-06-06,43.01075
2022-06-07,49.46236
2022-06-08,40.14336
2022-06-09,45.51971
2022-06-10,47.31182
2022-06-11,33.69175
2022-06-12,37.6344
2022-06-13,52.32974
2022-06-14,45.51971
2022-06-15,33.69175
2022-06-16,52.32974
2022-06-17,46.59498
2022-06-18,26.52329
2022-06-19,32.61648
2022-06-20,57.70609
2022-06-21,53.76344
2022-06-22,55.55555
2022-06-23,45.16129
2022-06-24,40.50179
2022-06-25,31.18279
2022-06-26,31.89964
2022-06-27,51.25448
2022-06-28,52.32974
2022-06-29,46.23655
2022-06-30,40.50179
2022-07-01,35.84229
2022-07-02,29.7491
2022-07-03,36.20071
2022-07-04,39.78494
2022-07-05,35.12544
