date,기아주식
2021-02-01,8.89065
2021-02-02,7.6404
2021-02-03,43.93728
2021-02-04,25.60031
2021-02-05,14.90375
2021-02-06,17.48362
2021-02-07,11.19269
2021-02-08,50.72435
2021-02-09,23.89362
2021-02-10,10.73625
2021-02-11,6.46953
2021-02-12,6.31077
2021-02-13,6.33062
2021-02-14,5.1399
2021-02-15,8.63266
2021-02-16,6.52907
2021-02-17,13.15737
2021-02-18,9.20817
2021-02-19,8.41436
2021-02-20,4.16749
2021-02-21,4.58424
2021-02-22,7.8587
2021-02-23,8.83111
2021-02-24,9.06925
2021-02-25,7.26334
2021-02-26,8.8708
2021-02-27,3.41337
2021-02-28,5.37805
2021-03-01,4.26671
2021-03-02,5.27882
2021-03-03,4.58424
2021-03-04,4.14764
2021-03-05,5.63603
2021-03-06,3.21492
2021-03-07,3.076
2021-03-08,6.70768
2021-03-09,7.26334
2021-03-10,6.50922
2021-03-11,5.47727
2021-03-12,4.743
2021-03-13,5.10021
2021-03-14,5.33836
2021-03-15,10.91486
2021-03-16,7.68009
2021-03-17,5.02083
2021-03-18,9.00972
2021-03-19,7.12442
2021-03-20,4.84223
2021-03-21,4.86207
2021-03-22,7.50148
2021-03-23,6.74737
2021-03-24,7.2435
2021-03-25,6.03294
2021-03-26,5.47727
2021-03-27,3.076
2021-03-28,2.81801
2021-03-29,4.94145
2021-03-30,7.32288
2021-03-31,7.6404
2021-04-01,6.33062
2021-04-02,8.83111
2021-04-03,4.5247
2021-04-04,6.11232
2021-04-05,18.51557
2021-04-06,13.97102
2021-04-07,11.66898
2021-04-08,13.23675
2021-04-09,15.16173
2021-04-10,6.1917
2021-04-11,5.83449
2021-04-12,18.33697
2021-04-13,17.42409
2021-04-14,48.56122
2021-04-15,37.90434
2021-04-16,48.40246
2021-04-17,10.79579
2021-04-18,8.95018
2021-04-19,24.82635
2021-04-20,18.53542
2021-04-21,21.03591
2021-04-22,19.40861
2021-04-23,30.24409
2021-04-24,8.05715
2021-04-25,9.06925
2021-04-26,19.86505
2021-04-27,16.39214
2021-04-28,12.52232
2021-04-29,26.61242
2021-04-30,28.69616
2021-05-01,5.59634
2021-05-02,5.33836
2021-05-03,22.40523
2021-05-04,14.44731
2021-05-05,4.62393
2021-05-06,14.46715
2021-05-07,12.12542
2021-05-08,3.83012
2021-05-09,3.37368
2021-05-10,19.0117
2021-05-11,14.28854
2021-05-12,15.63802
2021-05-13,14.0504
2021-05-14,12.44294
2021-05-15,2.97678
2021-05-16,3.17523
2021-05-17,14.01071
2021-05-18,13.11768
2021-05-19,11.54991
2021-05-20,18.8331
2021-05-21,18.35681
2021-05-22,3.98888
2021-05-23,3.33399
2021-05-24,12.83984
2021-05-25,12.36356
2021-05-26,12.02619
2021-05-27,11.96666
2021-05-28,22.82198
2021-05-29,4.50486
2021-05-30,4.08811
2021-05-31,17.44393
2021-06-01,16.51121
2021-06-02,17.92022
2021-06-03,16.43183
2021-06-04,19.07124
2021-06-05,5.02083
2021-06-06,3.45306
2021-06-07,25.34232
2021-06-08,21.07561
2021-06-09,21.09545
2021-06-10,18.71403
2021-06-11,15.57848
2021-06-12,3.83012
2021-06-13,3.21492
2021-06-14,15.85632
2021-06-15,13.47489
2021-06-16,11.45068
2021-06-17,12.76046
2021-06-18,10.95455
2021-06-19,2.81801
2021-06-20,2.54018
2021-06-21,10.67672
2021-06-22,12.04604
2021-06-23,11.47052
2021-06-24,14.36793
2021-06-25,9.7043
