date,삼성증권고객센터
2021-07-17,0.18176
2021-07-19,3.24144
2021-07-20,2.84762
2021-07-21,1.9388
2021-07-22,2.51438
2021-07-23,2.54468
2021-07-25,0.15146
2021-07-26,2.33262
2021-07-27,16.38897
2021-07-28,2.36292
2021-07-29,4.15025
2021-07-30,5.27112
2021-07-31,0.18176
2021-08-01,0.42411
2021-08-02,4.66525
2021-08-03,3.87761
2021-08-04,3.78673
2021-08-05,2.75674
2021-08-06,2.84762
2021-08-07,0.21205
2021-08-08,0.30293
2021-08-09,4.27143
2021-08-10,2.72644
2021-08-11,2.81732
2021-08-12,3.24144
2021-08-13,2.4235
2021-08-15,0.18176
2021-08-16,0.60587
2021-08-17,4.11996
2021-08-18,3.05967
2021-08-19,3.21114
2021-08-20,2.81732
2021-08-21,0.27264
2021-08-22,0.15146
2021-08-23,3.33232
2021-08-24,4.96819
2021-08-25,5.9073
2021-08-26,2.9082
2021-08-27,3.18085
2021-08-28,0.15146
2021-08-29,0.18176
2021-08-30,3.36261
2021-08-31,2.57497
2021-09-01,3.87761
2021-09-02,3.75643
2021-09-03,3.15056
2021-09-04,0.36352
2021-09-05,0.27264
2021-09-06,3.75643
2021-09-07,3.9079
2021-09-08,3.81702
2021-09-09,3.36261
2021-09-10,2.75674
2021-09-11,0.4544
2021-09-12,0.18176
2021-09-13,2.72644
2021-09-14,2.4235
2021-09-15,3.99878
2021-09-16,2.51438
2021-09-17,2.39321
2021-09-20,0.15146
2021-09-22,0.18176
2021-09-23,3.63526
2021-09-24,3.21114
2021-09-27,3.30202
2021-09-28,3.21114
2021-09-29,3.57467
2021-09-30,2.33262
2021-10-01,2.39321
2021-10-02,0.24235
2021-10-03,0.15146
2021-10-05,3.08997
2021-10-06,2.75674
2021-10-07,2.4235
2021-10-08,2.21145
2021-10-09,0.15146
2021-10-10,0.15146
2021-10-12,2.48409
2021-10-13,2.63556
2021-10-14,2.18115
2021-10-15,2.4235
2021-10-16,0.33323
2021-10-17,0.18176
2021-10-18,2.69615
2021-10-19,2.78703
2021-10-20,3.12026
2021-10-21,2.48409
2021-10-22,3.60496
2021-10-23,0.21205
2021-10-24,0.24235
2021-10-25,11.87518
2021-10-26,13.32929
2021-10-27,3.87761
2021-10-28,3.96849
2021-10-29,3.48379
2021-10-30,0.36352
2021-11-01,2.96879
2021-11-02,3.36261
2021-11-03,12.39018
2021-11-04,3.99878
2021-11-05,5.99818
2021-11-06,0.4847
2021-11-08,6.27082
2021-11-09,4.11996
2021-11-10,3.69584
2021-11-11,3.21114
2021-11-12,2.72644
2021-11-13,0.30293
2021-11-14,0.15146
2021-11-15,4.08966
2021-11-16,3.08997
2021-11-17,3.84731
2021-11-18,3.27173
2021-11-19,3.63526
2021-11-20,0.18176
2021-11-21,0.21205
2021-11-22,2.78703
2021-11-23,2.4538
2021-11-24,2.57497
2021-11-25,2.9385
2021-11-26,4.75613
2021-11-27,0.21205
2021-11-28,0.18176
2021-11-29,5.36201
2021-11-30,4.51378
2021-12-01,4.54407
2021-12-02,3.84731
2021-12-03,3.99878
2021-12-06,4.69554
2021-12-07,5.27112
2021-12-08,4.21084
2021-12-09,4.63495
2021-12-10,4.57437
2021-12-11,0.27264
2021-12-12,0.33323
2021-12-13,4.8773
2021-12-14,4.45319
2021-12-15,3.60496
2021-12-16,4.3926
2021-12-17,4.54407
2021-12-18,0.27264
2021-12-20,5.84671
2021-12-21,4.60466
2021-12-22,4.11996
2021-12-23,4.30172
2021-12-24,5.24083
2021-12-25,0.24235
2021-12-26,0.24235
2021-12-27,6.51317
2021-12-28,8.3308
2021-12-29,8.11875
2021-12-30,7.48258
2021-12-31,7.57346
2022-01-02,0.21205
2022-01-03,4.78642
2022-01-04,3.96849
2022-01-05,3.48379
2022-01-06,4.11996
2022-01-07,3.36261
2022-01-09,0.18176
2022-01-10,4.21084
2022-01-11,3.4232
2022-01-12,3.21114
2022-01-13,3.02938
2022-01-14,3.27173
2022-01-15,0.24235
2022-01-17,4.8773
2022-01-18,4.27143
2022-01-19,4.63495
2022-01-20,3.48379
2022-01-21,5.3923
2022-01-22,0.33323
2022-01-24,3.75643
2022-01-25,3.63526
2022-01-26,3.87761
2022-01-27,4.8773
2022-01-28,4.72584
2022-02-01,0.18176
2022-02-03,6.24053
2022-02-04,3.99878
2022-02-05,0.15146
2022-02-06,0.42411
2022-02-07,3.99878
2022-02-08,4.27143
2022-02-09,3.39291
2022-02-10,3.87761
2022-02-11,3.30202
2022-02-14,3.66555
2022-02-15,2.84762
2022-02-16,2.9082
2022-02-17,3.57467
2022-02-18,3.36261
2022-02-19,0.21205
2022-02-20,0.18176
2022-02-21,4.36231
2022-02-22,3.87761
2022-02-23,3.51408
2022-02-24,4.11996
2022-02-25,4.4229
2022-02-26,0.63617
2022-02-28,4.99848
2022-03-01,0.36352
2022-03-02,4.51378
2022-03-03,3.45349
2022-03-04,3.27173
2022-03-05,0.15146
2022-03-07,4.02908
2022-03-08,3.54438
2022-03-09,0.21205
2022-03-10,3.75643
2022-03-11,3.57467
2022-03-12,0.15146
2022-03-13,0.18176
2022-03-14,3.60496
2022-03-15,3.30202
2022-03-16,3.4232
2022-03-17,3.45349
2022-03-18,3.9079
2022-03-19,0.33323
2022-03-20,0.33323
2022-03-21,5.02877
2022-03-22,3.39291
2022-03-23,4.18055
2022-03-24,3.08997
2022-03-25,3.81702
2022-03-26,0.30293
2022-03-27,0.27264
2022-03-28,4.75613
2022-03-29,4.3926
2022-03-30,3.4232
2022-03-31,3.27173
2022-04-01,3.27173
2022-04-02,0.21205
2022-04-04,4.11996
2022-04-05,3.12026
2022-04-06,3.63526
2022-04-07,4.30172
2022-04-08,3.54438
2022-04-11,3.66555
2022-04-12,3.08997
2022-04-13,3.84731
2022-04-14,4.05937
2022-04-15,3.57467
2022-04-16,0.33323
