date,피상속인
2021-09-28,42.461
2021-09-29,45.40727
2021-09-30,51.12651
2021-10-01,37.08838
2021-10-02,18.37088
2021-10-03,24.09012
2021-10-04,29.80935
2021-10-05,40.38128
2021-10-06,43.15424
2021-10-07,46.96707
2021-10-08,40.55459
2021-10-09,22.1837
2021-10-10,24.26343
2021-10-11,30.50259
2021-10-12,43.67417
2021-10-13,47.66031
2021-10-14,52.33968
2021-10-15,37.435
2021-10-16,25.12998
2021-10-17,31.88908
2021-10-18,40.7279
2021-10-19,42.461
2021-10-20,41.24783
2021-10-21,41.07452
2021-10-22,40.03466
2021-10-23,29.80935
2021-10-24,33.62218
2021-10-25,42.98093
2021-10-26,41.76776
2021-10-27,44.36741
2021-10-28,46.79376
2021-10-29,36.74176
2021-10-30,15.25129
2021-10-31,14.90467
2021-11-01,31.71577
2021-11-02,32.75563
2021-11-03,34.48873
2021-11-04,35.52859
2021-11-05,32.58232
2021-11-06,13.86481
2021-11-07,18.37088
2021-11-08,34.14211
2021-11-09,39.34142
2021-11-10,41.42114
2021-11-11,32.40901
2021-11-12,24.61005
2021-11-13,21.66377
2021-11-14,16.9844
2021-11-15,36.91507
2021-11-16,30.84922
2021-11-17,34.31542
2021-11-18,30.84922
2021-11-19,28.24956
2021-11-20,14.21143
2021-11-21,16.29116
2021-11-22,33.62218
2021-11-23,33.44887
2021-11-24,35.52859
2021-11-25,32.75563
2021-11-26,34.83535
2021-11-27,18.89081
2021-11-28,14.38474
2021-11-29,31.71577
2021-11-30,37.435
2021-12-01,36.91507
2021-12-02,33.9688
2021-12-03,31.36915
2021-12-04,18.37088
2021-12-05,16.29116
2021-12-06,39.51473
2021-12-07,37.78162
2021-12-08,36.74176
2021-12-09,41.42114
2021-12-10,33.27556
2021-12-11,19.06412
2021-12-12,20.27729
2021-12-13,37.26169
2021-12-14,36.39514
2021-12-15,32.75563
2021-12-16,37.78162
2021-12-17,27.90294
2021-12-18,16.29116
2021-12-19,13.6915
2021-12-20,32.2357
2021-12-21,29.63604
2021-12-22,29.63604
2021-12-23,26.16984
2021-12-24,20.62391
2021-12-25,7.97227
2021-12-26,8.66551
2021-12-27,27.38301
2021-12-28,28.24956
2021-12-29,31.19584
2021-12-30,27.55632
2021-12-31,22.53032
2022-01-01,10.91854
2022-01-02,18.37088
2022-01-03,33.9688
2022-01-04,32.58232
2022-01-05,33.9688
2022-01-06,34.66204
2022-01-07,25.64991
2022-01-08,14.73136
2022-01-09,17.50433
2022-01-10,29.98266
2022-01-11,29.80935
2022-01-12,29.11611
2022-01-13,31.19584
2022-01-14,29.28942
2022-01-15,15.42461
2022-01-16,16.29116
2022-01-17,31.36915
2022-01-18,31.88908
2022-01-19,30.50259
2022-01-20,29.46273
2022-01-21,29.11611
2022-01-22,15.07798
2022-01-23,17.50433
2022-01-24,35.52859
2022-01-25,26.51646
2022-01-26,30.15597
2022-01-27,26.86308
2022-01-28,20.97053
2022-01-29,10.57192
2022-01-30,10.57192
2022-01-31,17.33102
2022-02-01,16.11785
2022-02-02,16.11785
2022-02-03,34.83535
2022-02-04,37.78162
2022-02-05,17.85095
2022-02-06,19.41074
2022-02-07,38.12824
2022-02-08,39.86135
2022-02-09,37.26169
2022-02-10,36.04852
2022-02-11,30.50259
2022-02-12,18.19757
2022-02-13,18.7175
2022-02-14,34.83535
2022-02-15,33.62218
2022-02-16,31.54246
2022-02-17,32.40901
2022-02-18,34.48873
2022-02-19,15.59792
2022-02-20,16.63778
2022-02-21,39.16811
2022-02-22,31.19584
2022-02-23,33.62218
2022-02-24,28.42287
2022-02-25,26.51646
2022-02-26,17.67764
2022-02-27,13.86481
2022-02-28,30.6759
2022-03-01,16.46447
2022-03-02,27.90294
2022-03-03,29.46273
2022-03-04,27.2097
2022-03-05,17.50433
2022-03-06,16.11785
2022-03-07,35.35528
2022-03-08,30.84922
2022-03-09,15.94454
2022-03-10,27.72963
2022-03-11,26.86308
2022-03-12,16.9844
2022-03-13,18.89081
2022-03-14,38.30155
2022-03-15,40.90121
2022-03-16,37.60831
2022-03-17,34.66204
2022-03-18,30.6759
2022-03-19,20.4506
2022-03-20,16.29116
2022-03-21,33.27556
2022-03-22,32.75563
2022-03-23,38.9948
2022-03-24,31.71577
2022-03-25,28.24956
2022-03-26,17.85095
2022-03-27,15.07798
2022-03-28,34.83535
2022-03-29,35.7019
2022-03-30,29.98266
2022-03-31,35.87521
