date,직장인투잡
2022-04-13,52.35772
2022-04-14,54.14634
2022-04-15,43.57723
2022-04-16,35.12195
2022-04-17,40.0
2022-04-18,62.60162
2022-04-19,61.78861
2022-04-20,50.0813
2022-04-21,52.35772
2022-04-22,44.22764
2022-04-23,31.70731
2022-04-24,42.11382
2022-04-25,68.29268
2022-04-26,70.5691
2022-04-27,57.56097
2022-04-28,52.03252
2022-04-29,41.78861
2022-04-30,28.78048
2022-05-01,44.71544
2022-05-02,54.14634
2022-05-03,52.68292
2022-05-04,42.27642
2022-05-05,30.0813
2022-05-06,42.11382
2022-05-07,33.98373
2022-05-08,44.87804
2022-05-09,71.05691
2022-05-10,63.41463
2022-05-11,59.34959
2022-05-12,59.83739
2022-05-13,51.05691
2022-05-14,33.00813
2022-05-15,46.82926
2022-05-16,69.59349
2022-05-17,60.1626
2022-05-18,59.02439
2022-05-19,50.8943
2022-05-20,41.30081
2022-05-21,32.84552
2022-05-22,44.22764
2022-05-23,65.04065
2022-05-24,69.91869
2022-05-25,58.53658
2022-05-26,52.52032
2022-05-27,43.73983
2022-05-28,31.05691
2022-05-29,45.52845
2022-05-30,62.60162
2022-05-31,53.65853
2022-06-01,47.31707
2022-06-02,53.00813
2022-06-03,42.43902
2022-06-04,28.61788
2022-06-05,39.18699
2022-06-06,57.23577
2022-06-07,64.71544
2022-06-08,63.25203
2022-06-09,58.04878
2022-06-10,50.5691
2022-06-11,29.26829
2022-06-12,52.19512
2022-06-13,79.83739
2022-06-14,65.04065
2022-06-15,55.77235
2022-06-16,59.02439
2022-06-17,42.76422
2022-06-18,29.26829
2022-06-19,43.73983
2022-06-20,69.91869
2022-06-21,70.5691
2022-06-22,61.78861
2022-06-23,52.19512
2022-06-24,40.3252
2022-06-25,31.70731
2022-06-26,37.88617
2022-06-27,72.03252
2022-06-28,74.63414
2022-06-29,60.4878
2022-06-30,52.52032
2022-07-01,46.34146
2022-07-02,25.85365
2022-07-03,43.90243
2022-07-04,65.04065
2022-07-05,64.22764
2022-07-06,54.63414
2022-07-07,46.66666
2022-07-08,41.30081
2022-07-09,28.29268
2022-07-10,40.6504
2022-07-11,62.92682
2022-07-12,57.39837
2022-07-13,58.21138
2022-07-14,52.84552
2022-07-15,45.85365
2022-07-16,34.30894
2022-07-17,46.17886
2022-07-18,54.14634
2022-07-19,61.30081
2022-07-20,56.26016
2022-07-21,42.43902
2022-07-22,44.55284
2022-07-23,26.66666
2022-07-24,38.04878
2022-07-25,66.34146
2022-07-26,56.91056
2022-07-27,46.50406
2022-07-28,45.69105
2022-07-29,38.04878
2022-07-30,29.10569
2022-07-31,36.91056
2022-08-01,53.33333
2022-08-02,58.53658
2022-08-03,50.5691
2022-08-04,50.7317
2022-08-05,38.04878
2022-08-06,32.19512
2022-08-07,38.21138
2022-08-08,58.69918
2022-08-09,49.75609
2022-08-10,53.82113
2022-08-11,50.2439
2022-08-12,39.51219
2022-08-13,27.96747
2022-08-14,29.26829
2022-08-15,37.39837
2022-08-16,66.50406
2022-08-17,68.29268
2022-08-18,55.44715
2022-08-19,47.15447
2022-08-20,29.75609
2022-08-21,46.50406
2022-08-22,65.20325
2022-08-23,62.92682
2022-08-24,53.82113
2022-08-25,56.91056
2022-08-26,40.1626
2022-08-27,30.5691
2022-08-28,35.60975
2022-08-29,68.45528
2022-08-30,61.46341
2022-08-31,59.67479
2022-09-01,59.18699
2022-09-02,44.06504
2022-09-03,28.94308
2022-09-04,38.37398
2022-09-05,51.21951
2022-09-06,45.85365
2022-09-07,42.11382
2022-09-08,34.47154
2022-09-09,20.4878
2022-09-10,25.20325
2022-09-11,29.43089
2022-09-12,45.36585
2022-09-13,70.4065
2022-09-14,67.47967
2022-09-15,56.26016
2022-09-16,46.66666
2022-09-17,29.75609
2022-09-18,40.4878
2022-09-19,59.02439
2022-09-20,64.55284
2022-09-21,58.69918
2022-09-22,50.5691
2022-09-23,39.51219
2022-09-24,24.55284
2022-09-25,42.27642
2022-09-26,73.33333
2022-09-27,62.27642
2022-09-28,62.76422
2022-09-29,50.5691
2022-09-30,43.08943
2022-10-01,26.01626
2022-10-02,31.21951
2022-10-03,59.34959
2022-10-04,80.0
2022-10-05,66.50406
2022-10-06,52.52032
2022-10-07,42.60162
2022-10-08,30.4065
2022-10-09,36.42276
2022-10-10,48.94308
