date,울산다운지구우미린
2024-01-20,40.23732
2024-01-21,39.59007
2024-01-22,38.29557
2024-01-23,39.26645
2024-01-24,36.4617
2024-01-25,26.64509
2024-01-26,37.00107
2024-01-27,34.84358
2024-01-28,19.7411
2024-01-29,29.98921
2024-01-30,29.77346
2024-01-31,22.97734
2024-02-01,20.38834
2024-02-02,21.35922
2024-02-03,15.10248
2024-02-04,16.18122
2024-02-05,24.91909
2024-02-06,23.84034
2024-02-07,22.11434
2024-02-08,19.3096
2024-02-09,20.49622
2024-02-10,14.34735
2024-02-11,22.54584
2024-02-12,20.71197
2024-02-13,22.65372
2024-02-14,22.65372
2024-02-15,22.65372
2024-02-16,19.7411
2024-02-17,24.48759
2024-02-18,21.35922
2024-02-19,22.22222
2024-02-20,23.30097
2024-02-21,28.69471
2024-02-22,24.70334
2024-02-23,20.28047
2024-02-24,23.08522
2024-02-25,26.10571
2024-02-26,22.43797
2024-02-27,23.08522
2024-02-28,21.68284
2024-02-29,26.64509
2024-03-01,33.0097
2024-03-02,25.02696
2024-03-03,21.57497
2024-03-04,21.35922
2024-03-05,17.47572
2024-03-06,17.04422
2024-03-07,14.34735
2024-03-08,17.90722
2024-03-09,10.67961
2024-03-10,13.16073
2024-03-11,11.43473
2024-03-12,11.00323
2024-03-13,9.70873
2024-03-14,11.75836
2024-03-15,11.43473
2024-03-16,11.65048
2024-03-17,12.29773
2024-03-18,12.29773
2024-03-19,13.16073
2024-03-20,14.1316
