date,코스피200
2023-03-04,2.05669
2023-03-05,1.36291
2023-03-06,12.77735
2023-03-07,13.27408
2023-03-08,11.71001
2023-03-09,11.983
2023-03-10,11.33438
2023-03-11,1.83296
2023-03-12,1.46554
2023-03-13,14.25111
2023-03-14,14.29832
2023-03-15,13.51012
2023-03-16,12.90461
2023-03-17,12.91487
2023-03-18,1.89043
2023-03-19,1.3547
2023-03-20,12.45099
2023-03-21,12.84098
2023-03-22,13.19403
2023-03-23,15.41082
2023-03-24,12.73835
2023-03-25,2.06079
2023-03-26,1.47581
2023-03-27,12.26626
2023-03-28,12.40994
2023-03-29,12.9785
2023-03-30,14.07253
2023-03-31,13.63533
2023-04-01,2.36663
2023-04-02,1.45117
2023-04-03,14.03148
2023-04-04,13.58197
2023-04-05,13.59223
2023-04-06,13.50191
2023-04-07,14.26753
2023-04-08,1.84938
2023-04-09,1.55996
2023-04-10,15.22609
2023-04-11,17.32383
2023-04-12,16.77784
2023-04-13,16.28317
2023-04-14,15.8275
2023-04-15,2.05258
2023-04-16,1.62359
2023-04-17,13.84264
2023-04-18,13.46702
2023-04-19,13.62712
2023-04-20,12.37299
2023-04-21,11.59711
2023-04-22,1.63796
2023-04-23,1.12071
2023-04-24,11.51706
2023-04-25,13.98427
2023-04-26,13.48344
2023-04-27,13.16118
2023-04-28,12.04663
2023-04-29,1.83911
2023-04-30,1.29312
2023-05-01,3.30466
2023-05-02,10.73708
2023-05-03,10.02688
2023-05-04,10.4374
2023-05-05,2.08542
2023-05-06,1.53533
2023-05-07,1.07555
2023-05-08,10.99571
2023-05-09,10.47435
2023-05-10,10.04125
2023-05-11,11.01418
2023-05-12,10.17057
2023-05-13,1.63591
2023-05-14,1.20076
2023-05-15,10.6755
2023-05-16,10.85818
2023-05-17,11.02239
2023-05-18,13.23508
2023-05-19,14.77657
2023-05-20,2.12648
2023-05-21,1.39165
2023-05-22,13.17761
2023-05-23,13.49576
2023-05-24,12.22726
2023-05-25,12.00353
2023-05-26,12.05073
2023-05-27,1.6667
2023-05-28,1.17407
2023-05-29,2.12853
