date,현대상선주가
2021-04-02,57.92913
2021-04-03,7.10823
2021-04-04,5.21624
2021-04-05,56.525
2021-04-06,53.99193
2021-04-07,58.98301
2021-04-08,55.64937
2021-04-09,49.30418
2021-04-10,5.28192
2021-04-11,4.22803
2021-04-12,48.77255
2021-04-13,48.64121
2021-04-14,46.621
2021-04-15,43.32801
2021-04-16,53.79178
2021-04-17,6.24511
2021-04-18,4.77218
2021-04-19,65.053
2021-04-20,58.69843
2021-04-21,49.38236
2021-04-22,57.66332
2021-04-23,52.16561
2021-04-24,6.19195
2021-04-25,5.26315
2021-04-26,73.53097
2021-04-27,68.48047
2021-04-28,82.17156
2021-04-29,75.18528
2021-04-30,66.84179
2021-05-01,7.37717
2021-05-02,5.8198
2021-05-03,67.91443
2021-05-04,64.11795
2021-05-05,8.91578
2021-05-06,73.56224
2021-05-07,76.84585
2021-05-08,9.18159
2021-05-09,6.59849
2021-05-10,83.39744
2021-05-11,77.30869
2021-05-12,91.29061
2021-05-13,100.0
2021-05-14,84.46696
2021-05-15,10.23235
2021-05-16,6.52343
2021-05-17,77.05225
2021-05-18,66.38208
2021-05-19,8.30596
2021-05-20,74.2346
2021-05-21,69.44053
2021-05-22,7.03318
2021-05-23,5.05363
2021-05-24,70.6883
2021-05-25,73.44653
2021-05-26,69.73762
2021-05-27,72.16749
2021-05-28,68.56177
2021-05-29,6.84867
2021-05-30,6.53282
2021-05-31,67.0044
2021-06-01,65.81918
2021-06-02,64.97795
2021-06-03,62.68255
2021-06-04,57.8791
2021-06-05,6.52656
2021-06-06,5.00672
2021-06-07,70.19732
2021-06-08,77.54323
2021-06-09,63.24545
2021-06-10,58.60462
2021-06-11,59.5553
2021-06-12,5.83231
2021-06-13,4.39691
2021-06-14,61.35034
2021-06-15,60.3934
2021-06-16,57.29743
2021-06-17,49.92338
2021-06-18,46.11126
2021-06-19,4.50323
2021-06-20,3.50564
2021-06-21,44.85724
2021-06-22,45.96741
2021-06-23,44.52575
2021-06-24,47.35903
2021-06-25,51.07733
2021-06-26,4.89101
2021-06-27,3.49626
2021-06-28,51.53078
2021-06-29,44.21928
2021-06-30,45.34821
2021-07-01,40.61669
2021-07-02,44.80095
2021-07-03,4.1436
2021-07-04,3.32739
2021-07-05,57.60077
2021-07-06,51.37442
2021-07-07,45.44203
2021-07-08,41.18897
2021-07-09,43.60008
2021-07-10,4.08731
2021-07-11,2.91772
2021-07-12,40.82934
2021-07-13,39.95684
2021-07-14,36.82021
2021-07-15,39.12812
2021-07-16,38.51205
2021-07-17,3.86215
2021-07-18,2.69568
2021-07-19,37.1861
2021-07-20,36.31672
2021-07-21,37.46442
2021-07-22,38.66529
2021-07-23,33.88372
2021-07-24,3.64949
2021-07-25,2.34543
2021-07-26,32.34825
2021-07-27,39.28761
2021-07-28,36.20414
2021-07-29,31.85414
2021-07-30,34.80001
2021-07-31,3.37742
2021-08-01,2.49241
2021-08-02,33.67733
2021-08-03,35.49113
2021-08-04,44.75404
2021-08-05,38.17118
2021-08-06,37.61453
2021-08-07,3.17102
2021-08-08,2.65503
2021-08-09,36.06342
2021-08-10,31.36004
2021-08-11,39.47212
2021-08-12,38.45576
2021-08-13,37.24552
2021-08-14,3.69015
2021-08-15,2.39234
2021-08-16,5.58213
2021-08-17,33.09253
2021-08-18,40.59792
2021-08-19,36.98908
2021-08-20,35.87578
2021-08-21,3.46811
2021-08-22,2.70506
2021-08-23,38.17744
2021-08-24,40.56665
2021-08-25,40.04753
2021-08-26,36.46058
2021-08-27,34.46539
2021-08-28,2.97401
2021-08-29,2.31416
2021-08-30,33.04249
2021-08-31,34.8219
2021-09-01,37.53948
2021-09-02,37.5082
2021-09-03,32.72664
2021-09-04,2.69256
2021-09-05,2.01707
2021-09-06,29.7151
2021-09-07,28.18588
2021-09-08,28.68311
2021-09-09,26.91622
2021-09-10,27.08196
2021-09-11,2.42048
2021-09-12,1.77314
2021-09-13,26.35018
2021-09-14,27.36967
2021-09-15,24.8366
2021-09-16,25.02423
2021-09-17,23.97348
2021-09-18,2.30478
2021-09-19,1.42915
2021-09-20,1.36035
2021-09-21,1.35722
2021-09-22,1.62929
2021-09-23,24.10169
2021-09-24,23.50752
2021-09-25,2.06398
2021-09-26,1.46667
2021-09-27,25.15245
2021-09-28,21.47481
2021-09-29,24.16111
2021-09-30,28.66122
2021-10-01,28.55177
2021-10-02,2.91459
