date,한신기계주가
2021-10-02,0.30367
2021-10-03,0.16791
2021-10-04,0.30725
2021-10-05,1.96498
2021-10-06,1.87924
2021-10-07,2.30796
2021-10-08,1.83637
2021-10-09,0.21436
2021-10-10,0.15719
2021-10-11,0.30725
2021-10-12,1.62558
2021-10-13,3.74419
2021-10-14,2.7867
2021-10-15,4.02643
2021-10-16,0.46087
2021-10-17,0.52161
2021-10-18,3.29403
2021-10-19,2.8403
2021-10-20,2.40443
2021-10-21,5.9021
2021-10-22,6.7667
2021-10-23,1.61128
2021-10-24,2.72954
2021-10-25,28.62093
2021-10-26,17.44194
2021-10-27,11.08252
2021-10-28,7.91711
2021-10-29,6.64165
2021-10-30,0.83244
2021-10-31,0.77527
2021-11-01,6.92032
2021-11-02,7.69917
2021-11-03,7.78849
2021-11-04,22.95462
2021-11-05,18.88174
2021-11-06,2.50446
2021-11-07,2.07574
2021-11-08,12.38656
2021-11-09,12.91175
2021-11-10,19.28545
2021-11-11,11.52554
2021-11-12,10.61093
2021-11-13,1.41121
2021-11-14,1.3076
2021-11-15,8.2851
2021-11-16,7.23829
2021-11-17,10.44301
2021-11-18,7.70989
2021-11-19,8.39942
2021-11-20,1.11111
2021-11-21,0.94676
2021-11-22,7.07752
2021-11-23,7.3419
2021-11-24,6.0986
2021-11-25,5.02679
2021-11-26,5.58413
2021-11-27,0.48946
2021-11-28,0.45016
2021-11-29,5.61271
2021-11-30,5.43408
2021-12-01,6.03787
2021-12-02,5.59128
2021-12-03,4.88745
2021-12-04,0.62522
2021-12-05,0.47516
2021-12-06,5.69846
2021-12-07,5.21614
2021-12-08,4.79456
2021-12-09,4.16577
2021-12-10,3.68345
2021-12-11,0.42872
2021-12-12,0.32868
2021-12-13,3.58342
2021-12-14,3.5727
2021-12-15,3.00821
2021-12-16,2.81886
2021-12-17,2.85101
2021-12-18,0.35012
2021-12-19,0.30725
2021-12-20,4.40514
2021-12-21,3.5334
2021-12-22,3.44408
2021-12-23,3.85852
2021-12-24,3.0225
2021-12-25,0.34297
2021-12-26,0.27509
2021-12-27,2.91175
2021-12-28,3.94783
2021-12-29,3.87638
2021-12-30,2.83672
2021-12-31,0.58592
2022-01-01,0.18935
2022-01-02,0.32511
2022-01-03,7.62415
2022-01-04,4.3837
2022-01-05,3.99785
2022-01-06,3.27259
2022-01-07,2.86173
2022-01-08,0.39299
2022-01-09,0.48946
2022-01-10,7.77063
2022-01-11,4.48017
2022-01-12,4.05144
2022-01-13,3.27259
2022-01-14,3.08681
2022-01-15,0.45373
2022-01-16,0.32154
2022-01-17,3.20114
2022-01-18,2.52232
2022-01-19,2.69381
2022-01-20,2.63308
2022-01-21,2.45802
2022-01-22,0.31797
2022-01-23,0.30725
2022-01-24,2.70096
2022-01-25,2.77599
2022-01-26,4.19792
2022-01-27,3.57984
2022-01-28,3.0225
2022-01-29,0.31439
2022-01-30,0.19649
2022-01-31,0.15005
2022-02-01,0.17506
2022-02-02,0.19292
2022-02-03,3.04751
2022-02-04,2.7617
2022-02-05,0.31797
2022-02-06,0.28224
2022-02-07,6.97034
2022-02-08,4.21936
2022-02-09,3.95855
2022-02-10,3.71204
2022-02-11,3.32618
2022-02-12,0.47874
2022-02-13,0.39657
2022-02-14,3.612
2022-02-15,3.40836
2022-02-16,7.64201
2022-02-17,6.75241
2022-02-18,5.41264
2022-02-19,0.70382
2022-02-20,0.54662
2022-02-21,5.05894
2022-02-22,4.423
2022-02-23,4.1479
2022-02-24,3.90853
2022-02-25,5.99499
2022-02-26,1.9364
2022-02-27,3.50839
2022-02-28,24.76241
2022-03-01,4.17291
2022-03-02,11.39335
2022-03-03,6.95248
2022-03-04,6.84887
2022-03-05,1.11825
2022-03-06,0.89674
2022-03-07,6.26295
2022-03-08,7.18113
2022-03-09,1.25044
2022-03-10,10.98963
2022-03-11,26.23436
2022-03-12,7.52054
2022-03-13,6.88817
2022-03-14,37.09181
2022-03-15,34.53376
2022-03-16,25.38049
2022-03-17,25.62343
2022-03-18,25.5877
2022-03-19,3.91568
2022-03-20,3.64415
2022-03-21,19.99285
2022-03-22,23.52625
2022-03-23,71.78277
2022-03-24,40.94676
2022-03-25,27.71704
2022-03-26,4.49803
2022-03-27,3.31904
2022-03-28,23.7299
2022-03-29,22.28295
2022-03-30,21.21471
2022-03-31,20.32868
2022-04-01,30.18935
2022-04-02,3.66559
2022-04-03,3.44765
2022-04-04,57.88138
2022-04-05,31.63272
2022-04-06,35.51625
2022-04-07,45.43765
2022-04-08,58.5209
2022-04-09,12.6045
2022-04-10,9.40693
2022-04-11,50.13933
2022-04-12,37.0668
2022-04-13,31.5827
2022-04-14,26.54162
2022-04-15,22.78313
2022-04-16,4.26223
2022-04-17,3.40478
2022-04-18,34.84458
2022-04-19,33.01178
2022-04-20,34.84458
2022-04-21,100.0
2022-04-22,53.26187
2022-04-23,6.16291
2022-04-24,5.36262
2022-04-25,46.12004
2022-04-26,39.55341
2022-04-27,45.61271
2022-04-28,38.81028
2022-04-29,53.19399
2022-04-30,5.85209
2022-05-01,5.16613
2022-05-02,49.1747
2022-05-03,45.65201
2022-05-04,51.43265
2022-05-05,7.9707
2022-05-06,37.16684
2022-05-07,5.30546
2022-05-08,4.94105
2022-05-09,38.49231
2022-05-10,36.60235
2022-05-11,32.37227
2022-05-12,31.64701
2022-05-13,26.16648
2022-05-14,3.45123
2022-05-15,3.18327
2022-05-16,24.10861
2022-05-17,22.89746
2022-05-18,20.61807
2022-05-19,26.34869
2022-05-20,59.79278
2022-05-21,16.87745
2022-05-22,16.16291
2022-05-23,54.36584
2022-05-24,40.94676
2022-05-25,34.64808
2022-05-26,32.3687
2022-05-27,29.20685
2022-05-28,3.93712
2022-05-29,3.31189
2022-05-30,29.57484
2022-05-31,31.622
2022-06-01,5.73776
2022-06-02,30.98606
2022-06-03,24.17649
2022-06-04,3.36906
2022-06-05,2.79742
2022-06-06,3.37263
2022-06-07,22.01857
2022-06-08,23.66559
2022-06-09,21.48267
2022-06-10,18.18506
2022-06-11,1.97927
2022-06-12,1.85066
2022-06-13,19.58199
2022-06-14,22.30796
2022-06-15,19.89639
2022-06-16,20.47516
2022-06-17,18.08503
2022-06-18,2.66881
2022-06-19,1.95784
2022-06-20,18.58163
2022-06-21,19.2926
2022-06-22,27.00964
2022-06-23,35.88067
2022-06-24,27.75276
2022-06-25,4.31225
2022-06-26,3.55841
2022-06-27,28.48517
2022-06-28,27.24901
2022-06-29,23.86566
2022-06-30,24.816
2022-07-01,20.1822
2022-07-02,2.10075
2022-07-03,1.96856
2022-07-04,17.59199
2022-07-05,19.3712
2022-07-06,19.18542
2022-07-07,31.01822
2022-07-08,20.21793
2022-07-09,1.83279
2022-07-10,2.64022
2022-07-11,17.7349
2022-07-12,17.69203
2022-07-13,17.33118
2022-07-14,15.51625
2022-07-15,13.77992
2022-07-16,1.51482
2022-07-17,1.27902
2022-07-18,14.78742
2022-07-19,14.14433
2022-07-20,15.91282
2022-07-21,13.52625
2022-07-22,11.9757
2022-07-23,1.1647
2022-07-24,1.14326
