date,에쿼티
2021-02-21,24.2236
2021-02-22,47.20496
2021-02-23,45.96273
2021-02-24,50.31055
2021-02-25,46.8944
2021-02-26,36.95652
2021-02-27,19.87577
2021-02-28,13.97515
2021-03-01,17.70186
2021-03-02,58.69565
2021-03-03,51.86335
2021-03-04,52.17391
2021-03-05,39.44099
2021-03-06,19.56521
2021-03-07,20.49689
2021-03-08,34.47204
2021-03-09,39.44099
2021-03-10,41.92546
2021-03-11,50.62111
2021-03-12,41.92546
2021-03-13,19.87577
2021-03-14,17.3913
2021-03-15,37.88819
2021-03-16,51.55279
2021-03-17,55.2795
2021-03-18,50.31055
2021-03-19,45.65217
2021-03-20,22.98136
2021-03-21,21.42857
2021-03-22,39.75155
2021-03-23,48.13664
2021-03-24,52.48447
2021-03-25,50.0
2021-03-26,43.47826
2021-03-27,17.08074
2021-03-28,15.8385
2021-03-29,50.93167
2021-03-30,53.10559
2021-03-31,50.62111
2021-04-01,45.96273
2021-04-02,41.6149
2021-04-03,18.01242
2021-04-04,18.32298
2021-04-05,51.55279
2021-04-06,50.31055
2021-04-07,54.34782
2021-04-08,43.78881
2021-04-09,43.1677
2021-04-10,18.94409
2021-04-11,17.3913
2021-04-12,43.78881
2021-04-13,68.01242
2021-04-14,49.68944
2021-04-15,44.72049
2021-04-16,47.20496
2021-04-17,21.11801
2021-04-18,17.70186
2021-04-19,44.40993
2021-04-20,41.6149
2021-04-21,47.51552
2021-04-22,45.96273
2021-04-23,36.02484
2021-04-24,14.59627
2021-04-25,16.77018
2021-04-26,42.85714
2021-04-27,40.99378
2021-04-28,47.82608
2021-04-29,45.96273
2021-04-30,33.85093
2021-05-01,17.3913
2021-05-02,16.14906
2021-05-03,41.6149
2021-05-04,37.88819
2021-05-05,18.01242
2021-05-06,40.06211
2021-05-07,42.23602
2021-05-08,17.3913
2021-05-09,16.77018
2021-05-10,40.99378
2021-05-11,42.54658
2021-05-12,40.68322
2021-05-13,42.54658
2021-05-14,33.85093
2021-05-15,17.70186
2021-05-16,20.18633
2021-05-17,38.81987
2021-05-18,38.19875
2021-05-19,28.88198
2021-05-20,71.42857
2021-05-21,46.58385
2021-05-22,12.73291
2021-05-23,21.11801
2021-05-24,45.96273
2021-05-25,44.09937
2021-05-26,51.55279
2021-05-27,48.13664
2021-05-28,42.54658
2021-05-29,16.14906
2021-05-30,15.8385
2021-05-31,30.74534
2021-06-01,43.78881
2021-06-02,47.51552
2021-06-03,37.88819
2021-06-04,41.30434
2021-06-05,16.77018
2021-06-06,21.42857
2021-06-07,39.75155
2021-06-08,42.23602
2021-06-09,40.68322
2021-06-10,46.27329
2021-06-11,40.37267
2021-06-12,20.18633
2021-06-13,21.73913
2021-06-14,53.7267
2021-06-15,51.86335
2021-06-16,48.75776
2021-06-17,43.1677
2021-06-18,42.23602
2021-06-19,18.63354
2021-06-20,18.32298
2021-06-21,42.85714
2021-06-22,47.20496
2021-06-23,55.2795
2021-06-24,49.06832
2021-06-25,35.09316
2021-06-26,20.49689
2021-06-27,16.77018
2021-06-28,40.37267
2021-06-29,43.1677
2021-06-30,41.92546
2021-07-01,79.5031
2021-07-02,44.72049
2021-07-03,14.28571
2021-07-04,16.45962
2021-07-05,37.57763
2021-07-06,51.24223
2021-07-07,50.62111
2021-07-08,43.47826
2021-07-09,30.74534
2021-07-10,10.24844
2021-07-11,11.18012
2021-07-12,31.67701
2021-07-13,47.51552
2021-07-14,58.07453
2021-07-15,56.83229
2021-07-16,46.27329
2021-07-17,21.73913
2021-07-18,13.97515
2021-07-19,32.91925
2021-07-20,48.13664
2021-07-21,47.82608
2021-07-22,41.92546
2021-07-23,40.37267
2021-07-24,14.90683
2021-07-25,10.86956
2021-07-26,39.13043
2021-07-27,40.06211
2021-07-28,43.1677
2021-07-29,41.30434
2021-07-30,46.27329
2021-07-31,12.1118
2021-08-01,12.1118
2021-08-02,31.0559
2021-08-03,38.19875
2021-08-04,45.65217
2021-08-05,36.3354
2021-08-06,43.1677
2021-08-07,14.90683
2021-08-08,13.04347
2021-08-09,40.99378
2021-08-10,44.09937
2021-08-11,45.34161
2021-08-12,41.30434
2021-08-13,38.50931
2021-08-14,9.62732
2021-08-15,17.3913
2021-08-16,17.08074
2021-08-17,41.6149
2021-08-18,45.03105
2021-08-19,38.81987
2021-08-20,35.40372
2021-08-21,15.8385
2021-08-22,11.49068
2021-08-23,52.17391
2021-08-24,45.34161
2021-08-25,44.40993
2021-08-26,40.99378
2021-08-27,46.58385
2021-08-28,15.8385
2021-08-29,18.94409
2021-08-30,43.1677
2021-08-31,43.78881
2021-09-01,43.1677
2021-09-02,45.65217
2021-09-03,36.3354
2021-09-04,14.90683
2021-09-05,12.1118
2021-09-06,40.99378
2021-09-07,44.40993
2021-09-08,43.78881
2021-09-09,50.62111
2021-09-10,38.19875
2021-09-11,19.56521
2021-09-12,18.94409
2021-09-13,47.82608
2021-09-14,35.71428
2021-09-15,47.82608
2021-09-16,42.85714
2021-09-17,34.7826
2021-09-18,11.80124
2021-09-19,11.49068
2021-09-20,12.42236
2021-09-21,34.16149
2021-09-22,15.21739
2021-09-23,55.59006
2021-09-24,49.06832
2021-09-25,38.19875
2021-09-26,27.63975
2021-09-27,56.52173
2021-09-28,48.4472
2021-09-29,43.1677
2021-09-30,47.82608
2021-10-01,47.82608
2021-10-02,20.80745
2021-10-03,12.1118
2021-10-04,20.18633
2021-10-05,36.64596
2021-10-06,51.86335
2021-10-07,42.85714
2021-10-08,75.77639
2021-10-09,25.77639
2021-10-10,13.35403
2021-10-11,16.77018
2021-10-12,41.92546
2021-10-13,41.92546
2021-10-14,50.31055
2021-10-15,46.58385
2021-10-16,14.59627
2021-10-17,15.8385
2021-10-18,37.57763
2021-10-19,43.78881
2021-10-20,46.58385
2021-10-21,49.68944
2021-10-22,47.20496
2021-10-23,15.21739
2021-10-24,19.25465
2021-10-25,48.4472
2021-10-26,44.09937
2021-10-27,50.62111
2021-10-28,52.48447
2021-10-29,37.88819
2021-10-30,13.35403
2021-10-31,9.93788
2021-11-01,41.30434
2021-11-02,45.03105
2021-11-03,47.20496
2021-11-04,50.0
2021-11-05,40.37267
2021-11-06,15.21739
2021-11-07,16.14906
2021-11-08,48.75776
2021-11-09,43.78881
2021-11-10,45.65217
2021-11-11,45.96273
2021-11-12,49.06832
2021-11-13,17.70186
2021-11-14,18.01242
2021-11-15,39.75155
2021-11-16,46.27329
2021-11-17,46.8944
2021-11-18,47.20496
2021-11-19,36.64596
2021-11-20,32.91925
2021-11-21,16.14906
2021-11-22,47.82608
2021-11-23,50.0
2021-11-24,48.75776
2021-11-25,50.62111
2021-11-26,39.75155
2021-11-27,25.15527
2021-11-28,20.18633
2021-11-29,45.34161
2021-11-30,47.51552
2021-12-01,49.37888
2021-12-02,47.20496
2021-12-03,36.02484
2021-12-04,17.08074
2021-12-05,25.46583
2021-12-06,51.86335
2021-12-07,49.68944
2021-12-08,46.58385
2021-12-09,59.93788
2021-12-10,52.79503
2021-12-11,19.87577
2021-12-12,16.77018
2021-12-13,34.47204
2021-12-14,44.09937
2021-12-15,42.85714
2021-12-16,42.85714
2021-12-17,40.06211
2021-12-18,17.3913
2021-12-19,13.66459
2021-12-20,41.30434
2021-12-21,54.65838
2021-12-22,35.71428
2021-12-23,46.8944
2021-12-24,35.71428
2021-12-25,11.49068
2021-12-26,17.70186
2021-12-27,34.7826
2021-12-28,48.13664
2021-12-29,50.31055
2021-12-30,41.6149
2021-12-31,30.43478
2022-01-01,10.24844
2022-01-02,14.59627
2022-01-03,34.7826
2022-01-04,53.41614
2022-01-05,42.85714
2022-01-06,40.68322
2022-01-07,40.68322
2022-01-08,30.12422
2022-01-09,44.09937
2022-01-10,58.07453
2022-01-11,53.10559
2022-01-12,47.51552
2022-01-13,45.96273
2022-01-14,51.24223
2022-01-15,22.04968
2022-01-16,17.08074
2022-01-17,35.09316
2022-01-18,38.81987
2022-01-19,47.82608
2022-01-20,50.62111
2022-01-21,40.06211
2022-01-22,24.2236
2022-01-23,16.45962
2022-01-24,38.81987
2022-01-25,44.09937
2022-01-26,41.30434
2022-01-27,39.75155
2022-01-28,35.09316
2022-01-29,19.25465
2022-01-30,14.90683
2022-01-31,32.29813
2022-02-01,18.32298
2022-02-02,25.77639
2022-02-03,49.06832
2022-02-04,37.26708
2022-02-05,23.60248
2022-02-06,21.42857
2022-02-07,47.51552
2022-02-08,45.03105
2022-02-09,47.20496
2022-02-10,54.34782
2022-02-11,45.96273
2022-02-12,22.04968
2022-02-13,19.87577
2022-02-14,49.68944
2022-02-15,48.4472
2022-02-16,50.93167
2022-02-17,44.40993
2022-02-18,47.51552
2022-02-19,15.8385
2022-02-20,18.94409
2022-02-21,46.27329
2022-02-22,37.26708
2022-02-23,46.27329
2022-02-24,40.06211
2022-02-25,39.13043
2022-02-26,17.08074
2022-02-27,15.8385
2022-02-28,35.71428
2022-03-01,22.36024
2022-03-02,59.93788
2022-03-03,46.8944
2022-03-04,34.47204
2022-03-05,18.32298
2022-03-06,14.59627
2022-03-07,37.57763
2022-03-08,31.67701
2022-03-09,18.94409
2022-03-10,46.8944
2022-03-11,41.92546
2022-03-12,16.45962
2022-03-13,18.32298
2022-03-14,39.75155
2022-03-15,44.40993
2022-03-16,43.1677
2022-03-17,57.14285
2022-03-18,47.51552
2022-03-19,21.73913
2022-03-20,21.42857
2022-03-21,45.65217
2022-03-22,52.79503
2022-03-23,46.8944
2022-03-24,44.40993
2022-03-25,42.85714
2022-03-26,18.01242
2022-03-27,17.3913
2022-03-28,41.92546
2022-03-29,49.06832
2022-03-30,45.34161
2022-03-31,49.68944
2022-04-01,38.19875
2022-04-02,22.98136
2022-04-03,17.08074
2022-04-04,40.06211
2022-04-05,48.75776
2022-04-06,47.51552
2022-04-07,49.68944
2022-04-08,51.86335
2022-04-09,18.63354
2022-04-10,26.70807
2022-04-11,44.72049
2022-04-12,51.86335
2022-04-13,54.65838
2022-04-14,56.52173
2022-04-15,48.4472
2022-04-16,18.94409
2022-04-17,15.8385
2022-04-18,42.54658
