date,메리츠금융지주
2021-05-05,2.09946
2021-05-06,7.75263
2021-05-07,6.31328
2021-05-08,1.7421
2021-05-09,1.68254
2021-05-10,8.10502
2021-05-11,9.67837
2021-05-12,12.0806
2021-05-13,9.7826
2021-05-14,17.43101
2021-05-15,8.70557
2021-05-16,6.58129
2021-05-17,70.78121
2021-05-18,35.65614
2021-05-19,6.88405
2021-05-20,18.25491
2021-05-21,12.04089
2021-05-22,3.3502
2021-05-23,3.04248
2021-05-24,14.78062
2021-05-25,15.35139
2021-05-26,13.71351
2021-05-27,9.81238
2021-05-28,8.88425
2021-05-29,2.16894
2021-05-30,1.97041
2021-05-31,7.80226
2021-06-01,7.08258
2021-06-02,6.11971
2021-06-03,6.77486
2021-06-04,6.30831
2021-06-05,1.5535
2021-06-06,1.34008
2021-06-07,7.17689
2021-06-08,5.88147
2021-06-09,5.82688
2021-06-10,7.57891
2021-06-11,5.88147
2021-06-12,1.30037
2021-06-13,1.22096
2021-06-14,5.22632
2021-06-15,5.31566
2021-06-16,4.56621
2021-06-17,8.5269
2021-06-18,13.04844
2021-06-19,2.83899
2021-06-20,1.95056
2021-06-21,7.93627
2021-06-22,6.99821
2021-06-23,5.52412
2021-06-24,4.98808
2021-06-25,5.66309
2021-06-26,1.32023
2021-06-27,1.20607
2021-06-28,5.29084
2021-06-29,5.40996
2021-06-30,8.08516
2021-07-01,6.63589
2021-07-02,4.79452
2021-07-03,1.17629
2021-07-04,0.99265
2021-07-05,4.63569
2021-07-06,6.02541
2021-07-07,6.15942
2021-07-08,5.38514
2021-07-09,4.78955
2021-07-10,0.80405
2021-07-11,0.78419
2021-07-12,4.55628
2021-07-13,4.01528
2021-07-14,3.9458
2021-07-15,3.84157
2021-07-16,3.22116
2021-07-17,0.5807
2021-07-18,0.60551
2021-07-19,4.06491
2021-07-20,4.10958
2021-07-21,3.35517
2021-07-22,3.66289
2021-07-23,3.56362
2021-07-24,0.73952
2021-07-25,0.55092
2021-07-26,3.63311
2021-07-27,7.62854
2021-07-28,8.54675
2021-07-29,8.27377
2021-07-30,7.34067
2021-07-31,1.83641
2021-08-01,1.44431
2021-08-02,5.30573
2021-08-03,4.96327
2021-08-04,5.2561
2021-08-05,5.16676
2021-08-06,4.323
2021-08-07,1.03732
2021-08-08,0.78916
2021-08-09,5.32559
2021-08-10,5.18661
2021-08-11,4.93349
2021-08-12,4.98312
2021-08-13,4.82926
2021-08-14,0.8239
2021-08-15,0.64026
2021-08-16,0.95294
2021-08-17,4.66051
2021-08-18,4.29819
2021-08-19,4.8243
2021-08-20,4.42227
2021-08-21,0.93805
2021-08-22,1.04228
2021-08-23,4.90867
2021-08-24,5.03772
2021-08-25,5.32062
2021-08-26,8.78995
2021-08-27,6.11971
2021-08-28,1.30037
2021-08-29,1.1068
2021-08-30,10.31864
2021-08-31,18.46337
2021-09-01,14.66646
2021-09-02,12.82509
