date,장외주식거래방법
2021-04-14,43.89374
2021-04-15,50.01619
2021-04-16,44.89795
2021-04-17,26.62779
2021-04-18,23.77712
2021-04-19,40.42759
2021-04-20,44.15289
2021-04-21,42.04729
2021-04-22,44.99514
2021-04-23,38.71072
2021-04-24,26.98412
2021-04-25,23.3884
2021-04-26,38.16002
2021-04-27,38.2572
2021-04-28,35.76287
2021-04-29,35.24457
2021-04-30,34.24036
2021-05-01,17.81665
2021-05-02,25.04049
2021-05-03,40.75153
2021-05-04,25.94752
2021-05-05,20.53773
2021-05-06,30.54745
2021-05-07,27.76158
2021-05-08,16.9744
2021-05-09,17.62228
2021-05-10,32.91221
2021-05-11,34.24036
2021-05-12,34.04599
2021-05-13,30.02915
2021-05-14,24.36022
2021-05-15,15.3871
2021-05-16,16.65046
2021-05-17,25.81794
2021-05-18,21.83349
2021-05-19,13.63783
2021-05-20,22.22222
2021-05-21,20.14901
2021-05-22,12.69841
2021-05-23,14.64204
2021-05-24,21.50955
2021-05-25,20.6997
2021-05-26,24.32782
2021-05-27,26.98412
2021-05-28,23.356
2021-05-29,11.6942
2021-05-30,12.7632
2021-05-31,25.17006
2021-06-01,24.74894
2021-06-02,28.37706
2021-06-03,30.54745
2021-06-04,32.84742
2021-06-05,18.82086
2021-06-06,13.18432
2021-06-07,28.89536
2021-06-08,23.9067
2021-06-09,23.45319
2021-06-10,26.33624
2021-06-11,28.1827
2021-06-12,13.96177
2021-06-13,13.83219
2021-06-14,24.55458
2021-06-15,26.07709
2021-06-16,28.34467
2021-06-17,28.76579
2021-06-18,25.75315
2021-06-19,16.39131
2021-06-20,16.09977
2021-06-21,20.92646
2021-06-22,27.66439
2021-06-23,33.36572
2021-06-24,28.08551
2021-06-25,26.0123
2021-06-26,16.81243
2021-06-27,14.12374
2021-06-28,25.04049
2021-06-29,28.66861
2021-06-30,24.4574
2021-07-01,25.59118
2021-07-02,22.51376
2021-07-03,15.51668
2021-07-04,17.10398
2021-07-05,26.17427
2021-07-06,27.92355
