date,주식시세표
2021-03-11,35.38111
2021-03-12,31.68373
2021-03-13,10.35267
2021-03-14,11.8885
2021-03-15,32.48009
2021-03-16,29.4653
2021-03-17,30.37542
2021-03-18,31.28555
2021-03-19,34.86916
2021-03-20,8.87372
2021-03-21,8.19112
2021-03-22,30.20477
2021-03-23,32.65073
2021-03-24,30.7736
2021-03-25,26.67804
2021-03-26,25.8248
2021-03-27,8.19112
2021-03-28,6.20022
2021-03-29,26.67804
2021-03-30,28.7827
2021-03-31,28.32764
2021-04-01,26.39362
2021-04-02,24.97155
2021-04-03,8.64618
2021-04-04,8.75995
2021-04-05,28.27076
2021-04-06,30.26166
2021-04-07,28.21387
2021-04-08,29.63594
2021-04-09,24.23208
2021-04-10,7.56541
2021-04-11,6.31399
2021-04-12,27.58816
2021-04-13,28.66894
2021-04-14,29.124
2021-04-15,28.21387
2021-04-16,26.39362
2021-04-17,9.95449
2021-04-18,6.71217
2021-04-19,25.76791
2021-04-20,26.33674
2021-04-21,29.74971
2021-04-22,25.1422
2021-04-23,25.19908
2021-04-24,9.10125
2021-04-25,6.48464
2021-04-26,25.25597
2021-04-27,26.7918
2021-04-28,28.32764
2021-04-29,28.44141
2021-04-30,27.4744
2021-05-01,8.13424
2021-05-02,6.99658
2021-05-03,26.16609
2021-05-04,26.67804
2021-05-05,6.9397
2021-05-06,26.50739
2021-05-07,22.69624
2021-05-08,6.14334
2021-05-09,5.34698
2021-05-10,27.41751
2021-05-11,29.4653
2021-05-12,29.57906
2021-05-13,31.17178
2021-05-14,26.96245
2021-05-15,6.54152
2021-05-16,6.54152
2021-05-17,27.18998
2021-05-18,25.1422
2021-05-19,8.81683
2021-05-20,26.22298
2021-05-21,23.8339
2021-05-22,6.48464
2021-05-23,5.80204
2021-05-24,24.45961
2021-05-25,23.66325
2021-05-26,23.60637
2021-05-27,23.26507
2021-05-28,26.56427
2021-05-29,6.42775
2021-05-30,5.80204
2021-05-31,21.61547
2021-06-01,22.01365
2021-06-02,23.26507
2021-06-03,24.51649
2021-06-04,22.35494
2021-06-05,6.88282
2021-06-06,5.40386
2021-06-07,25.1422
2021-06-08,24.28896
2021-06-09,26.56427
2021-06-10,24.45961
2021-06-11,24.40273
2021-06-12,5.97269
2021-06-13,5.68828
2021-06-14,21.843
2021-06-15,23.03754
2021-06-16,23.26507
2021-06-17,23.4926
2021-06-18,24.97155
2021-06-19,7.16723
2021-06-20,4.89192
2021-06-21,25.76791
2021-06-22,23.77701
2021-06-23,28.49829
2021-06-24,26.62116
2021-06-25,26.27986
2021-06-26,6.88282
2021-06-27,5.68828
2021-06-28,22.41183
2021-06-29,20.47781
2021-06-30,26.90557
2021-07-01,22.58248
2021-07-02,20.87599
2021-07-03,5.17633
2021-07-04,3.69738
2021-07-05,21.55858
2021-07-06,22.35494
2021-07-07,23.26507
2021-07-08,23.66325
2021-07-09,27.30375
2021-07-10,5.74516
2021-07-11,3.75426
2021-07-12,23.26507
2021-07-13,23.94766
2021-07-14,21.5017
2021-07-15,23.03754
2021-07-16,24.74402
2021-07-17,5.06257
2021-07-18,3.92491
2021-07-19,21.61547
2021-07-20,27.53128
2021-07-21,23.37883
2021-07-22,25.71103
2021-07-23,23.89078
2021-07-24,4.43686
2021-07-25,3.6405
2021-07-26,22.75312
2021-07-27,23.60637
2021-07-28,24.06143
2021-07-29,23.1513
2021-07-30,23.77701
2021-07-31,6.25711
2021-08-01,4.15244
2021-08-02,23.26507
2021-08-03,20.70534
2021-08-04,25.65415
2021-08-05,20.36405
2021-08-06,26.62116
2021-08-07,4.32309
2021-08-08,4.6075
2021-08-09,22.41183
2021-08-10,24.11831
2021-08-11,24.17519
2021-08-12,25.1422
2021-08-13,26.67804
2021-08-14,6.37087
2021-08-15,4.6075
2021-08-16,7.73606
2021-08-17,24.51649
2021-08-18,26.62116
2021-08-19,22.81001
2021-08-20,26.10921
2021-08-21,5.80204
2021-08-22,4.55062
2021-08-23,28.38452
2021-08-24,28.7827
2021-08-25,27.81569
2021-08-26,27.1331
2021-08-27,25.1422
2021-08-28,6.08646
2021-08-29,3.41296
2021-08-30,23.54948
2021-08-31,23.32195
2021-09-01,22.92377
2021-09-02,24.68714
2021-09-03,24.28896
2021-09-04,5.74516
2021-09-05,3.58361
2021-09-06,23.03754
2021-09-07,21.5017
2021-09-08,21.04664
2021-09-09,25.99544
2021-09-10,21.5017
2021-09-11,3.86803
2021-09-12,4.32309
2021-09-13,20.64846
2021-09-14,20.76222
2021-09-15,23.09442
2021-09-16,21.61547
2021-09-17,22.98065
2021-09-18,4.15244
2021-09-19,4.15244
2021-09-20,4.15244
2021-09-21,4.09556
2021-09-22,7.96359
2021-09-23,24.91467
2021-09-24,21.61547
2021-09-25,6.71217
2021-09-26,4.15244
2021-09-27,22.41183
2021-09-28,20.47781
2021-09-29,27.4744
2021-09-30,24.80091
2021-10-01,22.69624
2021-10-02,5.68828
2021-10-03,5.2901
2021-10-04,6.02957
2021-10-05,30.14789
2021-10-06,27.30375
2021-10-07,25.31285
2021-10-08,23.54948
2021-10-09,4.20932
2021-10-10,3.98179
2021-10-11,6.99658
2021-10-12,29.23777
2021-10-13,24.51649
2021-10-14,24.28896
2021-10-15,26.16609
2021-10-16,5.23321
2021-10-17,5.23321
2021-10-18,21.21729
2021-10-19,20.93287
2021-10-20,20.42093
2021-10-21,20.70534
2021-10-22,18.71444
2021-10-23,3.81114
2021-10-24,4.32309
2021-10-25,20.1934
2021-10-26,19.45392
2021-10-27,22.1843
2021-10-28,19.68145
2021-10-29,18.03185
2021-10-30,4.49374
2021-10-31,3.46985
2021-11-01,17.00796
2021-11-02,20.30716
2021-11-03,23.09442
2021-11-04,20.98976
2021-11-05,20.1934
2021-11-06,4.77815
2021-11-07,3.18543
2021-11-08,20.87599
2021-11-09,18.2025
2021-11-10,19.68145
2021-11-11,20.93287
2021-11-12,18.54379
2021-11-13,4.37997
2021-11-14,3.07167
2021-11-15,16.43913
2021-11-16,16.78043
2021-11-17,16.60978
2021-11-18,16.32536
2021-11-19,15.8703
2021-11-20,4.26621
2021-11-21,2.21843
2021-11-22,18.65756
2021-11-23,18.82821
2021-11-24,16.89419
2021-11-25,16.15472
2021-11-26,16.72354
2021-11-27,4.66439
2021-11-28,3.35608
2021-11-29,18.88509
2021-11-30,22.46871
2021-12-01,22.41183
2021-12-02,20.81911
2021-12-03,18.94197
2021-12-04,4.72127
2021-12-05,4.32309
2021-12-06,20.30716
2021-12-07,17.40614
2021-12-08,20.13651
2021-12-09,16.89419
2021-12-10,17.40614
2021-12-11,4.37997
2021-12-12,3.41296
2021-12-13,20.25028
2021-12-14,19.79522
2021-12-15,17.80432
2021-12-16,17.23549
2021-12-17,15.98407
2021-12-18,4.9488
2021-12-19,3.46985
2021-12-20,16.15472
2021-12-21,17.17861
2021-12-22,17.00796
2021-12-23,16.15472
2021-12-24,15.35836
2021-12-25,3.81114
2021-12-26,3.35608
2021-12-27,15.18771
2021-12-28,17.74744
2021-12-29,17.91808
2021-12-30,15.98407
2021-12-31,5.57451
2022-01-01,1.93401
2022-01-02,2.73037
2022-01-03,18.03185
2022-01-04,17.57679
2022-01-05,19.28327
2022-01-06,17.8612
2022-01-07,17.74744
2022-01-08,5.11945
2022-01-09,4.77815
2022-01-10,17.8612
2022-01-11,17.74744
2022-01-12,19.34015
2022-01-13,19.34015
2022-01-14,17.34926
2022-01-15,3.69738
2022-01-16,5.17633
2022-01-17,17.34926
2022-01-18,19.16951
2022-01-19,19.22639
2022-01-20,19.22639
2022-01-21,18.25938
