date,현대미술작가
2021-04-30,22.43589
2021-05-01,11.85897
2021-05-02,18.58974
2021-05-03,27.24358
2021-05-04,35.25641
2021-05-05,19.87179
2021-05-06,22.11538
2021-05-07,18.58974
2021-05-08,14.42307
2021-05-09,21.79487
2021-05-10,55.76923
2021-05-11,43.58974
2021-05-12,31.41025
2021-05-13,48.71794
2021-05-14,24.67948
2021-05-15,16.02564
2021-05-16,32.37179
2021-05-17,33.01282
2021-05-18,30.76923
2021-05-19,16.98717
2021-05-20,28.84615
2021-05-21,24.35897
2021-05-22,14.74358
2021-05-23,24.03846
2021-05-24,34.93589
2021-05-25,47.75641
2021-05-26,51.92307
2021-05-27,37.82051
2021-05-28,33.01282
2021-05-29,16.98717
2021-05-30,21.79487
2021-05-31,36.85897
2021-06-01,34.61538
2021-06-02,32.05128
2021-06-03,36.85897
2021-06-04,31.73076
2021-06-05,15.38461
2021-06-06,21.79487
2021-06-07,27.88461
2021-06-08,38.46153
2021-06-09,46.79487
2021-06-10,43.91025
2021-06-11,31.08974
2021-06-12,18.58974
2021-06-13,26.92307
2021-06-14,32.6923
2021-06-15,35.57692
2021-06-16,44.55128
2021-06-17,34.93589
2021-06-18,41.98717
2021-06-19,17.6282
2021-06-20,22.75641
2021-06-21,29.16666
2021-06-22,24.35897
2021-06-23,24.35897
2021-06-24,33.01282
2021-06-25,22.75641
2021-06-26,10.89743
2021-06-27,16.98717
2021-06-28,25.0
2021-06-29,16.98717
2021-06-30,18.58974
2021-07-01,20.51282
2021-07-02,22.43589
2021-07-03,13.46153
2021-07-04,15.38461
2021-07-05,16.98717
2021-07-06,18.91025
2021-07-07,24.67948
2021-07-08,26.60256
2021-07-09,18.58974
2021-07-10,13.14102
2021-07-11,11.53846
2021-07-12,29.80769
2021-07-13,24.67948
2021-07-14,22.75641
2021-07-15,19.87179
2021-07-16,16.34615
2021-07-17,11.53846
2021-07-18,7.6923
2021-07-19,13.78205
2021-07-20,15.38461
2021-07-21,12.5
2021-07-22,14.74358
2021-07-23,10.57692
2021-07-24,9.61538
2021-07-25,9.29487
2021-07-26,8.33333
2021-07-27,13.78205
2021-07-28,7.6923
2021-07-29,8.33333
2021-07-30,7.6923
2021-07-31,10.57692
2021-08-01,8.33333
2021-08-02,8.97435
2021-08-03,12.17948
2021-08-04,10.57692
2021-08-05,9.93589
2021-08-06,7.05128
2021-08-07,8.01282
2021-08-08,10.57692
2021-08-09,12.17948
2021-08-10,9.61538
2021-08-11,12.5
2021-08-12,11.85897
2021-08-13,11.53846
2021-08-14,8.33333
2021-08-15,7.37179
2021-08-16,12.17948
2021-08-17,20.83333
2021-08-18,17.30769
2021-08-19,24.35897
2021-08-20,26.28205
2021-08-21,10.25641
2021-08-22,12.17948
2021-08-23,42.94871
2021-08-24,35.57692
2021-08-25,39.10256
2021-08-26,35.57692
2021-08-27,27.24358
2021-08-28,19.23076
2021-08-29,23.07692
2021-08-30,25.64102
2021-08-31,23.07692
2021-09-01,29.48717
2021-09-02,30.1282
2021-09-03,31.41025
2021-09-04,17.6282
2021-09-05,14.42307
2021-09-06,32.6923
2021-09-07,33.97435
2021-09-08,72.75641
2021-09-09,100.0
2021-09-10,35.57692
2021-09-11,13.14102
2021-09-12,23.39743
2021-09-13,26.60256
2021-09-14,35.57692
2021-09-15,25.32051
2021-09-16,27.5641
2021-09-17,18.91025
2021-09-18,11.21794
2021-09-19,13.14102
2021-09-20,14.42307
2021-09-21,11.85897
2021-09-22,17.6282
2021-09-23,28.20512
2021-09-24,25.64102
2021-09-25,18.26923
2021-09-26,18.58974
2021-09-27,19.55128
2021-09-28,31.08974
2021-09-29,36.85897
2021-09-30,35.89743
2021-10-01,29.80769
2021-10-02,21.47435
2021-10-03,17.30769
2021-10-04,19.23076
2021-10-05,28.52564
2021-10-06,34.29487
2021-10-07,37.82051
2021-10-08,20.83333
2021-10-09,20.1923
2021-10-10,18.58974
2021-10-11,24.03846
2021-10-12,45.83333
2021-10-13,34.93589
2021-10-14,24.67948
2021-10-15,33.65384
2021-10-16,18.26923
2021-10-17,19.87179
2021-10-18,36.53846
2021-10-19,36.53846
2021-10-20,40.38461
2021-10-21,33.01282
2021-10-22,29.16666
2021-10-23,20.83333
2021-10-24,25.0
2021-10-25,27.88461
2021-10-26,54.80769
2021-10-27,44.23076
2021-10-28,36.21794
2021-10-29,31.08974
2021-10-30,15.70512
2021-10-31,23.39743
2021-11-01,37.82051
2021-11-02,42.6282
2021-11-03,44.87179
2021-11-04,35.25641
2021-11-05,23.39743
2021-11-06,13.46153
2021-11-07,19.23076
2021-11-08,30.76923
2021-11-09,30.44871
2021-11-10,24.67948
2021-11-11,54.48717
2021-11-12,33.33333
2021-11-13,18.91025
2021-11-14,23.39743
2021-11-15,45.51282
2021-11-16,43.58974
2021-11-17,35.25641
2021-11-18,21.15384
2021-11-19,35.57692
2021-11-20,18.26923
2021-11-21,29.80769
2021-11-22,43.91025
2021-11-23,39.10256
2021-11-24,45.51282
2021-11-25,25.96153
2021-11-26,22.43589
2021-11-27,36.85897
2021-11-28,36.85897
2021-11-29,39.42307
2021-11-30,26.60256
2021-12-01,32.37179
2021-12-02,32.05128
2021-12-03,27.24358
2021-12-04,19.23076
2021-12-05,18.58974
2021-12-06,30.44871
2021-12-07,33.01282
2021-12-08,24.67948
2021-12-09,28.52564
2021-12-10,27.5641
2021-12-11,18.91025
