date,실비보험추천
2021-04-21,26.72605
2021-04-22,20.71269
2021-04-23,17.37193
2021-04-24,10.4677
2021-04-25,8.46325
2021-04-26,23.16258
2021-04-27,23.16258
2021-04-28,23.60801
2021-04-29,20.48997
2021-04-30,18.93095
2021-05-01,10.02227
2021-05-02,10.91314
2021-05-03,21.60356
2021-05-04,15.81291
2021-05-05,10.69042
2021-05-06,26.0579
2021-05-07,22.49443
2021-05-08,11.58129
2021-05-09,11.13585
2021-05-10,23.60801
2021-05-11,26.50334
2021-05-12,22.27171
2021-05-13,20.26726
2021-05-14,21.15812
2021-05-15,12.69487
2021-05-16,6.68151
2021-05-17,27.17149
2021-05-18,26.28062
2021-05-19,13.58574
2021-05-20,21.38084
2021-05-21,30.51224
2021-05-22,11.804
2021-05-23,17.59465
2021-05-24,23.3853
2021-05-25,27.17149
2021-05-26,29.17594
2021-05-27,38.30734
2021-05-28,23.16258
2021-05-29,10.69042
2021-05-30,16.25835
2021-05-31,25.61247
2021-06-01,23.3853
2021-06-02,20.26726
2021-06-03,24.49888
2021-06-04,25.38975
2021-06-05,8.90868
2021-06-06,12.69487
2021-06-07,23.16258
2021-06-08,25.83518
2021-06-09,28.73051
2021-06-10,29.17594
2021-06-11,24.27616
2021-06-12,11.35857
2021-06-13,15.81291
2021-06-14,36.08017
2021-06-15,40.3118
2021-06-16,32.73942
2021-06-17,36.74832
2021-06-18,25.16703
2021-06-19,18.93095
2021-06-20,20.48997
2021-06-21,41.6481
2021-06-22,46.32516
2021-06-23,49.66592
2021-06-24,40.3118
2021-06-25,43.87527
2021-06-26,20.48997
2021-06-27,22.04899
2021-06-28,52.56124
2021-06-29,71.04677
2021-06-30,100.0
2021-07-01,14.69933
2021-07-02,12.91759
2021-07-03,5.34521
2021-07-04,4.45434
2021-07-05,16.9265
2021-07-06,15.5902
2021-07-07,14.69933
2021-07-08,13.36302
2021-07-09,12.47216
2021-07-10,7.34966
2021-07-11,6.68151
2021-07-12,12.47216
2021-07-13,15.81291
2021-07-14,15.14476
2021-07-15,16.70378
2021-07-16,15.14476
2021-07-17,4.45434
2021-07-18,8.90868
2021-07-19,13.14031
2021-07-20,14.03118
2021-07-21,18.04008
2021-07-22,13.14031
2021-07-23,9.35412
2021-07-24,3.34075
2021-07-25,9.35412
2021-07-26,11.35857
2021-07-27,11.13585
2021-07-28,10.91314
2021-07-29,10.91314
2021-07-30,8.90868
2021-07-31,8.01781
2021-08-01,4.45434
2021-08-02,11.35857
2021-08-03,18.48552
2021-08-04,13.58574
2021-08-05,14.25389
2021-08-06,12.69487
2021-08-07,6.23608
2021-08-08,4.67706
2021-08-09,13.80846
2021-08-10,14.25389
2021-08-11,15.81291
2021-08-12,15.14476
2021-08-13,12.69487
2021-08-14,6.45879
2021-08-15,5.34521
2021-08-16,9.35412
2021-08-17,13.14031
2021-08-18,14.92204
2021-08-19,17.14922
2021-08-20,13.58574
2021-08-21,8.46325
2021-08-22,5.56792
2021-08-23,15.81291
2021-08-24,14.47661
2021-08-25,15.14476
2021-08-26,14.92204
2021-08-27,18.2628
2021-08-28,10.91314
2021-08-29,6.90423
2021-08-30,16.70378
2021-08-31,20.26726
2021-09-01,13.80846
2021-09-02,14.69933
2021-09-03,12.24944
2021-09-04,8.24053
2021-09-05,4.23162
2021-09-06,13.14031
2021-09-07,17.14922
2021-09-08,14.92204
2021-09-09,19.82182
2021-09-10,18.70824
2021-09-11,10.24498
2021-09-12,6.01336
2021-09-13,11.58129
2021-09-14,13.58574
2021-09-15,11.13585
2021-09-16,14.25389
2021-09-17,11.13585
2021-09-18,4.89977
2021-09-19,6.90423
2021-09-20,3.78619
2021-09-21,6.68151
2021-09-22,4.45434
2021-09-23,21.38084
2021-09-24,15.81291
2021-09-25,12.91759
2021-09-26,10.69042
2021-09-27,15.81291
2021-09-28,22.49443
2021-09-29,14.47661
2021-09-30,16.9265
2021-10-01,11.13585
2021-10-02,10.02227
2021-10-03,8.68596
2021-10-04,15.5902
2021-10-05,15.81291
2021-10-06,18.04008
2021-10-07,15.36748
2021-10-08,16.70378
2021-10-09,6.68151
2021-10-10,6.23608
2021-10-11,11.13585
2021-10-12,12.02672
2021-10-13,16.9265
2021-10-14,16.70378
2021-10-15,13.58574
2021-10-16,11.58129
2021-10-17,5.34521
2021-10-18,13.58574
2021-10-19,15.14476
2021-10-20,12.69487
2021-10-21,12.02672
2021-10-22,15.36748
2021-10-23,7.7951
2021-10-24,5.34521
2021-10-25,22.49443
2021-10-26,14.69933
2021-10-27,18.2628
2021-10-28,16.03563
2021-10-29,14.69933
2021-10-30,7.34966
2021-10-31,7.34966
2021-11-01,16.25835
2021-11-02,12.47216
2021-11-03,12.47216
2021-11-04,13.14031
2021-11-05,8.68596
2021-11-06,4.23162
2021-11-07,3.34075
2021-11-08,10.02227
2021-11-09,17.81737
2021-11-10,15.81291
2021-11-11,12.47216
2021-11-12,11.58129
2021-11-13,9.1314
2021-11-14,8.90868
2021-11-15,16.03563
2021-11-16,15.81291
2021-11-17,14.47661
2021-11-18,10.24498
2021-11-19,10.02227
2021-11-20,8.46325
2021-11-21,5.34521
2021-11-22,14.03118
2021-11-23,10.02227
2021-11-24,14.03118
2021-11-25,11.13585
2021-11-26,12.69487
2021-11-27,6.45879
2021-11-28,9.57683
2021-11-29,10.69042
2021-11-30,12.69487
2021-12-01,11.58129
2021-12-02,15.5902
2021-12-03,12.47216
2021-12-04,6.90423
2021-12-05,9.35412
2021-12-06,19.82182
2021-12-07,17.14922
2021-12-08,16.70378
2021-12-09,15.5902
2021-12-10,15.5902
2021-12-11,9.79955
2021-12-12,8.24053
2021-12-13,18.70824
2021-12-14,17.59465
2021-12-15,18.70824
2021-12-16,14.92204
2021-12-17,17.14922
2021-12-18,5.56792
2021-12-19,7.7951
2021-12-20,14.92204
2021-12-21,15.14476
2021-12-22,14.25389
2021-12-23,15.5902
2021-12-24,11.13585
2021-12-25,8.01781
2021-12-26,9.1314
2021-12-27,17.14922
2021-12-28,20.71269
2021-12-29,22.93986
2021-12-30,19.37639
2021-12-31,20.26726
2022-01-01,8.68596
2022-01-02,10.24498
2022-01-03,15.5902
2022-01-04,19.82182
2022-01-05,15.5902
2022-01-06,14.69933
2022-01-07,14.92204
2022-01-08,9.57683
2022-01-09,9.57683
2022-01-10,17.81737
2022-01-11,18.04008
2022-01-12,12.69487
2022-01-13,18.93095
2022-01-14,13.80846
2022-01-15,7.57238
2022-01-16,7.12694
2022-01-17,16.03563
2022-01-18,18.2628
2022-01-19,14.25389
2022-01-20,14.25389
2022-01-21,14.25389
2022-01-22,9.79955
2022-01-23,6.01336
2022-01-24,18.70824
2022-01-25,15.36748
2022-01-26,14.92204
2022-01-27,15.81291
2022-01-28,12.69487
2022-01-29,5.34521
2022-01-30,6.90423
2022-01-31,6.01336
2022-02-01,8.46325
2022-02-02,8.90868
2022-02-03,13.80846
2022-02-04,19.5991
2022-02-05,9.1314
2022-02-06,8.68596
2022-02-07,16.48106
2022-02-08,24.05345
2022-02-09,14.69933
2022-02-10,17.37193
2022-02-11,17.14922
2022-02-12,8.01781
2022-02-13,8.46325
2022-02-14,22.04899
2022-02-15,15.36748
2022-02-16,12.02672
2022-02-17,14.92204
2022-02-18,15.14476
2022-02-19,9.35412
2022-02-20,8.46325
2022-02-21,20.04454
2022-02-22,18.2628
2022-02-23,14.92204
2022-02-24,12.91759
2022-02-25,14.47661
2022-02-26,7.7951
2022-02-27,7.34966
2022-02-28,16.9265
2022-03-01,8.90868
2022-03-02,16.48106
2022-03-03,12.02672
2022-03-04,14.03118
2022-03-05,8.90868
2022-03-06,7.12694
2022-03-07,13.58574
2022-03-08,16.70378
2022-03-09,6.68151
2022-03-10,20.26726
2022-03-11,13.58574
2022-03-12,9.79955
2022-03-13,7.34966
2022-03-14,15.81291
2022-03-15,14.69933
2022-03-16,16.9265
2022-03-17,16.03563
2022-03-18,15.36748
2022-03-19,5.56792
2022-03-20,10.91314
2022-03-21,14.47661
2022-03-22,17.37193
2022-03-23,16.25835
2022-03-24,12.02672
2022-03-25,17.14922
2022-03-26,9.57683
2022-03-27,8.68596
2022-03-28,17.81737
2022-03-29,15.5902
2022-03-30,14.47661
2022-03-31,13.14031
2022-04-01,12.47216
2022-04-02,7.57238
